Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Collect. Upload.: Wissenschaftsjahr,https://www.wissenschaftsjahr.de/2016-17/weiterfuehrende-informationen/englisch/plastic-pirates/collect-upload.html,Arktis und Antarktis · Wetterküche und Klimamaschine · Seestraße und ... Please note that costs for substitute teachers in the UK to cover for the absence ...,0.1591,de
Collect. Upload.: Wissenschaftsjahr,https://www.wissenschaftsjahr.de/2016-17/weiterfuehrende-informationen/englisch/plastic-pirates/collect-upload.html,Arktis und Antarktis · Wetterküche und Klimamaschine · Seestraße und ... Please note that costs for substitute teachers in the UK to cover for the absence ...,0.1591,de
Neues Schiff für Putins Flotte: Atomeisbrecher mit „strategischen ...,https://www.fr.de/politik/russland-arktis-wirtschaft-handelsroute-neues-schiff-putins-flotte-atomeisbrecher-strategische-ziele-91934715.html,"Nov 23, 2022 ... ... alternative Handelsrouten für sein politisch nahezu isoliertes Land sichern. ... Arktis ausgelegt und laut russischen Angaben in der Lage ...",0.0,de
Wie erfolgreich ist Chinas Neue Seidenstraße?,https://www.deutschlandfunk.de/neue-seidenstrasse-verblasst-mythos-100.html,"Sep 14, 2023 ... Inzwischen geht China das Geld aus – und der Westen versucht, alternative Handelsrouten zu erschließen. ... Arktis. Es folgten ...",0.0,de
Im Nordpolarmeer passiert etwas Einzigartiges – und Deutschland ...,https://www.focus.de/earth/klimapolitik/im-nordpolarmeer-passiert-etwas-einzigartiges-und-deutschland-ist-davon-betroffen_c27388d3-3295-4f50-8b68-2b3473daec7d.html,"Jan 23, 2025 ... Weil das Eis in der Arktis durch den Klimawandel schmilzt, entstehen dort drei neue Handelsrouten für Schiffe. Staaten kämpfen jetzt schon ...",0.0,de
Die Arktisroute könnte den Welthandel verändern - Wirtschaft - SZ.de,https://www.sueddeutsche.de/wirtschaft/schifffahrt-die-arktisroute-koennte-die-kraefte-im-welthandel-verschieben-1.4100516,"Aug 23, 2018 ... Schifffahrt:Die Arktisroute könnte die Kräfte im Welthandel verschieben · Die Container-Reederei Maersk schickt ein Schiff durch die ...",-0.47425,de
Schon die Wikinger betrieben Transatlantik-Handel - Handelsrouten ...,https://www.scinexx.de/news/archaeologie/schon-die-wikinger-betrieben-transatlantik-handel/,"Oct 7, 2024 ... Denn die Jagd auf Walrosse und deren Elfenbein-Stoßzähne führte die Wikinger-Jäger bis an die Grenze Grönlands zur nordamerikanischen Arktis.",-0.47425,de
Welche wirtschaftlichen und ökologischen Auswirkungen haben das ...,https://bildungsserver.hamburg.de/resource/blob/756244/66cd7751585f72c73ebeeabc4698d81a/2014-nordostpassage-data.pdf,"Jun 9, 2014 ... Die Arktis ist die von dem Klimawandel am stärksten betroffene Region. ... südlichen Alternative. Die Verschmutzung des Wassers trifft die ...",-0.47425,de
"Wenn das arktische Eis schmilzt, könnte sich die Weltordnung ...",https://www.nordschleswiger.dk/de/daenemark-politik/wenn-arktische-eis-schmilzt-koennte-sich-weltordnung-aendern,"Jan 27, 2025 ... Mit dem Abschmelzen der Arktis werden die drei Handelsrouten aus ... Daher können die arktischen Routen als Alternative zu den Kanälen ...",-0.4568,dk
Wem gehört die Arktis? - Archiv | Wiener Zeitung,https://www.wienerzeitung.at/h/wem-gehort-die-arktis,"Aug 31, 2022 ... Es geht um die dort lagernden Rohstoffe Öl und Gas, aber auch um Sicherheitspolitik und die Erschließung neuer Verkehrs- und Handelsrouten.",-0.4568,at
