Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Presse: Autonome Maritime Systeme (AMS)- DMZ | Deutsches ...,https://dmz-maritim.de/wie-gross-ist-der-markt-fuer-autonome-maritime-systeme-ams-in-deutschland-und-europa/,"Dec 5, 2023 ... ... Schifffahrt zu beobachten. Um eine Übersicht zu erhalten, wie groß der entstehende Markt für AMS in Deutschland und Europa ist, hat das Deutsche ...",0.09335,de
Studie zu Anwendungsfällen von Autonomen Maritimen Systemen ...,https://dmz-maritim.de/studie-zu-anwendungsfaellen-von-autonomen-maritimen-systemen/,"Mar 17, 2022 ... ... Deutschland sicherstellen. ... Das Thema Autonome Schifffahrt und deren nachhaltige Entwicklung sollte in einen gemeinsamen Kontext gestellt ...",0.002,de
Ferry Go! - Autonome Fähren im deutsch-niederländischen ...,https://deutschland-nederland.eu/de/ferry-go-autonome-faehren-im-deutsch-niederlaendischen-wattenmeer/,"Jul 25, 2024 ... Der Einsatz von intelligenten Systemen für eine (teil-)autonome Schifffahrt kann dazu beitragen, diesen Herausforderungen zu begegnen. Ziel ...",0.002,eu
Sieben Schiffe testen semi-autonomes Fahren in Deutschland ...,https://binnenschifffahrt-online.de/2022/12/featured/28174/sieben-schiffe-testen-semi-autonomes-fahren-in-deutschland/,"Dec 8, 2022 ... MEHR ZUM THEMA: Jetzt geht es um autonome Systeme auf dem Rhein · Flandern stellt sich hinter eine (teil-)autonome Binnenschifffahrt · Seafar, ...",0.0,de
Erste Zentrale für ferngesteuerte Binnenschiffe öffnet in Duisburg ...,https://www1.wdr.de/nachrichten/ruhrgebiet/duisburg-schifffahrt-fernsteuerungszentrale-100.html,"Feb 28, 2024 ... Fast autonome Binnenschifffahrt | video. Testphase seit rund einem ... Als erster Standort in Deutschland ist Duisburg nicht zufällig gewählt.",0.0,de
Autonome Fähre in Kiel | Deutschland spricht über 5G,https://www.deutschland-spricht-ueber-5g.de/magazin/wie-5g-die-autonome-schifffahrt-vorantreibt/,Wie 5G die autonome Schifffahrt vorantreibt. 05.03.2024. 5. 0. Mehr Sicherheit und eine effiziente Mobilität: Ein Kieler Forschungsteam will autonome Fähren ...,-0.2997,de
Autonomes Fahren auf dem Wasser - DLR,https://www.dlr.de/de/aktuelles/nachrichten/2023/03/autonomes-fahren-auf-dem-wasser,"Jul 6, 2023 ... ... autonome Schifffahrt. Es trägt dazu bei, die Schifffahrt von morgen ... Deutschland. mehr über das DLR. DLR Logo. Anschrift: DLR ...",-0.2997,de
Gastbeitrag: Autonome Schifffahrt birgt Riesen-Potenzial,https://www.schifffahrtundtechnik.de/nachrichten/intermodaler-verkehr/gastbeitrag-autonome-schifffahrt-birgt-riesen-potenzial-3231215,"Sep 14, 2022 ... „Da gibt es gleich mehrere Bereiche. Zum einen hat die Binnenschifffahrt in Deutschland und Europa ein riesiges Nachwuchsproblem und das ...",-0.2997,de
Untitled,https://forschungsinformationssystem.de/servlet/is/Entry1021..Display/?displayType=2&clsId2=276932&clsId1=276660&category=1021&clsId0=276654&classificationId=276932&pageSize=10&countCategory=1002&subTemplate=FisBmvbw.FollowupSubEntries2Ajax&pageSizeCategory=139&startIndex=8&ni=&moreElmId=more_results_sb&ee=0,Maßnahmen zur Entwicklung maritimer Kompetenzen in Deutschland ... Sicht der Anwender auf die autonome Schifffahrt. Synthesebericht gehört zu ...,-0.2997,de
Deutschland spricht über 5G - YouTube,https://www.youtube.com/channel/UCzYluvHp_2P7zvpss5twG1Q,Deutschland spricht über 5G. @Dspricht5G. 921 subscribers•139 videos. Die ... Autonome Schifffahrt ahoi? #5G #shorts #Gigabitstrategie. 495 views · Sind ...,-0.2997,com
