Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Hafen: China-Beteiligung sorgt für Zwist in Bundesregierung,https://www.nordsee-zeitung.de/nachrichten/bericht-regierung-streitet-ueber-china-einstieg-bei-hafen-94908.html,"Oct 20, 2022 ... ... China werden“, sagte er der dpa. „Deutsche Häfen gehören nicht in chinesische Hand. Zumal Europäer sich in China nicht an Häfen beteiligen ...",0.24895,de
China-Beteiligung an Hafenterminal sorgt für Zwist,https://www.produktion.de/schwerpunkte/industrie-politik/china-beteiligung-an-hafenterminal-sorgt-fuer-zwist-244.html,"Oct 21, 2022 ... ""Deutsche Häfen gehören nicht in chinesische Hand. Zumal Europäer ... Europäische Häfen mit chinesischer Beteiligung. (Bild: Merics).",0.24695,de
China kauft ein: Krach um ein Stück vom Hamburger Hafen,https://www.tagesspiegel.de/politik/china-kauft-ein-krach-um-ein-stuck-vom-hamburger-hafen-8784343.html,"Oct 21, 2022 ... ... Hafen in chinesischer Hand, in Deutschland ist Cosco am Duisburger Hafen beteiligt. ... China selbst habe durch seine Beteiligungen breiten ...",0.24695,de
Chinas Expansion stockt in Zentralamerika | Special ...,https://www.gtai.de/de/trade/zentralamerika/specials/chinas-expansion-stockt-in-zentralamerika-910212,"Dec 27, 2022 ... Laufende und geplante Großprojekte mit chinesischer Beteiligung ... China ist der zweitgrößte Nutzer des Panamakanals nach den USA und es betreibt ...",0.20095,de
China Cosco: Einfluss und Entwicklung • Table.Briefings,https://table.media/tag/cosco/,ist weltweit aktiv. Mit einer Beteiligung am Hamburger Hafen besitzt Cosco auch in Deutschland Einfluss. Alle Cosco News von der China.Table Redaktion.,0.04555,media
Cosco-Deal um Hamburger Hafen: Gefährliche Abhängigkeit ...,https://www.iwkoeln.de/presse/iw-nachrichten/juergen-matthes-gefaehrliche-abhaengigkeit.html,"Oct 26, 2022 ... ... Deutschland seine Abhängigkeit von China verringern. Ansprechpartner; Drucken; Teilen. Die Bundesregierung hat die Beteiligung der chinesischen ...",-0.59265,de
China: Das Außenwirtschaftsrecht muss reformiert werden | FDP,https://www.fdp.de/das-aussenwirtschaftsrecht-muss-reformiert-werden,"Nov 2, 2022 ... Die Beteiligung des chinesischen Staatskonzerns Cosco am Hamburger Hafen hat die Schwächen des Außenwirtschaftsrechts offen gelegt: Der Bund ...",-0.5844,de
Studie für den TRAN-Ausschuss − Chinesische Investitionen in die ...,https://www.europarl.europa.eu/RegData/etudes/STUD/2023/747278/IPOL_STU(2023)747278(SUM01)_DE.pdf,"Weitere. Untersuchungen zur Erhebung von Daten über die Risiken der Beteiligung chinesischer ... In dem ersten Bericht sollten bestehende europäische Häfen, die ...",-0.4568,eu
Hamburger Hafen: Umstrittener Cosco-Deal unter Dach und Fach ...,"https://www.ndr.de/nachrichten/hamburg/Hamburger-Hafen-Umstrittener-Cosco-Deal-unter-Dach-und-Fach,cosco146.html","Jun 19, 2023 ... Die Zusammenarbeit mit China stärke die Position Hamburgs als Logistik-Drehscheibe im Nord- und Ostseeraum sowie der Industrienation Deutschland ...",-0.4158,de
Griff nach Europa: Chinas strategische Käufe | BR24,"https://www.br.de/nachrichten/deutschland-welt/griff-nach-europa-chinas-strategische-kaeufe,TLa2rvQ","Oct 31, 2022 ... Chinesische Beteiligungen an 14 europäischen Häfen. Piräus war der ... Über die Beteiligung an der deutschen Hamburger Hafen und ...",-0.4158,de
