Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Airbus in Germany | Airbus,https://www.airbus.com/en/about-us/our-worldwide-presence/airbus-in-europe/airbus-in-germany,Security Security Security. Security · Crisis Management · Cybersecurity · Maritime · Public Safety · Innovation Innovation Innovation. Back Back. Innovation.,0.9701500000000001,com
Digitization in maritime logistics—What is there and what is missing?,https://www.tandfonline.com/doi/full/10.1080/23311975.2017.1411066,"Maritime cyber security: Good, better & best. Maritime Reporter and ... Maritime Wirtschaft erfindet sich neu. THB Deutsche Schifffahrts-Zeitung ...",0.94035,com
Maritime Cybersecurity – BBN | Breakbulk.News™,https://breakbulk.news/tag/maritime-cybersecurity/,"By: Peter Bouwhuis Ahoy, fellow maritime enthusiasts! As we dive deeper into the digital age, our beloved ships are becoming smarter and more connected.",0.9198999999999999,news
Europe's cyber insurance market is growing fast :: Insurance Day,https://www.insuranceday.com/ID1152863/Europe%E2%80%99s-cyber-insurance-market-is-growing-fast,"Mar 19, 2025 ... ... cyber resilience, enhance cyber security and improve co-ordination among member states. ... Maritime Insights & Intelligence Limited is registered ...",0.901,com
The Draghi report on EU competitiveness,https://commission.europa.eu/topics/eu-competitiveness/draghi-report_en,economic security; open strategic autonomy; fair competition. They all serve as pillars of prosperity. The vision that drives Europe forward is to create ...,0.88915,eu
Map List view Info Report,https://maritimecybersecurity.nl/,MCAD Maritime Cyber Attack Database. MCAD Maritime Cyber Attack Database. Map List view Info Report. To navigate the map with touch gestures double-tap and ...,-0.86755,nl
Infringement GROW - 7 cases - Articles 46 of Directive 2007/46/EC,https://europa.eu/rapid/press-release_IP-16-4214_en.htm.,"Dec 8, 2016 ... Car emissions: Commission opens infringement procedures against 7 Member States for breach of EU rules. Page contents.",-0.86755,eu
International sanctions against North Korea - Wikipedia,https://en.wikipedia.org/wiki/International_sanctions_against_North_Korea,"imposes new sanctions authorities related to North Korean human rights and cybersecurity abuse. ... ^ ""Wirtschaft von oben: So versorgt Putin Nordkoreas Diktator ...",-0.8404,org
2025 OT Cyber Threat Report,https://waterfall-security.com/wp-content/uploads/2025/03/2025-OT-Cyber-Security-Threat-Report.pdf,... wirtschaft/hacker-angriff-auf- · thyssenkrupp-auch-werk-im-saarland ... Maritime. Puerto. Rico. Transport R. Unknown. 1. U. Delayed cargo movement and truck ...,-0.8243,com
The list of cyber attacks worldwide 2025 today | KonBriefing.com,https://konbriefing.com/en-topics/cyber-attacks.html,"Apr 17, 2025 ... ... Maritime: 1, Media: 1, Pharmaceutical: 1, Radio: 1, Railway: 1, Real ... https://www.blick.ch/wirtschaft/opfer-vo... Information zum ...",-0.7202,com
