Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Fit für 55: Dekarbonisierung der europäischen Schifffahrt - Clean Air ...,https://www.catf.us/de/resource/fit-for-55-decarbonising-european-shipping/,"Mit den ""Fit for 55""-Vorschlägen können sich die politischen Entscheidungsträger der EU endlich mit den Emissionen aus der Schifffahrt und ihren erheblichen ...",0.57935,us
EINE INNOVATIVE LÖSUNG ZUR DEKARBONISIERUNG DER ...,https://nh-logistics.com/de/our-news/unkategorisiert/eine-innovative-loesung-zur-dekarbonisierung-der-maritimen-schifffahrt-das-wisamo-projekt-ab-2022/,EINE INNOVATIVE LÖSUNG ZUR DEKARBONISIERUNG DER MARITIMEN SCHIFFFAHRT – Das WISAMO-Projekt ab 2022. 27.09.2021 von admin. Beim globalen Movin'On-Gipfel für ...,0.35015,com
Schrittweise Dekarbonisierung des Schiffsverkehrs | Deutscher ...,https://www.dnr.de/aktuelles-termine/aktuelles/schrittweise-dekarbonisierung-des-schiffsverkehrs,"Mar 30, 2023 ... ... Schifffahrt zu verringern. [jg]. Rat: FuelEU Maritime initiative: Provisional agreement to decarbonise the maritime sector. EU-Parlament: Fit ...",0.34912499999999996,de
Rolf Stiefel posted on LinkedIn,https://www.linkedin.com/posts/rolf-stiefel-93276211_maritime-dekarbonisierung-innovationen-activity-6871423263604658176-w_nf,"Nov 30, 2021 ... ... Schifffahrt. #maritime #dekarbonisierung #innovationen #pressearbeit https://lnkd.in/e-RuXAya · 48 4 Comments · Like Comment. Share.",0.28595,com
Dekarbonisierung nicht zum Null-Tarif - THB,https://www.thb.info/rubriken/maritime-wirtschaft/detail/news/dekarbonisierung-nicht-zum-null-tarif.html,"Oct 4, 2023 ... Reedertag 2023“ von Siemens Energy: Höhere Effizienz kann Mehrkosten für klimaneutrale Schifffahrt abfedern.",0.1366,info
Schifffahrt: „Nur die Regulatorik kann die Branche zur ...,https://www.dvz.de/unternehmen/see/detail/news/schifffahrt-nur-die-regulatorik-kann-die-branche-zur-dekarbonisierung-zwingen.html,"May 3, 2023 ... Schifffahrt: „Nur die Regulatorik kann die Branche zur Dekarbonisierung zwingen“. Ammoniak, Methanol, Wasserstoff: Welcher Schiffsantrieb ...",-0.723,de
Dekarbonisierung von Häfen und Schifffahrt - Arup,https://www.arup.com/de/services/port-and-shipping-decarbonisation/,"Die Häfen werden bei der Dekarbonisierung der Schifffahrt eine entscheidende Rolle spielen, indem sie die Schiffe an die neue Energieversorgung anschließen und ...",-0.4568,com
MDR Wissen: Wie kann die Schifffahrt grün werden? - hier anschauen,https://www.ardmediathek.de/video/mdr-wissen/wie-kann-die-schifffahrt-gruen-werden/mdr/Y3JpZDovL21kci5kZS9zZW5kdW5nLzI4MjA0MC80NDk5NTctNDMwNDEx,"May 26, 2024 ... Sie wollen die Schifffahrt auf klimaneutrale Treibstoffe umstellen - die es bislang weltweit kaum gibt. Der Film begleitet Reeder, Ingenieure ...",-0.4568,de
Nachhaltige Schiff- und Luftfahrt: Allianzen zur Dekarbonisierung ...,https://www.kooperation-international.de/laender/amerika/usa/nachrichten/detail-laendereinstiegsseite/info/nachhaltige-schiff-und-luftfahrt-allianzen-zur-dekarbonisierung-der-weltweiten-transportlogistik-wachsen-und-gehen-in-die-umsetzung,"Mar 18, 2025 ... ... Dekarbonisierung von Luft- und Schifffahrt sind fünf neue Unternehmen beigetreten. Gemeinsam bringen die Partner die Allianzen in die ...",-0.4548,de
Dekarbonisierung in der Schifffahrt,https://www.dnv.de/maritime/insights/topics/saubere-schifffahrt/,"Wege zur Emissionsminderung. Die derzeit bekannten und ausgereiften Energieeffizienz-Maßnahmen können die Emissionen pro Schiff je nach Typ um 20-30% senken, ...",-0.4456,de
