Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Thales - Building a future we can all trust,https://www.thalesgroup.com/en,"From Aerospace, Space, Defence to Security & Transportation, Thales helps its customers to create a safer world by giving them the tools they need to ...",0.46625,com
National Security Strategy: Robust. Resilient. Sustainable ...,https://www.nationalesicherheitsstrategie.de/National-Security-Strategy-EN.pdf,"The maritime dimension, above and underwater, is particularly important with respect to Germany's security of supply and eco- nomic security. The extent ...",0.45975,de
The Maritime Zeitenwende: Germany in the Northern Waters,https://www.nupi.no/content/pdf_preview/29553/file/NUPI_Report_14_Jakobsen_Etzold_Svendsen.pdf,"Dec 16, 2024 ... These developments in the German approach to security and defence created a window of opportunity for partner countries that would like to ...",0.4221,no
EU strongly committed to enhancing global maritime security | EEAS,https://www.eeas.europa.eu/eeas/eu-strongly-committed-enhancing-global-maritime-security_en,"Oct 10, 2022 ... ... maritime security on the occasion of the German shipping day, the “Deutscher Schifffahrtstag”. The event was organised by the German Shipping.",0.3953,eu
4th International Symposium MARISSA 2024,https://marissa-days.org/Marissa-Days/event/encPkzOy0JpW-2B-Y-3D-/,... Germany. The internationally well ... Establishing and maintaining maritime safety and security application is a must for all maritime branches.,0.3715,org
Studien zum Seevölkerrecht und zur maritimen Sicherheit / Studies ...,https://www.duncker-humblot.de/en/reihe/studien-zum-seevoelkerrecht-und-zur-maritimen-sicherheit-studies-on-the-law-of-the-sea-and-maritime-security-ssms-258/?page_id=1,"Absicht der Herausgeber ist es, die wissenschaftliche Diskussion über das internationale Seerecht und die maritime Sicherheit in Deutschland zu stimulieren und ...",-0.4158,de
Studien zum Seevölkerrecht und zur maritimen Sicherheit / Studies ...,https://www.duncker-humblot.de/en/reihe/studien-zum-seevoelkerrecht-und-zur-maritimen-sicherheit-studies-on-the-law-of-the-sea-and-maritime-security-ssms-258/?page_id=1,"Absicht der Herausgeber ist es, die wissenschaftliche Diskussion über das internationale Seerecht und die maritime Sicherheit in Deutschland zu stimulieren und ...",-0.4158,de
Bekanntmachung,https://www.ptj.de/lw_resource/datapool/systemfiles/cbox/4073/live/lw_bekdoc/bekanntmachung-echtzeittechnologien_maritime-sicherheit.pdf,"Dec 7, 2017 ... Im hieraus resultierenden Markt ist die deutsche Industrie mit ... zeittechnologien für die Maritime Sicherheit“ zur Verfügung gestellt.",-0.4158,de
Maritime Terrorism and Piracy: The Development of Maritime ...,https://ediss.sub.uni-hamburg.de/bitstream/ediss/10506/1/HabilitationPatriciaSchneider2023.pdf,der maritimen Sicherheit (Maritime Security Governance). In diesem Buch werden daher sowohl die Art ... 3 The Relevance of Maritime Security for Germany ...,-0.3454,de
Deutschlands maritime Sicherheit braucht mehr Vernetzung,https://www.bundeswehr.de/de/organisation/marine/aktuelles/deutschlands-maritime-sicherheit-vernetzung-5691186,"Oct 17, 2023 ... Wie relevant die See und überhaupt das maritime Umfeld für Deutschland sind, hat sich gerade in den letzten Jahren gezeigt.",-0.2997,de
