Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Die maritime Branche stärken - DMZ | German Maritime Centre,https://dmz-maritim.de/en/,The German Maritime Centre is an independent institution that supports the maritime sector. We focus on innovative strength and the topics of the future to ...,0.28595,de
"Dr. Martin Kröger, LL.M. - Greater Hamburg Area | Professional ...",https://de.linkedin.com/in/drmartinkroeger/en,International Chamber of Shipping. Member of the Board · Deutsches Maritimes Zentrum DMZ · German Maritime Law Association -DVIS · German Offshore Wind Energy ...,0.2787,com
Daniel Duecker – Breaking the Surface,https://bts.fer.hr/speaker/daniel-duecker/,"Oct 2, 2024 ... Furthermore, he received the distinct teaching award by Deutsches Maritimes Zentrum (DMZ) in 2022. All session by Daniel Duecker. Let's ...",0.27115,hr
Schiffsrecycling als Chance für Deutschland - THB,https://www.thb.info/rubriken/maritime-wirtschaft/detail/news/schiffsrecycling-als-chance-fuer-deutschland.html,"Dec 4, 2023 ... Deshalb hat das Deutsche Maritime Zentrum (DMZ) jetzt eine Studie zur Analyse des Marktumfelds für nachhaltiges Schiffsrecycling in Europa ...",0.125,info
German Shipbuilders Strong In A Weak World Market,https://www.marinelink.com/news/shipbuilders-german416582,"Oct 7, 2016 ... ... German maritime community. German shipyards bucked the global ... Maritime Research Coordination Center (Deutsches Maritimes Zentrum, DMZ).",0.05135,com
Deutsches Maritimes Zentrum: Die maritime Branche stärken - DMZ,https://dmz-maritim.de/,"Unser Ziel: Die maritime Branche stärken. Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Einrichtung, die die maritime Branche unterstützt. · Wissens – ...",-0.47425,de
Stellenangebote - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/stellenangebote/,Schlägt Ihr Herz für die maritime Branche? Kommen Sie in unser Team und engagieren Sie sich für die Zukunft der Branche.,-0.4158,de
Team - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/team-uebersicht/,"Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Institution, die die maritime Branche unterstützt. Wir setzen auf Innovationskraft und Zukunftsthemen, ...",-0.4158,de
#071 - Inspirierend und kreativ für die Maritime Branche | Brittas ...,https://brittas-hafen-podcast.letscast.fm/episode/071-inspirierend-und-kreativ-fuer-die-maritime-branche,"Sep 21, 2024 ... Hanna Maurer und Karina Tammen vom Deutschen Maritimen Zentrum setzen sich leidenschaftlich dafür ein, die Maritime Branche in den Fokus zu ...",-0.4158,fm
Finanzierungsinstrumente in der maritimen Branche,https://henry.baw.de/bitstreams/c06f9085-1b77-4b76-8145-d062290a1349/download,"Sep 14, 2021 ... Das Deutsche Maritime Zentrum e.V. (DMZ) hat im Mai 2020 die PricewaterhouseCoopers GmbH WPG (PwC) beauftragt, eine Studie zu erstellen, die ...",-0.4158,de
