Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
(PDF) Mechanisms supporting improved multi-stakeholder ...,https://www.researchgate.net/publication/366234803_Mechanisms_supporting_improved_multi-stakeholder_coordination_of_launch_and_re-entry_traffic_integration,"Dec 6, 2022 ... ... maritime authorities is also considered. The LCC will support ... Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR), Institute of ...",0.91355,net
Homepage Fraunhofer-Gesellschaft,https://www.fraunhofer.de/en.html,"The Fraunhofer-Gesellschaft, headquartered in Germany, is one of the world's leading organizations for applied research. It plays a major role in innovation ...",0.7787,de
National Delegations | ESA Space Solutions,https://business.esa.int/national-delegations,Maritime. Maritime; Maritime Sustainability Task Force · Smart and Green ... Deutsches Zentrum für Luft– und Raumfahrt e.V.. German Aerospace Centre (DLR).,0.76335,int
Subsea Communications Maritimes Cluster Norddeutschland e.V.,https://www.maritimes-cluster.de/en/specialist-groups/subsea-communications/,This cooperation network of the Maritime Cluster Northern Germany includes seven firms and five institutions. Thanks to the consolidation and networking of ...,0.7202,de
FORMAT FOR REPORTS OF THE PARTIES,https://www.unep-aewa.org/sites/default/files/document/germany2008_mop4_0.pdf,"Oct 19, 2007 ... Maritime Emergencies is a competence centre for prevention in case of maritime ... Sea Secretariat; D = Germany; DDA = Federation of German.",0.70095,org
Production of Drop-in Biofuels from Microalgae - Aalborg ...,https://vbn.aau.dk/en/projects/production-of-drop-in-biofuels-from-microalgae,The project's aim is to decarbonize aviation and maritime transport by producing sustainable fuels from microalgae. ... DEUTSCHES ZENTRUM FUR LUFT - UND RAUMFAHRT ...,-0.5,dk
Deutsches Maritimes Zentrum: Die maritime Branche stärken - DMZ,https://dmz-maritim.de/,"Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Einrichtung, die die maritime Branche unterstützt. Wir setzen auf Innovationskraft und Zukunftsthemen, ...",-0.4548,de
Stellenangebote - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/stellenangebote/,"Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Institution, die die maritime Branche unterstützt. Wir setzen auf Innovationskraft und Zukunftsthemen, ...",-0.4158,de
The German Aerospace Center (DLR),https://www.dlr.de/en,"Maritime research. DLR's maritime research focuses ... With the proceeds, Sozialwerk DLR e.V. supports people who are in need through no fault of their own.",-0.4033333333333333,de
Projektkoordinator/in Kurzstreckenseeverkehr (w/m/d) - Job bei der ...,https://www.stepstone.de/stellenangebote--Projektkoordinator-in-Kurzstreckenseeverkehr-w-m-d-Hamburg-Deutsches-Maritimes-Zentrum-e-V--12120826-inline.html,"Das Deutsche Maritimes Zentrum e.V. ist eine wegweisende Institution, die die maritime Branche durch Innovation und zukunftsweisende Themen vorantreibt.",-0.36755,de
