Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Industrie 4.0 | Segula Technologies,https://www.segulatechnologies.com/de/industrie-4-0/,... Schifffahrt. Innovation. Innovation bei SEGULA · SEGULA Innovation Hub ... DIGITALE ZWILLINGE => DIGITALISIEREN SIE IHRE FABRIK UND PRODUKTE. 3D-Scannen ...,0.88915,com
"Digital Twins in the Shipping Industry - Benefits, Use Cases and ...",https://www.hapag-lloyd.com/de/online-business/digital-insights-dock/insights/2024/03/digital-twins-in-the-shipping-industry.html,"Mar 28, 2024 ... ... digitale Zwillinge alles können und wie sie insbesondere in der Schifffahrt eingesetzt werden. Inhalt. Digitale Zwillinge – eine Definition.",0.1909,com
Brückenplanung - Arup,https://www.arup.com/de/services/bridge-design-and-engineering/,Entdecken Sie mehr von unserem Know-how: Alle Services. Dienstleistungen. Tiefbau · Digitales Asset Management · Digitale Zwillinge · Grundbau und Hydrogeologie.,0.1806,com
benntec: Starke Kraft für Digitales Lernen und Sicherheit,https://www.benntec.de/,"benntec Systemtechnik GmbH ist Partner für Lernmanagement, E-Learning, Simulation, Trainingstechnologie, Sicherheitstechnik und Entwicklungsdienstleistung.",0.1246,de
Bundesanstalt für Wasserbau (BAW) - Wir gratulieren der ...,https://www.facebook.com/photo.php?fbid=2687324134637267&id=209870889049283&set=a.426469514056085,"Jan 20, 2020 ... Wir gratulieren der Generaldirektion Wasserstraßen und Schifffahrt (GDWS) ... digitale Zwillinge von Wasserstraßenbauwerken. Ziel ist es ...",0.065,com
Use Cases - Marispace-X,https://de.marispacex.com/use-cases,"Dieser Use Case zielt darauf ab, Sensortechnologien zu befähigen, einen digitalen Zwilling ... ""Explosive militärische Altlastenim Meer gefährden die Umwelt, die ...",-0.6661,com
"Dr. Ralf Belusa: In 24 Stunden um die Welt – die Schifffahrt, Logistik ...",https://www.youtube.com/watch?v=ToEYpXqJpZc,"Sep 30, 2022 ... ... Zwillinge, das Metaverse, AI + ... Ralf Belusa: In 24 Stunden um die Welt – die Schifffahrt, Logistik und digitale Transformation.",-0.47425,com
Taufe der CORIOLIS: Schwimmendes Labor für die Küsten- und ...,https://www.fona.de/de/taufe-der-coriolis-schwimmendes-labor-fuer-die-kuesten-und-wasserstoffforschung,"Nov 18, 2024 ... ... Schifffahrt, die den Umweltschutz und die Klimafreundlichkeit stärkt ... Digitale Zwillinge sind interaktive virtuelle Abbilder von ...",-0.4568,de
Digitale Wasserstraßen | Daten+,https://daten.plus/digitale-wasserstrassen-sicherheit-in-der-seeschifffahrt,"Dec 12, 2024 ... Für mehr Sicherheit in der Seeschifffahrt. Die verstärkte Nutzung durch die Schifffahrt und die wachsende Anzahl von Offshore-Windparks ...",-0.4568,plus
Schifffahrt: Abwehrkonzepte gegen Cyberpiraten | Protector,https://www.protector.de/schifffahrt-abwehrkonzepte-gegen-cyberpiraten,"Nov 9, 2022 ... 1997 war jedoch die Vernetzung von Computern, und insbesondere die an Bord der kommerziellen Schifffahrt ... digitale Zwillinge zu rechnen ist.",-0.4568,de
