Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Remarks by President Trump to the 72nd Session of the United ...,https://br.usembassy.gov/remarks-president-trump-72nd-session-united-nations-general-assembly/,"Sep 18, 2017 ... United States President Donald Trump speaks during the United Nations General Assembly at UN headquarters, Tuesday, Sept. 19, 2017.",0.4063,gov
"Donald J. Trump news - breaking news, video, headlines and ...",https://www.cnn.com/politics/president-donald-trump-47,Donald Trump is sworn in as the 47th president of the United States by Chief Justice. Julia Demaree Nikhinson/Pool/AP.,0.36755,com
Donald Trump - CNBC,https://www.cnbc.com/donald-trump/,Donald J. Trump is the 47th president of the United States of America. Trump previously served as the 45th president of the United States from 2017 to 2021.,0.3404,com
Donald J. Trump: Home,https://www.donaldjtrump.com/,We offer to the American people the 2024 GOP Platform to Make America Great Again! It is a forward-looking Agenda that begins with the following twenty ...,0.3294,com
Donald J. Trump - White House Historical Association,https://www.whitehousehistory.org/bios/donald-j-trump,"Donald J. Trump ... Donald John Trump was born in Queens, New York, on June 14, 1946. His father, Fred Trump was a successful real estate developer. Trump was ...",0.29295,org
23-939 Trump v. United States (07/01/2024),https://www.supremecourt.gov/opinions/23pdf/23-939_e2pg.pdf,"Jul 1, 2024 ... Trump moved to dismiss the indictment based on Presidential immunity, arguing that a President has absolute immunity from criminal prosecution ...",-0.38915,gov
President Trump News & Videos - ABC News,https://abcnews.go.com/alerts/donaldtrump,"Trump launches attack on Houthi targets. The U.S. struck against Houthi rebels in Yemen overnight in response to what President Donald Trump calls a ""campaign ...",-0.3548,com
Donald Trump | The New Yorker,https://www.newyorker.com/tag/donald-trump,Donald Trump · The Trump Administration Nears Open Defiance of the Courts · Killing the Military's Consumer Watchdog · Even Donald Trump's Historical Role Model ...,-0.32985,com
Governor Newsom meets with President Trump and members of ...,https://www.gov.ca.gov/2025/02/05/governor-newsom-meets-with-president-trump-and-members-of-congress-from-both-sides-of-the-aisle-on-disaster-relief-for-la-firestorm-survivors/,"Feb 5, 2025 ... Governor Gavin Newsom traveled to Washington, DC to meet with President Trump and members of Congress — focusing on securing critical disaster ...",-0.31245,gov
Donald Trump | Breaking News & Latest Updates | AP News,https://apnews.com/hub/donald-trump,3 hours ago ... Trump's bluntness powered a White House comeback. Now his words are getting him in trouble in court · Pentagon reviews plans to cut troops ...,-0.29295,com
