Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Maritime Transformation - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/maritime-transformation-wegbereiterin-fuer-die-zukunft-bericht/,"Jun 23, 2023 ... ... deutsche maritime Industrie. Denn ... maritime Branche vor eine kürzlich noch ungeahnte Herausforderung stellt: den Fachkräftemangel.",0.0,de
Maritime Wertschöpfung und Beschäftigung in Deutschland,https://www.bmwk.de/Redaktion/DE/Publikationen/Maritime%20Wirtschaft/Maritime-Wertsch%C3%B6pfung-Studie-Endbericht.pdf?__blob=publicationFile&v=8,"Apr 13, 2021 ... wicklung der maritimen Wirtschaft stellt der Fachkräftemangel in verschiedensten Be- rufsgruppen dar. Page 160. Maritime Wertschöpfung und ...",0.0,de
Maritime Wirtschaft: Infrastrukturprobleme und Fachkräftemangel ...,"https://www.ndr.de/fernsehen/sendungen/schleswig-holstein_magazin/Maritime-Wirtschaft-Infrastrukturprobleme-und-Fachkraeftemangel,shmag107776.html","Aug 17, 2023 ... Ralf Quandt verwaltet zunehmend den Stillstand. Vier seiner sechs Ausflugsschiffe müssen im Lübecker Hafen bleiben.",0.0,de
Aktuelles Maritimes Cluster Norddeutschland e.V.,https://www.maritimes-cluster.de/services/aktuelles/fuenf-fragen-an-andreas-hoeth/,"Apr 28, 2023 ... MCN: Der Name Baker Tilly ist in der maritimen Wirtschaft eher unbekannt, Wie sind Sie hier aufgestellt? Höth: Wir sind in der Branche durchaus ...",0.0,de
Statustagung Maritime Technologien - PtJ,https://www.ptj.de/foerdermoeglichkeiten/maritime-forschungsstrategie/statustagung,„Die maritime Wirtschaft in Deutschland ist hoch innovativ und hat in vielen ... Ein wesentlicher Grund dafür sei der Fachkräftemangel. „Die ...,0.0,de
Die Welt als Arbeitsplatz: Schifffahrt sucht Besatzung der Zukunft ...,https://www.reederverband.de/de/die-welt-als-arbeitsplatz-schifffahrt-sucht-besatzung-der-zukunft,"Sep 13, 2023 ... ... maritimen Nachwuchses und die Begeisterung junger Talente für die maritime Wirtschaft. ... deutschen Schifffahrt ist ein umfassendes maritimes ...",-0.4568,de
Maritime Wirtschaft . IHK Neubrandenburg,https://www.neubrandenburg.ihk.de/standortpolitik/regionale-kooperation/maritime-wirtschaft,... deutsche Wirtschaft. Die volkswirtschaftliche Bedeutung des maritimen Sektors beschränkt sich dabei nicht allein auf die Bereiche der Küstenregionen. Die ...,-0.4568,de
Maritime Wirtschaft - Herausforderungen und Chancen durch die ...,https://www.ihk-nord.de/produktmarken/schwerpunkte/maritime-wirtschaft-infrastruktur-seeverkehr/nmk-2023-5912922,Die maritime Wirtschaft sichert in Deutschland damit bundesweit mehr als ... maritimen Branche – der allgegenwärtige Arbeits- und Fachkräftemangel. Im ...,-0.4158,de
Maritime Zuversicht im Norden - IHK Nord,https://www.ihk-nord.de/servicemarken/presse/mitteilungen/pm-maritime-konjunktur-2024-6183334,"Jun 25, 2024 ... Die Konjunkturaussichten der maritimen Wirtschaft in Deutschland legen im Frühjahr 2024 insgesamt zu. Sorgen bereiten den Unternehmen die ...",-0.4158,de
Herausforderungen und Chancen durch die Energiewende - IHK ...,https://www.ihk.de/schleswig-holstein/standortpolitik/wirtschaftspolitik/wirtschaftspolitische-positionen/maritime-wirtschaft/positionspapier-13-nationale-maritime-konferenz2-5919172,Die maritime Wirtschaft sichert in Deutschland damit bundesweit mehr als ... maritimen Branche – der allgegenwärtige Arbeits- und Fachkräftemangel. Im ...,-0.4158,de
