Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Carte von dem Hafen und der Stadt Boston mit den umliegenden ...,https://www.loc.gov/item/gm71005482/,Scale ca. 1:25000. Hand colored to show location of British and American forces. Relief shown by hachures. Depths shown by soundings.,0.3715,gov
„elbsommer“ ist Hafen und Happiness - News - Hafencity,https://www.hafencity.com/news/elbsommer-ist-hafen-und-happiness,"May 27, 2024 ... „elbsommer“ ist Hafen und Happiness ... Der „elbsommer“ ist wieder da: Die beliebte Veranstaltungsreihe der HafenCity Hamburg GmbH startet am 1.",0.2553,com
HIT Hafen- und Industrietechnik GmbH | LinkedIn,https://www.linkedin.com/company/hit-hafen--und-industrietechnik-gmbh,HIT has made a name for itself in automation and drive technology as well as in the field of control systems and electrotechnical installations.,0.1366,com
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,https://collections.leventhalmap.org/search/commonwealth:3f462w36b,"Carte von dem Hafen und der Stadt Boston. This map is also available in American Revolutionary Geographies Online (ARGO), a collections portal especially built ...",0.0,org
OHF Hafen- und Flussbau GmbH: Willkommen,https://www.ohf-wasserbau.de/,"Unser Arbeitsprogramm umfasst den Bereich des Wasserbaus von der Planung bis zur Projektübergabe, von Umbauten bis zu Sanierungs- und Reparaturmaßnahmen. Mehr ...",0.0,de
Hafen und Schifffahrt,https://werksfuehrung.de/en/hafen-und-schifffahrt,Der Hafen und die Schifffahrt schlafen nie! Zahlreiche große und kleine Schiffe fahren über die Elbe und durch die Hafenbecken. Die Containertour: Vom ...,-0.4754,de
"Shipspotting: Hamburg. Die Schiffe, der Hafen und die Elbe : Kunadt ...",https://www.amazon.de/Shipspotting-Hamburg-Schiffe-Hafen-Elbe/dp/3938017805,"Shipspotting ist zum Volkshobby geworden. Das Buch für alle, die von Hamburgs Waserseite fasziniert sind, von den Schiffen und vom Hafen. Mit Fotografiertipps ...",-0.4568,de
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,https://www.offenbach.de/buerger_innen/rathaus-politik/politik/oberbuergermeister/meldungen/staatsbesuch-malawi-nachbericht22.08.2024.php,"Aug 22, 2024 ... Am 21. August war der Staatspräsident von Malawi zu Besuch in Offenbach. Er informierte sich bei OB Schwenke über die Hafenentwicklung.",-0.4158,de
Hafen- und Seemannsamt - Rostock,https://rathaus.rostock.de/de/service/aemter/hafen_und_seemannsamt/251664,"Es ist hierüber täglich rund um die Uhr unmittelbarer Ansprechpartner für die Berufs- und Sportschifffahrt hinsichtlich Liegeplatzvergabe, Verkehrsregelung und ...",-0.4158,de
Detektiv-Trail Hamburg: Hafen und Speicherstadt,https://detektiv-trails.de/produkt/detektiv-trail-hamburg-hafen-und-speicherstadt/,Der Detektiv-Trail ist ein Rätselerlebnis für die ganze Familie. Auf dieser Rätseltour begleitet ihr Detektiv Dachs durch den Hamburger Hafen und die ...,-0.4158,de
