Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
KI Strategie: Home,https://www.ki-strategie-deutschland.de/,„Artificial Intelligence (AI) made in Germany“ soll zum weltweit anerkannten Gütesiegel werden. · Deutschland soll seine starke Position in der Industrie 4.0 ...,0.23835,de
Datenstrategie der Bundesregierung,https://www.publikationen-bundesregierung.de/resource/blob/2277952/1845634/1a4f7ea800bb838562e16fdfe4ffb354/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1,"Jan 27, 2021 ... zienteren Aufsichtstätigkeit ist in den Behörden. Deutschlands bisher sehr heterogen. ... Künstliche Intelligenz (KI) für alle – FAIR Forward: KI ...",0.2324,de
Projektträger Jülich: PtJ,https://www.ptj.de/,Als einer der führenden Projektträger Deutschlands setzen wir seit über 50 Jahren innovative Förderprogramme um. Profitieren Sie von unserer Expertise und ...,0.2202,de
Bundesbericht Forschung und Innovation 2024,https://www.bundesbericht-forschung-innovation.de/files/BMBF_BuFI-2024_Hauptband.pdf,... Deutschlands rolle in europa ... (KI) ganz deutlich. Die Bundesregierung stimmt deshalb mit der. Expertenkommission Forschung und Innovation. (EFI) ...,0.0386,de
Bestands- und Potentialanalyse von Künstlicher Intelligenz KI- DMZ ...,https://dmz-maritim.de/bestands-und-potentialanalyse-von-kuenstlicher-intelligenz-ki-in-den-maritimen-behoerden-des-bmdv/,"Jan 23, 2025 ... Das Deutsche Maritime Zentrum untersucht daher den Einsatz von KI-basierten Systemen in den nachgeordneten maritimen Behörden des ...",0.0,de
Zukunftsstrategie Forschung und Innovation,https://www.bmbf.de/SharedDocs/Publikationen/de/bmbf/1/730650_Zukunftsstrategie_Forschung_und_Innovation.pdf?__blob=publicationFile&v=4,So wird die Förderung im Bereich Computational Life Sciences die Entwick- lung innovativer Methoden Künstlicher Intelligenz (KI) und Softwaretools für die ...,-0.44935,de
Nationale Anwendungsstrategie der Bundesregierung,https://bmdv.bund.de/SharedDocs/DE/Publikationen/DG/anwendungsstrategie-bundesregierung.pdf?__blob=publicationFile,"von und mit KI-Methoden bereitstellen, die die Nutzung von KI-Algorithmen ... und Cloudprozessierung für deutsche Behörden. DEP. Digitales Europa ...",-0.4158,de
Künstliche Intelligenz - BMWK,https://www.bmwk.de/Redaktion/DE/Artikel/Technologie/kuenstliche-intelligenz.html,Potenziale der KI für die deutsche Wirtschaft. Eine im Auftrag des BMWK erstellte ... Für moderne Methoden der KI und lernende Systeme sind außerdem die ...,-0.4158,de
6 Berichte der Wissenschaftsorganisationen,https://www.gwk-bonn.de/fileadmin/Redaktion/Dokumente/Papers/GWK-Heft-63_Monitoring-Bericht-2019-Band_II.pdf,... Methoden ermöglicht werden. Damit grenzt sich die Initiative klar von der üb ... Deutschlands kaum unterscheidet. Wenn die Zusammen- arbeit über ...,-0.4158,de
Listenseite für Pressemitteilungen 2024 - Cyberkriminalität ... - BKA,https://www.bka.de/DE/Presse/Listenseite_Pressemitteilungen/2024/Presse2024/240513_PM_BLB_Cybercrime.html,"May 13, 2024 ... Das zeigt sich insbesondere mit Blick auf Straftaten, die Auswirkungen in Deutschland haben, bei denen sich die Täter jedoch im Ausland oder an ...",-0.4158,de
