Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Jobs in Shipping | Maritime Recruiters | Spinnaker,https://spinnaker-global.com/jobseekers/,Spinnaker help candidates navigate the competitive landscape of maritime employment by specialising in connecting talent with opportunities in the shore-based ...,0.9158,com
Cluster Maritime Luxembourgeois – Bringing together the blue ...,https://www.cluster-maritime.lu/,The Luxembourg Maritime Cluster is a non-profit organization that promotes and safeguards the interests of its member companies.,0.85015,lu
Maritime Jobs,https://www.maritimejobs.com/,"Maritime, offshore, energy and technology jobs. New full time & part time, Shore-based and shipping jobs.",0.6366,com
ma-co maritimes competenzcentrum GmbH: Startseite,https://www.ma-co.de/,"... Maritime Training, Gefahrgut & Zoll, Leadership, Safety & Security, sowie IT ... Mit spezifischen Trainings & Ausbildungen zum hochqualifizierten Mitarbeiter in ...",0.31845,de
Anzeigen- und Werbeformate,https://www.schiffundhafen.de/anzeigen.html,"... maritimen Ausbildungsberufe und wichtige Bildungsträger. Download: Mediadaten ""Talents for Maritime"" 2025. German Offshore Equipment Directory. Das German ...",0.2294,de
Ausbildung bei Maritim Hotel Bad Homburg,https://www.aubi-plus.de/unternehmen/maritim-hotel-bad-homburg-bad-homburg-vor-der-hoehe/,"Maritim Hotel Bad Homburg; Bad Homburg vor der Höhe, Deutschland. Beginn. 01.08.2025. Anzeigen. Ausbildungsberufe Maritim Hotel Bad Homburg. Fachkraft für ...",-0.46625,de
Die maritimen Berufe: Ein Blick auf die wichtigen Bereiche ...,https://roter-sand.de/die-maritimen-berufe-ein-blick-auf-die-wichtigen-bereiche/,"Dec 8, 2022 ... Berufe als Deck- und technischer Offizier Wenn Sie gerne mit dem Meer arbeiten, sind die Berufe an Deck und in der Technik vielleicht das ...",-0.4568,de
Maritime Berufe im Wandel: Nachwuchssorgen an Bord,https://www.mehrcontainerfuerdeutschland.de/beruf-und-berufung/maritime-berufe-im-wandel-nachwuchssorgen-an-bord-deutscher-schiffe/,"May 26, 2016 ... Die dreijährige duale Berufsausbildung gibt es seit 1984 in Deutschland. Sorgen macht dem Berufszweig jedoch die angekündigte Änderung der ...",-0.4182,de
Die Nautische Ausbildung in Deutschland - Berufe und Wege,https://www.lotsen.de/die-wege/nautische-ausbildung-und-karriere/,"Jan 28, 2025 ... ... maritimen Sektor zu verfolgen. Voraussetzungen für nautische Ausbildungsberufe. Beruf Seelotse - arbeiten auf dem Wasser. Die nautische ...",-0.4158,de
Das Forum für Interessenvertreter der maritimen Berufe ...,https://www.leaderreunion.fr/de/le-forum-des-acteurs-des-metiers-de-la-mer/,"Oct 27, 2024 ... Maritime Berufe entdecken, und genauer gesagt aus den Geschäften des Hafens von Saint-Gilles-les-Bains war es die Einladung des Rathauses ...",-0.4158,fr
