Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Maritime Security - BAFA,https://www.bafa.de/EN/Foreign_Trade/Maritime_Security/maritime_security_node.html,security companies that are established in Germany and intend to operate on ocean-going vessels under other flags since tasks of maritime security provided ...,0.86755,de
Understanding Maritime Security: 9780197767146 ... - Amazon.com,https://www.amazon.com/Understanding-Maritime-Security-Christian-Bueger/dp/0197767141,"Amazon.com: Understanding Maritime Security: 9780197767146: Bueger, Christian, Edmunds, Timothy: Books.",0.79295,com
Understanding Maritime Security: 9780197767153 ... - Amazon.com,https://www.amazon.com/Understanding-Maritime-Security-Christian-Bueger/dp/019776715X,"Amazon.com: Understanding Maritime Security: 9780197767153: Bueger, Christian, Edmunds, Timothy: Books.",0.79295,com
Maritime Sicherheit | SpringerLink,https://link.springer.com/book/10.1007/978-3-531-19068-6,Buy print copy · Similar content being viewed by others · Kenya: From 'Sea-Blind' to 'Sea-Vision' · Building Maritime Security in Pakistan—The Navy Vanguard · A ...,0.67,com
Interdisziplinärer Forschungsschwerpunkt Maritime Sicherheit,https://www.hsu-hh.de/ifms/,"Der Schutz maritimer Kritischer Infrastrukturen und das Konzept der Abschreckung. Deutschland und der Westen stehen vor der Herausforderung, auch ihre maritimen ...",0.0,de
Institut für den Schutz maritimer Infrastrukturen,https://www.dlr.de/de/mi,Das Ziel ist in Deutschland und Europa gesetzt. ... Es geht um die gemeinsame Erprobung und Weiterentwicklung von Fähigkeiten für die maritime Sicherheit.,-0.4158,de
Maritime Sicherheit auch in deutschen Gewässern ernstnehmen.,https://www.bundestag.de/resource/blob/1010594/03aef287f3e1ec2a625d6d4cdd50b52e/20-4-456-C.pdf,"Während die deutsche Debatte in Bezug auf kritische Infrastrukturen an Land große Fortschritte gemacht hat, wurden die Komplexitäten des Schutzes auf See nicht ...",-0.4158,de
Maritime Sicherheit - BMDV,https://bmdv.bund.de/DE/Themen/Mobilitaet/Wasser/Maritime-Sicherheit/maritime-sicherheit.html,Sicherheit auf See · Eine wichtige Säule der Schiffssicherheit ist die Hafenstaatkontrolle. · Um die Wirksamkeit der Kontrollen weiter zu verbessern und zu ...,-0.4138,de
Studien zum Seevölkerrecht und zur maritimen Sicherheit / Studies ...,https://www.duncker-humblot.de/reihe/studien-zum-seevoelkerrecht-und-zur-maritimen-sicherheit-studies-on-the-law-of-the-sea-and-maritime-security-ssms-258/?page_id=1,"Absicht der Herausgeber ist es, die wissenschaftliche Diskussion über das internationale Seerecht und die maritime Sicherheit in Deutschland zu stimulieren und ...",-0.4138,de
Maritime Sicherheit – GIDS,https://gids-hamburg.de/category/topthemen/maritime-sicherheit/,"... Sicherheitspolitik an der Universität Kiel (ISPK) und das Deutsche Maritime Institut. Die Konferenz findet statt am Montag und Dienstag, 2. und 3. September ...",-0.2997,de
