Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Positive Geschäftsentwicklung in 2023 / Top-Themen Nachhaltigkeit ...,https://presse.maritim.de/pressreleases/positive-geschaeftsentwicklung-in-2023-strich-top-themen-nachhaltigkeit-und-digitalisierung-3306908,"Mar 5, 2024 ... Um den Gästen möglichst klima- und umweltfreundliche Übernachtungen anbieten zu können, sind alle Maritim Hotels in Deutschland einem ...",0.35935,de
DLR – Copernicus - Start frei für sechs neue Missionen,https://www.dlr.de/de/aktuelles/nachrichten/2020/03/20200701_vergabe-auftraege-copernicus-hpcm,"Jul 1, 2020 ... ... Klimawandel, aber auch für maritime Anwendungen. Bild: 4/4, Credit ... Raumfahrtbranche in Deutschland bilden."" Statement von Dr ...",0.1929,de
Behörden und Institutionen des Bundes ... - SERVICE.BUND.DE,https://www.service.bund.de/Content/DE/DEBehoerden/PQ/PtJ/Projekttraeger-Juelich.html?nn=4641496,"Nachhaltige Entwicklung: Nachhaltigkeit und Ressourceneffizienz, Meeres ... Klimaschutz, Anpassung an den Klimawandel, Maritime Technologien. Innovation ...",0.1909,de
"SERVICE.BUND.DE - Stellenangebote, Ausschreibungen ...",https://service.bund.de/Content/DE/DEBehoerden/PQ/PtJ/Projekttraeger-Juelich.html,"Nachhaltige Entwicklung: Nachhaltigkeit und Ressourceneffizienz, Meeres ... Klimaschutz, Anpassung an den Klimawandel, Maritime Technologien. Innovation ...",0.1909,de
Census of marine life - Institut der deutschen Wirtschaft (IW),https://www.iwkoeln.de/studien/census-of-marine-life.html,"In der Forstwirtschaft kennt man den Begriff der Nachhaltigkeit schon seit gut 300 Jahren. In der Hochseefischerei hingegen warten wir bis heute darauf, ...",0.1858,de
Deutsche Nachhaltigkeitsstrategie Weiterentwicklung 2021,https://www.bundesregierung.de/resource/blob/975274/1873516/9d73d857a3f7f0f8df5ac1b4c349fa07/2021-03-10-dns-2021-finale-langfassung-barrierefrei-data.pdf?download=1,"Mar 1, 2021 ... Grund hierfür war und ist, dass die Welt Gefahr läuft, die Ziele der Agenda 2030 für nachhaltige Entwicklung zu verfehlen. Alle Staaten sind ...",-0.47545,de
Für Lehrkräfte - maritimerpfadfinder,https://maritimerpfadfinder.de/fuer-lehrkraefte,"... Nachhaltigkeit setzt. Die Energiewende, der Klima- und ... Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Einrichtung, die die maritime Branche ...",-0.4568,de
Gesellschaft für Maritime Technik e.V.,https://www.maritime-technik.de/,"Die Meerestechnik entwickelt, produziert und verwendet Technologien für die Erforschung, den Schutz und die nachhaltige Nutzung der Meere.",-0.4568,de
Das EU-ETS und die maritime Wirtschaft,https://spedition-seefracht.de/de/blog/das-eu-ets-und-die-maritime-wirtschaft,"Jan 4, 2024 ... Die zentrale Frage im umweltökonomischen Diskurs lautet daher: Wie kann die Schifffahrtsbranche den Übergang zur Nachhaltigkeit vollziehen, ohne ...",-0.4568,de
Blaue Wirtschaft – Die Ocean Foundation,https://oceanfdn.org/de/Blue-Economy/,Pedregon. (2018). Ozean/Maritime Cluster: Führung und Zusammenarbeit für die nachhaltige Entwicklung der Ozeane und die Umsetzung der Ziele für nachhaltige ...,-0.4568,org
