Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Synergy Marine Group: Global Ship Management Leaders,https://www.synergymarinegroup.com/,"Synergy Marine Group is a premier ship manager offering expert technical management for 700+ vessels with sustainable, tailored solutions.",0.43894999999999995,com
Songbird migration offshore | Naturschutz und Energiewende,https://www.natur-und-erneuerbare.de/en/project-database/trackbird-bird-migration-over-the-north-sea-and-baltic-sea-and-offshore-wind-energy-1/,BfN-Fachgespräch: Naturschutz und Solarenergie – Synergien auf ... TRACKBIRD - Bird migration over the North Sea and Baltic Sea and offshore wind energy.,0.1366,de
Strategische Handlungsempfehlungen neue Bundesregierung,https://www.offshore-stiftung.de/dokumente/publikationen/Strategische_Handlungsempfehlungen_neue_Bundesregierung_SOW.pdf,"Offshore-Wind und Maritime Wirtschaft als deutschlandweite Aufgabe mit ... Darauf aufbauend brauchen wir eine mutige, pragmatische, auf das Heben von Synergien ...",0.11095,de
BATMOVE | Naturschutz und Energiewende,https://www.natur-und-erneuerbare.de/en/project-database/batmove/,Impacts of offshore wind farms on bat migration over the sea.,0.0,de
Presse Maritimes Cluster Norddeutschland e.V.,https://www.maritimes-cluster.de/presse/mcn-mit-vereinseigener-geschaeftsstelle-und-neuer-leitung-in-mecklenburg-vorpommern/,"Feb 25, 2019 ... Maritime Wirtschaft Offshore Wind · Personal und Qualifizierung ... Das digital geprägte Umfeld ist ein idealer Ort für Inspirationen und ...",0.0,de
Integration of Maritime Spatial Planning in Albania,https://repositum.tuwien.at/bitstream/20.500.12708/20676/1/Coba%20Dejan%20-%202022%20-%20Integration%20der%20Meeresraumplanung%20in%20Albanien.pdf,"... maritime transport, fishing, aquaculture, and offshore wind farms, in an ... synergies and conflicts between marine sectors and activities for the. Adriatic sea.",-0.6909,at
Gemeinsam für die Maritime Wirtschaft und die Offshore-Windindustrie,https://www.offshore-stiftung.de/sites/offshorelink.de/files/160715_Factsheet_MAWI_OWI.pdf,Die Offshore-Wind-Technologie hat sich in Deutschland etabliert. Dadurch ... Synergien mit weiteren thematisch angelehnten Institutionen tragen dazu ...,-0.4548,de
WINDFORCE 2023 Conference | Bremerhaven,https://windforce.info/windforce-2024/,"WINDFORCE 2024. Gemeinsam stärker: Offshore-Wind und maritime Industrie, wir sind die Basis der erneuerbaren Energien. 10.- 12. Juni 2024, Bremerhaven.",-0.2977,info
BWO - Bundesverband Windenergie Offshore e.V. | LinkedIn,https://www.linkedin.com/company/bwo-offshorewind,"Zukunft der Meere: Was Offshore-Wind und Fischerei gemeinsam leisten können – und ... Und welche Schritte sind notwendig, um Konflikte zu vermeiden und Synergien ...",-0.130625,com
BATMOVE | Naturschutz und Energiewende,https://www.natur-und-erneuerbare.de/en/project-database/batmove/,Impacts of offshore wind farms on bat migration over the sea.,0.0,de
