Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Leading cash buyer of ships for recycling | GMS Leadership.,https://www.gmsinc.net/,"(GMS) is the 'world's largest buyer of ships and offshore assets for recycling. With multiple offices across the globe, including the Germany, Greece, London, ...",0.43894999999999995,net
Finanzausschuss: Förderung der Schifffahrt zumeist begrüßt ...,https://www.haufe.de/steuern/rechtsprechung/finanzausschuss-foerderung-der-schifffahrt-zumeist-begruesst_166_334840.html,"Jan 12, 2016 ... Recycling: Kurs auf grünes Schiffsrecycling ... Besonders Deutschland will eine Vorreiterrolle in der Schiffsentsorgung und -verwertung übernehmen ...",0.26955,de
SGB III - Arbeitsförderung / § 135 Erprobung innovativer Ansätze ...,https://www.haufe.de/sozialwesen/sgb-office-professional/sgb-iii-arbeitsfoerderung-135-erprobung-innovativer-ansaetze_idesk_PI434_HI15350870.html,Recycling: Kurs auf grünes Schiffsrecycling ... Besonders Deutschland will eine Vorreiterrolle in der Schiffsentsorgung und -verwertung übernehmen.,0.26955,de
Frachtschiffe von Schweizer Reedereien in Indien abgewrackt ...,https://www.youtube.com/watch?v=EjKynrH3D1k,"Feb 9, 2022 ... Schiff #Recycling #Umweltschutz Das Entsorgen von alten Frachtschiffen ist ein schmutziges Geschäft. Schweizer Reedereien verdienen ...",0.04945,com
Backhaus: Schiffsrecycling bietet Chancen für MV,https://www.merkur.de/deutschland/mecklenburg-vorpommern/backhaus-schiffsrecycling-bietet-chancen-fuer-mv-zr-93544413.html,"Jan 30, 2025 ... Aktuell gebe es in Deutschland keine nach EU oder Bundesrecht zugelassene Schiffsrecyclinganlage. „Die Werften in MV wären dazu technisch ...",0.002,de
New insights into criminal liability in Germany for illegal ship recycling,https://www.wfw.com/articles/new-insights-into-criminal-liability-in-germany-for-illegal-ship-recycling/?l=de,"Apr 26, 2023 ... (a) Die EU-Schiffsrecycling-VO ist einschlägig, wenn ein Schiff eine EU- Flagge führt. Klarzustellen ist, dass auf die Flagge des Schiffes ...",-0.6482,com
Niederlande: ING und EIB - 300 Millionen Euro für ...,https://www.eib.org/de/press/all/2018-036-ing-and-eib-provide-eur-300m-to-finance-green-shipping,"Feb 19, 2018 ... Die ING und die EIB haben heute eine Vereinbarung über die Förderung ökologischer Investitionen im europäischen Schiffsmarkt mit insgesamt ...",-0.4568,org
Hongkong-Konvention: Ausgediente Schiffe abwracken – aber ...,https://www.mehrcontainerfuerdeutschland.de/oekologie/hongkong-konvention-ausgediente-schiffe-abwracken-aber-umweltgerecht/,"Aug 21, 2018 ... So sieht es die sogenannte Hongkong-Konvention für sicheres und sauberes Schiffsrecycling aus dem Jahr 2009 vor, die Deutschland nun ...",-0.42645,de
Schiffsrecycling in Deutschland: Herausforderungen für deutsche ...,"https://www.nwzonline.de/wilhelmshaven/schiffsrecycling-in-deutschland-herausforderungen-fuer-deutsche-werften_a_4,1,2745021132.html","Oct 8, 2024 ... Im Jahr 2019 ratifizierte die Deutsche Regierung die sogenannte Hongkong-Konvention. Diese regelt das sichere und umweltfreundliche Recyceln von ...",-0.4158,de
Schiffsrecycling-Unternehmen Leviathan in Stralsund - hochhaus ...,https://hochhaus-schiffsbetrieb.jimdoweb.com/schiffsrecycling-unternehmen-leviathan-in-stralsund/,"In Europa gibt es bereits über 30 zugelassene Recycling-Werften (Liste), die meisten davon in der Türkei und bisher keine in Deutschland. Die Stadt ...",-0.4158,com
