Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
So funktioniert der DWS Concept ESG Blue Economy Fonds,https://www.wwf.de/zusammenarbeit-mit-unternehmen/dws/dws-concept-esg-blue-economy-fonds,Das Engagement wird von der DWS mit technischer Unterstützung des WWF Deutschland ... maritime Wirtschaft erst in der Entstehung sind. Hier steigen wir tief ein ...,0.2314,de
Hochschule Bremerhaven | Hochschule am Meer,https://www.hs-bremerhaven.de/,"Studiere an der familiär geprägten ""Hochschule am Meer"" im Land Bremen. Innovative, moderne und maritim geprägte Studiengänge warten auf dich. ‍",0.2202,de
Katalysator für Lösungen zur Erfüllung der ... - Clean Air Task Force,https://www.catf.us/de/,"Dekarbonisierung des globalen Energiesystems zur Bekämpfung des Klimawandels. Wir treiben den technologischen und politischen Wandel voran, der notwendig ist, ...",0.20095,us
Deutsche Seeschifffahrt – Ausgabe Q2-2019,https://epub.sub.uni-hamburg.de/epub/volltexte/2019/92788/pdf/Deutsche_Seeschifffahrt_Ausgabe_Q2_2019.pdf,Branche im Wandel ... entiertes Land wie Deutschland ist eine leistungsstarke und international wett- bewerbsfähige maritime Wirtschaft sehr wichtig.,0.1911,de
Press Releases - BSH,https://www.bsh.de/EN/Press/Press_release/press_release_node.html,The Federal Maritime and Hydrographic Agency is a higher federal authority in Germany coming under the jurisdiction of the Federal Ministry for Digital and ...,0.1886,de
Navigating Through the Darkness With MDA Space and SAR,https://www.ansys.com/de-de/blog/navigating-darkness-mda-space-sar,"Apr 2, 2025 ... ... maritime industry can use the automatic identification systems (AISs) onboard seafaring vessels to identify themselves. As its name suggests ...",-0.625,com
Nie wieder Gastro - Hans-Böckler-Stiftung,https://www.boeckler.de/de/magazin-mitbestimmung-2744-nie-wieder-gastro-34807.htm,"Die Maritim-Hotel-Gesellschaft betreibt allein in Deutschland 29 Hotels, die alle monatelang keine touristischen Gäste beherbergen durften. Thomas Klein, der ...",-0.55155,de
Maritime Agenda 2025. Für die Zukunft des maritimen ...,https://www.bmwk.de/Redaktion/DE/Publikationen/Wirtschaft/maritime-agenda-2025.pdf?__blob=publicationFile&v=14,Die maritime Wirtschaft gehört damit zu den forschungsintensivsten Branchen in. Deutschland. ... Über die Technologie- plattform WATERBORNE kann die maritime ...,-0.47425,de
Wie der Wandel der Arbeitswelt die Logistik erfasst – und was sie ...,https://www.bremen-innovativ.de/2022/10/wie-der-wandel-der-arbeitswelt-die-logistik-erfasst-und-was-sie-tun-kann/,"Oct 28, 2022 ... Wie die Branchen Logistik und maritime Industrie diesem Wandel ... Aber wie funktioniert die Technologie, die generative Künstliche ...",-0.47425,de
VSM Verbandsnachrichten 53. Ausgabe | vsm,https://www.vsm.de/en/node/7780,... Technischer Wandel durch die Digitalisierung und die Folgen für die maritime Personalwirtschaft“. ... maritime Branche. „Der Schritt in eine gemeinsame ...,-0.4568,de
