Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
DECARBONIZING FREIGHT TRANSPORT: ACCEPTANCE AND ...,https://media.suub.uni-bremen.de/bitstream/elib/5441/4/Pfoser%20Rahmenschrift%20zum%20Publizieren%2011.11.2021%20ohne%20Eidesstattliche%20Erkl%C3%A4rung.pdf,"Oct 29, 2021 ... Scania (2020), “Gas geben und richtig sparen”, available at: https://www.scania.com/de ... Handlungsfelder zur Emissionsreduktion im ...",0.2314,de
Bildungsurlaub in NRW März - ...,https://cms.bildungsurlaub.de/wp-content/uploads/2024/11/Bildungsurlaub-in-NRW-Maerz-bis-September-2025-web.pdf,... de. Fo to:©Filadendron/istockpho to .c om www.sobi-muenster.de. AUS- UND ... Handlungsfelder zu wählen und in konkretes Engagement umzusetzen. Diese ...,0.2294,de
und ... - Bundesbericht Forschung und Innovation 2020 - Forschungs,https://www.bundesbericht-forschung-innovation.de/files/BMBF_BuFI-2020_Hauptband.pdf,"... Handlungsfelder aus einer ganzheitlichen Perspektive entwickelt – ökologisch ... (DMZ) gegründet, das sich als. Bindeglied zwischen Wissenschaft und ...",0.1909,de
Bundesbericht Forschung und Innovation 2020 - Forschungs- und ...,https://www.bmbf.de/SharedDocs/Publikationen/de/bmbf/1/31611_1_BUFI_2020_Hauptband.pdf?__blob=publicationFile&amp;v=7,"... Handlungsfelder aus einer ganzheitlichen Perspektive entwickelt – ökologisch ... (DMZ) gegründet, das sich als. Bindeglied zwischen Wissenschaft und ...",0.1909,de
Untitled,https://www.hb.fh-muenster.de/opus4/export/index/ris/searchtype/collection/id/16525,... de/urn/resolver.pl?urn:nbn:de:hbz:836-opus-4589 SP - 44 EP - 53 PB ... https://doi.org/10.25974/fhms-566 PB - VKU-Verlag ER - TY - JOUR A1 - Gellenbeck ...,0.1909,de
Pressemitteilung: Wettbewerb - die besten Lehrkräfte geehrt - DMZ ...,https://dmz-maritim.de/wettbewerb-die-besten-lehrkraefte-geehrt/,"Sep 27, 2022 ... Die Studierenden haben entschieden: Deutsches Maritimes Zentrum ehrt die Gewinner des Wettbewerbs „Hervorragende akademische maritime ...",-0.4568,de
Ramboll – Kraftstoffanalyse in der Schifffahrt nach Segmenten,https://dmz-maritim.de/wp-content/uploads/2022/06/20220601-Kraftstoffanalyse-in-der-Schifffahrt-nach-Segmenten-final.pdf,"Jun 1, 2022 ... B. die gesamte maritime Kraftstoffnachfrage oder die ... Nachfolgend werden die zentralen Handlungsfelder für den Aufbau und ...",-0.4568,de
Kraftstoff-Analyse in der Schifffahrt nach Schiffssegmenten - DMZ ...,https://dmz-maritim.de/energietraeger-der-zukunft-kraftstoff-analyse-in-der-schifffahrt-nach-schiffssegmenten/,"Apr 27, 2022 ... Das Deutsche Maritime Zentrum (DMZ) hat 2021 die Ramboll Deutschland GmbH beauftragt, in einer Studie eine Übersicht der für die Schifffahrt ...",-0.4158,de
Evaluierung Einfuhrumsatzsteuerverfahren - DMZ | Deutsches ...,https://dmz-maritim.de/evaluierung-des-erhebungsverfahrens-zur-einfuhrumsatzsteuer/,"Mar 29, 2023 ... Das Deutsche Maritime Zentrum hatte im Frühjahr 2021 eine Studie an die Hanseatic Transport Consultancy Dr. Ninnenmann & Dr. Rössler GbR und die ...",-0.4158,de
Presse - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/presse/,"Presse. Wir leisten die Medienarbeit für das Deutsche Maritime Zentrum. Wir sind die Anlaufstelle für Journalist*innen, Pressestellen und ...",-0.4158,de
