Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Angela Titzrath - HHLA,https://hhla.de/en/company/management/executive-board/angela-titzrath,"Responsibilities: ... Angela Titzrath was born on 30 April 1966 in Essen. After studying economics and Romance language and literature at Ruhr University Bochum, ...",positiv,de
Angela Titzrath | Women Entrepreneurs Finance Initiative,https://we-fi.org/angela-titzrath/,"In 2012, she was appointed to the Executive Board of Deutsche Post AG, where she was responsible for Group Human Resources globally until 2014. In the last few ...",positiv,org
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,https://www.hafen-hamburg.de/en/press/news/angela-titzrath-is-the-new-ceo-of-hhla-35019/,Angela Titzrath is the new CEO of HHLA ... Angela Titzrath took over as Chairwoman of the Executive Board of Hamburger Hafen und Logistik AG (HHLA) on 1 January ...,neutral,de
Angela Titzrath,https://www.logisticshalloffame.net/en/donated-awards/logistics-leader-of-the-year/laureats/angela-titzrath,"Angela Titzrath (*1966), as a ""change maker"", quickly led the terminal operator HHLA to economic and sustainable success with innovative ideas, courage and ...",positiv,net
Angela Titzrath,https://files.h2-global.de/cv/CV-Titzrath-Angela.pdf,Angela Titzrath is Vice Chair of the Board of Trustees of the H2Global Stiftung. She serves as board member and Chairman of the board at Hamburger Hafen und ...,positiv,de
Splendid honour for Erich Staake and Angela Titzrath,https://logisticshalloffame.net/en/blog/splendid-honour-for-erich-staake-and-angela-titzrath,"Angela Titzrath honoured as “Logistics Leader of the Year 2019” Angela Titzrath, CEO of Hamburger Hafen und Logistik AG, will also remember the evening in ...",positiv,net
HHLA Chairwoman Angela Titzrath Comments On Court's Ruling On ...,https://www.rttnews.com/2742759/hhla-chairwoman-angela-titzrath-comments-on-court-s-ruling-on-river-elbe.aspx?Arch=1,"Feb 9, 2017 ... Angela Titzrath, Chairwoman of Hamburger Hafen und Logistik AG (HHULF.PK) or HHLA, comments on the Federal Administrative Court's ruling ...",neutral,com
Angela Titzrath · DLD Speaker,https://dldnews.com/speakers/angela-titzrath/,"Angela Titzrath is Chairwoman of the Executive Board at Hamburger Hafen und Logistik AG, one of Europe's biggest port authority and transport logistics ...",positiv,com
Change in the Supervisory Board of Deutsche Lufthansa AG,https://newsroom.lufthansagroup.com/en/change-in-the-supervisory-board-of-deutsche-lufthansa-ag/,"Aug 28, 2020 ... Angela Titzrath and Michael Kerkloh will soon be appointed as new members of the Supervisory Board by court order.",neutral,com
"Angela Titzrath Hamburg, Germany Chairwoman of the Board of ...",https://www.talanx.com/media/Files/investor-relations/pdf/hauptversammlung/2023/Lebenslauf_HV_EN_Titzrath.pdf,"Angela Titzrath. Hamburg, Germany. Chairwoman of the Board of Management of. Hamburger Hafen und Logistik AG. First elected: 08.05.2018. Elected until: 04.05 ...",neutral,com
