Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Presse: Autonome Maritime Systeme (AMS)- DMZ | Deutsches ...,https://dmz-maritim.de/wie-gross-ist-der-markt-fuer-autonome-maritime-systeme-ams-in-deutschland-und-europa/,"Dec 5, 2023 ... ... Schifffahrt zu beobachten. Um eine Übersicht zu erhalten, wie groß der entstehende Markt für AMS in Deutschland und Europa ist, hat das Deutsche ...",positiv,de
Autonome Fähre in Kiel | Deutschland spricht über 5G,https://www.deutschland-spricht-ueber-5g.de/magazin/wie-5g-die-autonome-schifffahrt-vorantreibt/,Wie 5G die autonome Schifffahrt vorantreibt. 05.03.2024. 5. 0. Mehr Sicherheit und eine effiziente Mobilität: Ein Kieler Forschungsteam will autonome Fähren ...,negativ,de
Studie zu Anwendungsfällen von Autonomen Maritimen Systemen ...,https://dmz-maritim.de/studie-zu-anwendungsfaellen-von-autonomen-maritimen-systemen/,"Mar 17, 2022 ... ... Deutschland sicherstellen. ... Das Thema Autonome Schifffahrt und deren nachhaltige Entwicklung sollte in einen gemeinsamen Kontext gestellt ...",neutral,de
Sieben Schiffe testen semi-autonomes Fahren in Deutschland ...,https://binnenschifffahrt-online.de/2022/12/featured/28174/sieben-schiffe-testen-semi-autonomes-fahren-in-deutschland/,"Dec 8, 2022 ... MEHR ZUM THEMA: Jetzt geht es um autonome Systeme auf dem Rhein · Flandern stellt sich hinter eine (teil-)autonome Binnenschifffahrt · Seafar, ...",neutral,de
Autonomes Fahren auf dem Wasser - DLR,https://www.dlr.de/de/aktuelles/nachrichten/2023/03/autonomes-fahren-auf-dem-wasser,"Jul 6, 2023 ... ... autonome Schifffahrt. Es trägt dazu bei, die Schifffahrt von morgen ... Deutschland. mehr über das DLR. DLR Logo. Anschrift: DLR ...",negativ,de
Erste Zentrale für ferngesteuerte Binnenschiffe öffnet in Duisburg ...,https://www1.wdr.de/nachrichten/ruhrgebiet/duisburg-schifffahrt-fernsteuerungszentrale-100.html,"Feb 28, 2024 ... Fast autonome Binnenschifffahrt | video. Testphase seit rund einem ... Als erster Standort in Deutschland ist Duisburg nicht zufällig gewählt.",neutral,de
Ferry Go! - Autonome Fähren im deutsch-niederländischen ...,https://deutschland-nederland.eu/de/ferry-go-autonome-faehren-im-deutsch-niederlaendischen-wattenmeer/,"Jul 25, 2024 ... Der Einsatz von intelligenten Systemen für eine (teil-)autonome Schifffahrt kann dazu beitragen, diesen Herausforderungen zu begegnen. Ziel ...",neutral,eu
Expertensystem als Assistent für bemannte und autonome ... - BMDV,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/mfund-projekte/ebas.html,Logistikstandort Deutschland · Multimodaler Güterverkehr · Städtische Logistik ... Expertensystem als Assistent für bemannte und autonome Schifffahrt - EBAS.,neutral,de
Ella kommt alleine klar | float Magazin,https://floatmagazin.de/dinge/ella-kommt-alleine-klar-autonome-schifffahrt-rhein-dst/,"Feb 5, 2025 ... Autonome Schifffahrt. Ella kommt alleine klar. Wann fahren die ersten autonomen Schiffe? In Deutschland ist bereits ein Testschiff unterwegs ...",negativ,de
Autonome Schifffahrt: Schiff Yara Birkeland 2020| Statista,https://de.statista.com/statistik/daten/studie/1201610/umfrage/kennzahlen-zum-schiff-yara-birkeland/,... Deutschland zwischen Rezession und Stagnation · Statistiken zum ... Kennzahlen zum autonomen Schiff Yara Birkeland. Veröffentlicht von Statista Research ...,neutral,com
