Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
China und Hamburg: Der Pyrrhussieg des Hamburger Hafens - DER ...,https://www.spiegel.de/wirtschaft/china-und-hamburg-der-pyrrhussieg-des-hamburger-hafens-a-21fe9bc6-79c0-4621-99b2-f756b6de2f67,"Oct 26, 2022 ... ... deutsche oder europäische ... Eine symmetrische Beteiligung eines deutschen Unternehmens an einem chinesischen Hafen wäre unmöglich.",negativ,de
Cosco-Deal: An diesen Häfen in Europa ist chinesische Reederei ...,https://www.stern.de/politik/deutschland/cosco-deal--an-diesen-haefen-in-europa-ist-chinesische-reederei-schon-beteiligt-32851000.html,"Oct 26, 2022 ... Denn es lasse sich auch umdrehen: Verweigern Deutschland und Hamburg eine Beteiligung, dann könnte die derzeit zweitgrößte Container ...",negativ,de
Studie für den TRAN-Ausschuss − Chinesische Investitionen in die ...,https://www.europarl.europa.eu/RegData/etudes/STUD/2023/747278/IPOL_STU(2023)747278(SUM01)_DE.pdf,"Weitere. Untersuchungen zur Erhebung von Daten über die Risiken der Beteiligung chinesischer ... In dem ersten Bericht sollten bestehende europäische Häfen, die ...",negativ,eu
China: Staatskonzern Cosco darf Anteile am Hamburger Hafen ...,https://www.faz.net/aktuell/wirtschaft/unternehmen/china-staatskonzern-cosco-darf-anteile-am-hamburger-hafen-erwerben-18884516.html,"May 10, 2023 ... ... chinesische Beteiligung zugelassen werden soll. Das Kabinett ... deutsche Abhängigkeit von China unverhältnismäßig, hieß es in einer ...",neutral,net
Chinas Einstieg beim Hamburger Hafen ist ein Risiko – DW – 25.10 ...,https://www.dw.com/de/china-cosco-hafen-hamburg/a-63556198,"Oct 25, 2022 ... Die Frage einer chinesischen Beteiligung am Hamburger Hafen ist zu einem Konflikt innerhalb der Bundesregierung geworden - und bleibt es auch ...",negativ,com
Chinas Einfluss in den Häfen der Welt | Welt-Sichten,https://www.welt-sichten.org/artikel/42456/chinas-einfluss-den-haefen-der-welt,"Mar 19, 2024 ... ... Hafen von Piräus. China hält daran eine Beteiligung von mehr als zwei Drittel. Orestis Panagiotou/EPA/Bloomberg via Getty Images. Seehandel ...",neutral,org
Cosco darf beim Hamburger Hafen einsteigen – DW – 11.05.2023,https://www.dw.com/de/chinesischer-staatskonzern-cosco-darf-beim-hamburger-hafen-einsteigen/a-65586680,"May 11, 2023 ... Die Regierung will zwar keine Entkoppelung der deutschen Wirtschaft von China, aber ein De-Risking, also eine Risikominimierung, wie ...",negativ,com
Hamburger Hafen: Umstrittener Cosco-Deal unter Dach und Fach ...,"https://www.ndr.de/nachrichten/hamburg/Hamburger-Hafen-Umstrittener-Cosco-Deal-unter-Dach-und-Fach,cosco146.html","Jun 19, 2023 ... Die Zusammenarbeit mit China stärke die Position Hamburgs als Logistik-Drehscheibe im Nord- und Ostseeraum sowie der Industrienation Deutschland ...",negativ,de
China greift nach mehr deutschen Unternehmen,https://www.handelsblatt.com/politik/deutschland/wirtschaftsministerium-china-greift-nach-weiteren-deutschen-unternehmen/29405032.html,"Sep 21, 2023 ... Chinesische Investoren haben die deutsche Wirtschaft im Fokus. Das Bundeswirtschaftsministerium prüft aktuell aus keinem anderen Land mehr ...",negativ,com
Griff nach Europa: Chinas strategische Käufe | BR24,"https://www.br.de/nachrichten/deutschland-welt/griff-nach-europa-chinas-strategische-kaeufe,TLa2rvQ","Oct 31, 2022 ... Chinesische Beteiligungen an 14 europäischen Häfen. Piräus war der ... Über die Beteiligung an der deutschen Hamburger Hafen und ...",negativ,de
Wirtschaftliche Verflechtung in der Kritik: Das Ende der China ...,https://www.tagesschau.de/wirtschaft/china-beteiligungen-investitionen-seidenstrasse-duisburg-100.html,"Jun 20, 2023 ... In Deutschland wird zunehmend kritisch auf Beteiligungen chinesischer Unternehmen im Inland geblickt. Städte wie Duisburg erhofften sich in ...",negativ,de
Staatskonzern aus China - Kompromiss zum COSCO-Einstieg in ...,https://www.deutschlandfunk.de/cosco-hamburger-hafen-china-infrastruktur-100.html,"Oct 26, 2022 ... Wie China durch Terminal-Beteiligungen in Europa profitiertAusverkauf der Häfen ... Der Hamburger Hafen ist der größte deutsche Seehafen ...",neutral,de
Cosco steigt bei Hamburger Hafenterminal ein | tagesschau.de,https://www.tagesschau.de/wirtschaft/cosco-hamburg-hafen-102.html,"May 10, 2023 ... Insgesamt hingen rund 1,35 Millionen Arbeitsplätze in Deutschland von den Häfen ab. ... chinesische Beteiligung zugelassen werden soll. Das ...",neutral,de
FDP will chinesische Beteiligung am Hamburger Hafen stoppen ...,https://www.focus.de/politik/deutschland/chefin-der-jungen-liberalen-fdp-soll-chinesische-beteiligung-am-hamburger-hafen-stoppen_id_170714302.html,"Oct 26, 2022 ... „Es ist schmerzlich deutlich geworden, dass die große Koalition im Umgang mit Russland zu blauäugig agiert und Deutschland so in eine ...",negativ,de
Cosco-Beteiligung in Hamburg: Das Ende der China-Euphorie ...,https://www.tagesschau.de/investigativ/ndr-wdr/china-cosco-hhla-hamburg-101.html,"Mar 20, 2023 ... Der geplante Einstieg Chinas beim Hamburger Hafen zeigt, wie tief der Graben in der Regierung im Umgang mit Peking ist.",neutral,de
Drucksache 20/4572,https://dserver.bundestag.de/btd/20/045/2004572.pdf,"Nov 22, 2022 ... (www.handelsblatt.com/politik/deutschland/cosco-beteiligung-kritik-am-g ... möglichen chinesischen Beteiligung am Hamburger Hafen befasst, und.",neutral,de
China: Logistikexperte Erich Staake kritisiert Berlin und die EU,https://www.nzz.ch/wirtschaft/china-logistikexperte-erich-staake-kritisiert-berlin-und-die-eu-ld.1712508,"Nov 21, 2022 ... ... Hafen hitzige Diskussionen über Beteiligungen aus China an deutschen Unternehmen ausgelöst. Wie sehen Sie die Debatte? Optimieren Sie Ihre ...",negativ,ch
Hamburger Hafen: Chinesen dürfen nun doch Anteile an Terminal ...,https://www.focus.de/politik/deutschland/kompromiss-soll-stehen-sechs-ministerien-geben-widerstand-gegen-china-deal-im-hamburger-hafen-auf_id_169962600.html,"Oct 26, 2022 ... Der Weg für die umstrittene chinesische Beteiligung an einem Container-Terminal im Hamburger Hafen ist nun frei.",negativ,de
China kauft ein: Häfen als strategische Außenposten - news.ORF.at,https://orf.at/stories/3331993/,"Sep 24, 2023 ... Mehrere deutsche Ministerien sprachen sich gegen den chinesischen ... Für China, die größte Handelsnation der Welt, sind die Beteiligungen an ...",negativ,at
