Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Dekarbonisierung in der Schifffahrt,https://www.dnv.de/maritime/insights/topics/saubere-schifffahrt/,"Wege zur Emissionsminderung. Die derzeit bekannten und ausgereiften Energieeffizienz-Maßnahmen können die Emissionen pro Schiff je nach Typ um 20-30% senken, ...",negativ,de
Fit für 55: Dekarbonisierung der europäischen Schifffahrt - Clean Air ...,https://www.catf.us/de/resource/fit-for-55-decarbonising-european-shipping/,"Mit den ""Fit for 55""-Vorschlägen können sich die politischen Entscheidungsträger der EU endlich mit den Emissionen aus der Schifffahrt und ihren erheblichen ...",positiv,us
Auf dem Weg zur Dekarbonisierung der Schifffahrt,https://publica.fraunhofer.de/entities/publication/04407e8e-75b7-48c5-8f6d-96395bf5e43e,Auf dem Weg zur Dekarbonisierung der Schifffahrt. Abstract. Die globale Seeschifffahrt ist der Leistungsträger des Welthandels. Rund 90 Prozent des ...,negativ,de
Forschung für die Dekarbonisierung der Schifffahrt - DLR,https://www.dlr.de/de/aktuelles/nachrichten/2021/02/20210528_dlr-eroeffnet-institut-fuer-maritime-energiesysteme,"May 28, 2021 ... Das DLR-Institut für Maritime Energiesysteme erforscht und entwickelt innovative Lösungen für die Dekarbonisierung und Emissionsreduktion der ...",negativ,de
Dekarbonisierung von Häfen und Schifffahrt - Arup,https://www.arup.com/de/services/port-and-shipping-decarbonisation/,"Die Häfen werden bei der Dekarbonisierung der Schifffahrt eine entscheidende Rolle spielen, indem sie die Schiffe an die neue Energieversorgung anschließen und ...",negativ,com
Szenarien zur Dekarbonisierung der Containerschifffahrt | Deloitte ...,https://www.deloitte.com/de/de/Industries/consumer/research/szenarien-zur-dekarbonisierung-der-containerschifffahrt.html,Ammoniak kann in einer Brennstoffzelle verwendet werden. Aber die kommerzielle Nutzung für die Schifffahrt ist aufgrund der unausgereiften Technologie noch ...,negativ,com
"Consulting, Dekarbonisierung (Schifffahrt ...",https://www.gtai.de/de/trade/lateinamerika/ausschreibungen-projekte/consulting-dekarbonisierung-schifffahrt--1885896,"Apr 8, 2025 ... Vorgesehen: Unterstützung der Dekarbonisierung entlang dreier Wertschöpfungsketten (Schiffskraftstoffe, Schiffbau und Schiffsbetrieb) im ...",neutral,de
"Fünf Dinge, die wir heute tun können, um die Schifffahrt zu ...",https://www.trafigura.com/de/news-and-insights/insights/five-things-we-can-do-today-to-decarbonise-shipping/,"Aug 14, 2024 ... Als einer der weltweit grössten Charterer von Tankschiffen wissen wir, wie wichtig es ist, die Dekarbonisierung der Schifffahrt zu unterstützen.",negativ,com
Europäische Regulierung in der Schifffahrt,https://www.nabu.de/umwelt-und-ressourcen/verkehr/schifffahrt/30896.html,"Um dieses Ziel zu erreichen, ist die Dekarbonisierung des Transportsektors ein zentrales Element. Neue klimafreundliche Antriebstechnologien sind dafür ...",negativ,de
Vom BMZ angestoßene Allianzen zur Dekarbonisierung der ...,https://www.bmz.de/de/aktuelles/aktuelle-meldungen/nachhaltige-schiff-und-luftfahrt-dekarbonisierung-transport-248786,"Mar 17, 2025 ... ... Dekarbonisierung von Luft- und Schifffahrt zu intensivieren. Heute ... Staatssekretär Jochen Flasbarth: „Die globale Schifffahrt stößt mehr ...",neutral,de
#64 Dekarbonisierung der Schiffahrt (Prof. Sören Ehlers - Direktor ...,https://www.enpower-podcast.de/podcast/gewerblicheimmobilien,"May 22, 2022 ... #64 Dekarbonisierung der Schiffahrt (Prof. Sören Ehlers - Direktor des DLR Institut für Maritime Energiesysteme) ... Auf mehrfachen Wunsch gibt es ...",neutral,de
Dekarbonisierung in der Schifffahrt | HYDAC,https://www.hydac.com/de-de/industrieanwendungen/schiffbau/dekarbonisierung-in-der-schifffahrt/,"Beim elektrischen Schiffsantrieb unterstützt die HYDAC Steuereinheit mit H-Brücken-Modul, um die Elektromotoren proportional zu steuern. Ihre Vorteile: Äußerst ...",negativ,com
