Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Maritime Security - BAFA,https://www.bafa.de/EN/Foreign_Trade/Maritime_Security/maritime_security_node.html,security companies that are established in Germany and intend to operate on ocean-going vessels under other flags since tasks of maritime security provided ...,positiv,de
Institute for the Protection of Maritime Infrastructures,https://www.dlr.de/en/mi,Public attention is currently focused on the security of maritime infrastructure. The German Aerospace Center (Deutsches Zentrum für Luft- und Raumfahrt; DLR) ...,positiv,de
Center for Maritime Strategy and Security — Institute for Security ...,https://www.ispk.uni-kiel.de/en/staff/staff/dr-sebastian-bruns/center-for-maritime-strategy-and-security,"Oct 16, 2024 ... 33-41. Bruns, Sebastian: „The Baltic Sea and Current German Navy Strategy“, Center for International Maritime Security, 20 July 2016. Bruns, ...",positiv,de
Center for International Maritime Security | Fostering the Discussion ...,https://cimsec.org/,"Feb 17, 2025 ... How may threats from Russia in the maritime domain shift and present newfound challenges to NATO naval power? How can NATO navies strategize ...",neutral,org
Dr. Moritz Brake - Geschäftsführer & Mitgründer - NEXMARIS ...,https://de.linkedin.com/in/dr-moritz-brake/en,"Maritime Security | Strategy | PhD, Department of War Studies, King's College London | Expert | Entrepreneur | Officer in the Reserve of the German Navy · I ...",negativ,com
Maritime Cyber Security — Home,https://www.deutsche-flagge.de/en/safety-and-security/ism/maritime-security,Maritime Cyber Security. Preparation for the (cyber) emergency; Effective cyber risk management is necessary; German flag supports shipping companies ...,positiv,de
Homepage - Maritimes Sicherheitszentrum,https://www.msz-cuxhaven.de/EN/Home/home_node.html,"The Maritime Safety and Security Centre (MSSC) is based in Cuxhaven (Lower Saxony), right at the mouth of the river Elbe.",positiv,de
Piracy and Maritime Security - Regional characteristics and political ...,https://www.swp-berlin.org/publications/products/research_papers/2011_RP03_mrs_ks.pdf,"Mar 3, 2011 ... 11 ICC International Maritime Bureau, ed., Piracy and Armed Robbery Against Ships (see note. 1); Verband Deutscher Reeder, Daten der Deutschen ...",positiv,org
Maritime Security,https://www.thyssenkrupp-marinesystems.com/en/products-services/nxtgen-engineering/maritime-security,"Maritime Security. Maritime Security. Protection of Critical Infrastructure in ... 28309 Bremen, Germany. Send email. Hendrik Wehner (MUM). Head of Product ...",positiv,com
Deutschlands maritime Sicherheit braucht mehr Vernetzung,https://www.bundeswehr.de/de/organisation/marine/aktuelles/deutschlands-maritime-sicherheit-vernetzung-5691186,"Oct 17, 2023 ... Wie relevant die See und überhaupt das maritime Umfeld für Deutschland sind, hat sich gerade in den letzten Jahren gezeigt.",negativ,de
"""2024 Maritime Security Year in Review: Insights, Innovations, and ...",https://www.linkedin.com/pulse/2024-maritime-security-year-review-insights-mario-eisenhut-ntwee,"Dec 16, 2024 ... Maritime Sicherheit und Cybersecurity in deutschen Häfen (German Version) Focusing on Germany, this article discusses the state of maritime ...",positiv,com
EU strongly committed to enhancing global maritime security | EEAS,https://www.eeas.europa.eu/eeas/eu-strongly-committed-enhancing-global-maritime-security_en,"Oct 10, 2022 ... ... maritime security on the occasion of the German shipping day, the “Deutscher Schifffahrtstag”. The event was organised by the German Shipping.",positiv,eu
Maritime Sicherheit im Rahmen der SMM - marineforum,https://marineforum.online/maritime-sicherheit-im-rahmen-der-smm/,"May 28, 2024 ... In Zusammenarbeit mit der Hamburg Messe als Veranstalter führt das Deutsche Maritime Institut (DMI) dieses Forum durch. Exklusiver Medienpartner ...",neutral,online
Maritime Sicherheit – GIDS,https://gids-hamburg.de/category/topthemen/maritime-sicherheit/,Wie kaum ein anderer Teilbereich der Deutschen Marine waren Fähigkeiten und Strukturen der „grünen Marine“ seit den 1990er-Jahren an die Bedingungen des ...,negativ,de
Maritime Sicherheit bewaffnet · Schiffssicherheit · Armed Guards ...,https://www.ibs-ops.com/leistungen/maritime-sicherheit-bewaffnet-schiffssicherheit-armed-guards/,Dies belegen aktuelle sicherheitsrelevante Zwischenfälle in Deutschland. Grundsätzlich gilt dies jedoch auch für kerntechnische Anlagen und sonstige an ...,neutral,com
The Maritime Zeitenwende: Germany in the Northern Waters,https://www.nupi.no/content/pdf_preview/29553/file/NUPI_Report_14_Jakobsen_Etzold_Svendsen.pdf,"Dec 16, 2024 ... These developments in the German approach to security and defence created a window of opportunity for partner countries that would like to ...",positiv,no
"ONE TEAM, ONE PLAYGROUND, VARIOUS PLAYERS MARITIME ...",https://pulaski.pl/wp-content/uploads/2022/02/One-Team-One-Playground-Various-Players.-Maritime-Security-Approaches-of-European-NATO-Members.pdf,"Germany is part of more continentally focused European security actors, but due to its global economic and political relevance the country complements this with ...",positiv,pl
University of Groningen More Rhetorical Commitment than ...,https://research.rug.nl/files/587530978/b26c2789_c097_16b9_ffc3_8e51be096123.pdf,"German maritime economy, the government chose the EUMSS as the focus of EU activities. However, that Germany advocated the inclusion of the security dimension ...",positiv,nl
Federal Police - BMI,https://www.bmi.bund.de/EN/topics/security/federal-police/federal-police-node.html,Assistance for Ukraine and security for Germany · World University Games ... maritime and aviation security. They are also involved in fighting organized ...,positiv,de
Germany and the Baltic Sea Region > National Defense University ...,https://ndupress.ndu.edu/Media/News/News-Article-View/Article/3323959/germany-and-the-baltic-sea-region/,"Mar 10, 2023 ... Maritime Security. Another change since 2014 is that NATO has paid greater attention to the maritime aspects of collective defense. Germany is ...",positiv,edu
Maritime Sicherheit - BMDV,https://bmdv.bund.de/DE/Themen/Mobilitaet/Wasser/Maritime-Sicherheit/maritime-sicherheit.html,"Aktuelle Seite: Maritime Sicherheit. Artikel. Sicherheit auf See. Alle ... Seeschifffahrt unter deutscher Flagge · Kopenhagener HELCOM-Erklärung PDF, 102 ...",neutral,de
"nexmaris.eu – Maritime Resilience: Consulting, Security, and Beyond",https://www.nexmaris.eu/,"Maritime shipping, the entire maritime industry, and maritime infrastructures are the foundation of the economic power of Germany and Europe. Over 80% of ...",positiv,eu
Maritimer Kalender Maritimes Cluster Norddeutschland e.V.,https://www.maritimes-cluster.de/maritimer-kalender/innovators-meet-and-shape-the-future/,"media docks Lübeck, Willi-Brandt-Allee 31, 23554 Lübeck, Deutschland. FG Innovationsmanagement | FG Maritime Sicherheit | FG Maritime Wirtschaft Offshore ...",neutral,de
Dr. Moritz Brake — cassis_en,https://www.cassis.uni-bonn.de/en/about-us/all-employees/dr-moritz-brake,"Jan 31, 2023 ... ) „60 Jahre Deutsche Marine in Bildern“ (Mittler&Sohn, Bonn 2016); Brake, Moritz (Hrsg.) „Maritime Sicherheit - Moderne Piraterie ...",neutral,de
A new Arctic strategy for the EU: maritime security and geopolitical ...,https://www.ssoar.info/ssoar/handle/document/73924,Stiftung Wissenschaft und Politik -SWP- Deutsches Institut für Internationale Politik und Sicherheit. Abstract. The European Union is an Arctic actor with a ...,positiv,info
Studien zum Seevölkerrecht und zur maritimen Sicherheit / Studies ...,https://www.duncker-humblot.de/en/reihe/studien-zum-seevoelkerrecht-und-zur-maritimen-sicherheit-studies-on-the-law-of-the-sea-and-maritime-security-ssms-258/?page_id=1,"Absicht der Herausgeber ist es, die wissenschaftliche Diskussion über das internationale Seerecht und die maritime Sicherheit in Deutschland zu stimulieren und ...",negativ,de
Maritime Sicherheit auch in deutschen Gewässern ernstnehmen.,https://www.bundestag.de/resource/blob/1010594/03aef287f3e1ec2a625d6d4cdd50b52e/20-4-456-C.pdf,Maritime Sicherheit auch in deutschen Gewässern ernstnehmen. Stellungnahme zum Thema Die Zeitenwende auch auf See umsetzen. Befugnisse der Bundespolizei.,negativ,de
Maritime Sicherheit weltweit - Bundespolizei,https://www.bundespolizei.de/Web/DE/01Sicher-auf-Reisen/03Mit-Schiff-Boot/01Maritime-Sicherheit-weltweit/Maritime-Sicherheit/maritime-sicherheit_node.html,"Gemäß § 4 StGB gilt das deutsche Strafrecht – unabhängig vom Recht des Tatortes – für Taten, die auf einem deutschen Schiff begangen werden. Damit ist ...",negativ,de
Thales - Building a future we can all trust,https://www.thalesgroup.com/en,"From Aerospace, Space, Defence to Security & Transportation, Thales helps its customers to create a safer world by giving them the tools they need to ...",positiv,com
Maritime Sicherheit – Moderne Piraterie - Peter Lang Verlag,https://www.peterlang.com/document/1049133,... deutschen Rechtsrahmens für den Einsatz privater bewaffneter Sicherheitsteams auf Seeschiffen. Hierbei erleichtert der interdisziplinäre Charakter der ...,neutral,com
National Security Strategy: Robust. Resilient. Sustainable ...,https://www.nationalesicherheitsstrategie.de/National-Security-Strategy-EN.pdf,"The maritime dimension, above and underwater, is particularly important with respect to Germany's security of supply and eco- nomic security. The extent ...",positiv,de
