Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Dieter Janecek - Wikipedia,https://en.wikipedia.org/wiki/Dieter_Janecek,Dieter Janecek ... Dieter Gerald Janecek (born 25 May 1976) is a German politician of the Green Party (Alliance 90/The Greens) who served as a member of the ...,positiv,org
Dieter Janecek,https://dieterjanecek.de/en/,"I have been a member of the German Bundestag, additionally speaker for digital economy & industrial policy as well as member of committees.",positiv,de
Case C-237/07 Janecek,https://curia.europa.eu/juris/liste.jsf?num=C-237/07,Judgment of the Court (Second Chamber) of 25 July 2008. Dieter Janecek v Freistaat Bayern. Reference for a preliminary ruling: Bundesverwaltungsgericht ...,neutral,eu
EUR-Lex - 62007CJ0237 - EN - EUR-Lex,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A62007CJ0237,Judgment of the Court (Second Chamber) of 25 July 2008. Dieter Janecek v Freistaat Bayern. Reference for a preliminary ruling: Bundesverwaltungsgericht - ...,neutral,eu
Dieter Janecek | Platform Cooperativism Consortium,https://platform.coop/people/dieter-janecek/,"Dieter Janacek was born in Pirmasens on May 25, 1976. He is a Roman Catholic, married with three children. Dieter is a member of the German Parliament since ...",neutral,coop
Case C-237/07 Dieter Janecek v Freistaat Bayern,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:62007CJ0237_SUM,Dieter Janecek v. Freistaat Bayern. (Reference for a preliminary ruling from the Bundesverwaltungsgericht). (Directive 96/62/EC — Ambient air quality ...,neutral,eu
Digital Dish with Members of the Bundestag Dieter Janecek ...,https://www.aspeninstitute.de/events/digital-dish-with-members-of-the-bundestag-dieter-janecek-alliance-90-the-greens-and-thomas-jarzombek-cdu-on-digtial-policy-in-2018-priorities-and-challenges/,About 30 high-level guests were able to discuss with Members of the Bundestag Dieter Janecek (Alliance 90/The GREENS) and Thomas Jarzombek (CDU) the ...,neutral,de
Member of the Bundestag Dieter Janecek presents funding ...,https://www.innovative-navigation.de/en/allgemein-en/member-of-the-bundestag-dieter-janecek-presents-funding-certificates-for-the-seasentry-research-project/,"At SMM 2024 in Hamburg, Dieter Janecek, Member of the German Parliament and Coordinator of the Federal Government for Maritime Economy and Tourism, ...",neutral,de
AIDA's Felix Eichhorn Welcomes Dieter Janecek on AIDAnova in ...,https://cruiseindustrynews.com/cruise-news/2023/12/aidas-felix-eichhorn-welcomes-dieter-janecek-on-aidanova-in-hamburg/,"Dec 26, 2023 ... AIDA Cruises President Felix Eichhorn welcomed Dieter Janecek, the federal government coordinator for the maritime economy and tourism, and Dirk Inger.",positiv,com
Dieter Janecek - 2022,https://2022.progressive-governance.eu/team-member/dieter-janecek/,Dieter Janecek was elected to the German parliament for The Greens in the federal elections in 2013. He is a member of the Committee on Economic Affairs.,neutral,eu
Dieter Janecek – Koordinator für maritime Wirtschaft und Tourismus ...,https://de.linkedin.com/in/dieter-janecek,Als Tourismuskoordinator habe ich mit dem BMWK und über 130 Branchenakteuren die Nationale Tourismusstrategie entwickelt und mit der „Nationalen Plattform ...,negativ,com
Dieter Janecek - Deutscher Bundestag,https://www.bundestag.de/abgeordnete/biografien/J/janecek_dieter-857506,"Profile im Internet ... Geboren am 25. Mai 1976 in Pirmasens; römisch-katholisch; verheiratet, drei Kinder. 1995 Abitur am Karl-von-Closen-Gynmasium Eggenfelden; ...",positiv,de
Federal Government Coordinator for Maritime Economy and ...,https://www.isl.org/en/federal-government-coordinator-maritime-economy-and-tourism-visits-isl,"Last week, Dieter Janecek, the Federal Government's Coordinator for Maritime Economy and Tourism, paid a visit to the Institute of Shipping Economics and ...",neutral,org
"Dieter Janecek on X: ""ERSTSTMME Janecek! https://t.co ...",https://x.com/DJanecek/status/1891796450310324409,"Log in · Sign up. Conversation. Dieter Janecek · @DJanecek. ERSTSTMME Janecek!. Image. 10:26 AM · Feb 18, 2025. ·. 1,206. Views.",neutral,com
Dieter Janecek Bundestag - YouTube,https://www.youtube.com/channel/UCVaa4zapJP6xKg0dFRgX3Bw,"Share your videos with friends, family, and the world.",positiv,com
Politics meets business for joint dialog,https://www.toptica.com/toptica-news/politics-meets-business-for-joint-dialog,"Jul 12, 2022 ... The economic policy spokesman of the B'90/Green parliamentary group Dieter Janecek visited the Graefelfing-based laser manufacturer TOPTICA.",neutral,com
Dieter Janecek (@DJanecek) / X,https://x.com/djanecek,"Dieter Janecek, Koordinator für Maritime Wirtschaft und Tourismus der Bundesregierung, steht auf dem Podium. Besucher der ITB Berlin laufen auf ...",neutral,com
Dieter Janecek - BMWK,https://www.bmwk.de/Redaktion/DE/Dossier/Visitenkarten/dieter-janecek.html,Dieter Janecek Koordinator der Bundesregierung für die Maritime Wirtschaft und Tourismus ... Einwilligung zum Videodienst JW-Player. Das Ministerium präsentiert ...,negativ,de
Dieter Janecek (@dieterjanecek) • Instagram photos and videos,https://www.instagram.com/dieterjanecek/?hl=en,@dieterjanecek ist unser Direktkandidat für den Wahlkreis München-West/Mitte! Herzlichen Glückwunsch!,neutral,com
Category:Dieter Janecek - Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Dieter_Janecek,"May 25, 2022 ... Media in category ""Dieter Janecek"". The following 23 files are in this category, out of 23 total. Ausschuss Digitale Agenda-Panorama.jpg ...",neutral,org
"Dieter Janecek | Dieter Janecek (MdB, wirtschaftspolitischer… | Flickr",https://www.flickr.com/photos/boellstiftung/31003153395,"Dieter Janecek (MdB, wirtschaftspolitischer Sprecher der Bundestagsfraktion Bündnis90/Die Grünen) Foto: stephan-roehl.de.",neutral,com
Janecek visits VDMA office in Shanghai,https://hansa.news/janecek-visits-vdma-office-in-shanghai/,"May 31, 2024 ... Maritime Coordinator Dieter Janecek was on a trip to China this week. He took the opportunity to visit the VDMA office in Shanghai.",positiv,news
Dieter Janecek – Wikipedia,https://de.wikipedia.org/wiki/Dieter_Janecek,Dieter Janecek ... Dieter Gerald Janecek (* 25. Mai 1976 in Pirmasens) ist ein deutscher Politiker (Bündnis 90/Die Grünen). Er ist seit 2013 Mitglied des ...,positiv,org
Dieter Janecek - BMWK,https://www.bmwk.de/Redaktion/FR/Artikel/Carriere-Professionnelle/carriere-professionelle-janecek.html,Parcours professionnel · porte-parole pour la politique économique · membre de la commission de l'économie · membre adjoint de la commission du climat et de l' ...,neutral,de
Dieter Janecek | BÜNDNIS 90/DIE GRÜNEN München,https://www.gruene-muenchen.de/person/dieter-janecek/,Abseits der offiziellen Politik war mein größter Erfolg sicher das mühselig erstrittene Recht auf saubere Luft im Juli 2008 vor dem Europäischen Gerichtshof (“ ...,negativ,de
UN Tourism Welcomed to German Bundestag and Strengthens ...,http://www.unwto.org/news/un-tourism-welcomed-to-german-bundestag-and-strengthens-bilateral-relations,"Jun 7, 2024 ... Dieter Janecek, and participated in a session of the Committee on Tourism of the German Bundestag. In the bilateral meeting with the Federal ...",positiv,org
Dieter Janecek (@DJanecek) / X,https://twitter.com/DJanecek,"Dieter Janecek's posts ... ""A senior diplomat said: 'It's very clear now, Europe is alone.' When I asked him if he now regarded the US as an adversary, he replied ...",positiv,com
Germany joins the Zero-Emission Shipping Mission,https://mission-innovation.net/wp-content/uploads/2023/02/Press-release-Germany-joins-the-Zero-Emission-Shipping-Mission.pdf,"” – Dieter Janecek,. Federal Government Coordinator for the Maritime Industry at the German Federal. Ministry for Economic Affairs and Climate Action. The ...",neutral,net
Accessible Tourism Day - Germany Travel,https://www.germany.travel/en/trade/gntb-events/accessible-tourism-day-2023.html,"The online event will be opened by the Federal Government Commissioner for Maritime Affairs and Tourism, Dieter Janecek, Member of the German Bundestag, and ...",neutral,travel
"20 February 2023, Mecklenburg-Western Pomerania, Rostock ...",https://www.alamy.com/20-february-2023-mecklenburg-western-pomerania-rostock-dieter-janecek-r-greens-the-german-governments-new-coordinator-for-maritime-affairs-stands-on-the-main-bridge-of-the-maritime-simulation-center-in-warnemnde-with-mario-gehrke-m-head-of-the-maritime-simulation-center-watching-an-entry-maneuver-into-the-port-the-voyage-is-simulated-on-the-360-degree-panoramic-screen-the-facility-at-wismar-university-of-applied-sciences-is-the-only-simulation-center-in-the-world-where-engine-control-guidance-from-the-ships-bridge-and-shore-side-support-from-a-traffic-control-center-can-be-si-image526866893.html,"Feb 20, 2023 ... Dieter Janecek (r, Greens), the German government's new coordinator for maritime affairs, stands on the main bridge of the Maritime Simulation Center in Warnem ...",neutral,com
Dieter Janecek MdB | GRÜNE BAYERN,https://www.gruene-bayern.de/person/dieter-janecek/,"Vita von Dieter Janecek. Geboren am 25. Mai 1976 in Pirmasens; römisch-katholisch; verheiratet, drei Kinder. 1995 Abitur am Karl-von-Closen-Gynmasium ...",positiv,de
Profile for Dieter Janecek,https://www.facebook.com/DieterJanecekBundestag/,"Mein politischer Weg führte mich zu dieser Zeit auch in den Bezirkstag von Oberbayern und den Bezirksausschuss Neuhausen-Nymphenburgs – immer mit dem Ziel, vor ...",neutral,com
"""Connected startups – More growth through international ...",https://www.telekom.com/en/blog/group/article/-connected-startups-more-growth-through-international-collaboration--62204,"Apr 12, 2016 ... Shelly Hod Moyal knows a lot about Israeli high-tech companies and investments. Dieter Janecek.",positiv,com
Right to Clean Air and Access to Justice: Who can go to Court?,https://www.clientearth.org/media/daopcwjj/webinar-5-right-to-clean-air-and-access-to-justice-who-can-go-to-court.pdf,"Jan 29, 2020 ... • Dieter Janecek demanded a short- term action plan under Directive. 1996/62/EC. Page 26. Case C-237-07 Janecek v Freistaat. Bayern: “Where ...",positiv,org
"BBMV-Wahlkreistour mit Dieter Janecek, MdB in München - BBMV",https://www.bbmv.de/2023/01/09/bbmv-wahlkreistour-mit-dieter-janecek-mdb-in-m%C3%BCnchen/,"Jan 9, 2023 ... Claudia Becker, Regionalleitung MVZ der alanta health group stellte das Engagement der Gruppe auch in weniger städtischen Regionen als München, ...",positiv,de
Training lawyers for Europe: The Academy of European Law,"https://www.energy-community.org/dam/jcr:ac89b246-6f44-481a-aa1b-8dcc454a80a3/Administrative%20court%20Aachen,%20Air%20pollution%20and%20climate%20in%20national%20courts.pdf",– where the CJEU stated that establishing an air quality plan can be judicially enforced by an affected person (Dieter Janecek) – an air quality plan must ...,negativ,org
Bundesministerium für Wirtschaft und Klimaschutz - Dieter Janecek ...,https://m.facebook.com/100069335524488/photos/954273003560542/,16 hours ago ... Dieter Janecek im Gespräch mit dem Gastgeber JDZB.,neutral,com
Dr. Sarah Barnes erklärt Dieter Janecek MdB das maritime Lagebild ...,https://www.dlr.de/de/aktuelles/nachrichten/2023/02/koordinator-fuer-maritime-wirtschaft-und-tourismus-besucht-dlr/dr-sarah-barnes-erklaert-dieter-janecek-mdb-das-maritime-lagebild-marlin,Dr. Sarah Barnes erklärt Dieter Janecek MdB das maritime Lagebild MARLIN ... Von links: Dr. Sarah Barnes (Gruppenleiterin am DLR-Institut für den Schutz Maritimer ...,neutral,de
Table of Cases in: The Ecosystem Approach in Ocean Planning and ...,https://brill.com/abstract/book/edcoll/9789004389984/front-8.xml,"Nov 15, 2018 ... ... Dieter Janecek v Freistaat Bayern [2008] ECLI:EU:C:2008:447. Case C-535/07 Com v Austria [2010] ECLI:EU:C:2010:602. Case C-453/08 Karanikolas ...",neutral,com
Space Cafe Germany - Election Special,https://www.linkedin.com/pulse/space-cafe-germany-election-special-tom-segert,"Sep 3, 2021 ... Dieter Janecek (Die Grünen - green / centre left):. The German space law (Raumfahrtgesetz) which was not implemented yet still needs to be ...",positiv,com
Bundestagswahl: Grünen-Politiker Janecek verliert bei Wahl der ...,https://www.sueddeutsche.de/muenchen/bundestagswahl-dieter-janecek-gruene-direktmandat-lux.8U3xiZerqy7fctAQeKM4C2,"Dec 2, 2024 ... ... Dieter Janecek. (Foto: Friedrich Bungert). Der Münchner will wieder in den Bundestag, verliert aber die Abstimmung für die beiden besten ...",negativ,de
MBDA Policy Roundtable at Hannover Messe Explores Changing ...,https://archive.mbda.gov/news/blog/2016/04/mbda-policy-roundtable-hannover-messe-explores-changing-demographics-and-inclusive.html,"Apr 29, 2016 ... ... Dieter Janecek, and MBDA National Director Alejandra Y. Castillo. The discussion explored issues that directly impact diverse small and ...",neutral,gov
Port of Hamburg | Dieter Janecek wird neuer Koordinator der ...,https://www.hafen-hamburg.de/de/presse/news/dieter-janecek-wird-neuer-koordinator-der-bundesregierung-fuer-maritime-wirtschaft-und-tourismus-1/,"Jan 18, 2023 ... “ Dieter Janecek ist ein erfahrener Wirtschaftspolitiker der Grünen. Als Bundestagsabgeordneter mit dem Schwerpunkt Wirtschaftspolitik steht er ...",neutral,de
Press Detail,https://www.meyerwerft.de/en/press/press_detail/start_of_production_for_converter_platform.jsp,"Jul 4, 2024 ... ... Dieter Janecek, Federal Govern-ment Coordinator for the Maritime Economy and Tourism. ""In order to achieve the ambitious expansion targets ...",positiv,de
Das Progressive Zentrum partners with Revision Summit - Das ...,https://www.progressives-zentrum.org/en/das-progressive-zentrum-partners-with-revision-summit/,"Nov 14, 2018 ... • Dieter Janecek (MdB) • Annika Heinzt (change.org) • Jess Houlgrave (Codex Protocol) • Franz von Weizsäcker (GIZ) • Ronja Kemmer (MdB)",neutral,org
Decisions search - Judgment of 15 April ... - Bundesverfassungsgericht,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/2019/04/qs20190415_2bvq002219en.html,"Apr 15, 2019 ... 78.Dieter Janecek,. 79.Ulla Jelpke,. 80.Gyde Jensen,. 81.Dr. Christian Jung,. 82.Dr. Kirsten Kappert-Gonther,. 83.Kerstin Kassner,. 84.Uwe ...",neutral,de
Dieter Janecek - Profil bei abgeordnetenwatch.de,https://www.abgeordnetenwatch.de/profile/dieter-janecek,"abgeordnetenwatch.de setzt sich durch Bürger:innenbeteiligung und Transparenz für eine selbstbestimmte, demokratische Gesellschaft ein, in der jede:r gleich ...",neutral,de
Diskussion mit Dieter Janecek und André Hermann | André ...,https://www.andrehermann.de/events/townhall_janecek_hermann/,"Feb 15, 2025 ... Diskussion mit Dieter Janecek und André Hermann ... Bei dieser Townhall-Diskussion beantworten Dieter Janecek und André Hermann die Fragen des ...",negativ,de
Emirates welcomes dignitaries at ITB Berlin 2024,https://www.emirates.com/media-centre/emirates-warmly-welcomes-key-dignitaries-at-itb-berlin-2024/,"Mar 5, 2024 ... ... Dieter Janecek, Federal Government Coordinator of the Maritime Industry and Tourism, Federal Ministry for Economic Affairs and Climate ...",positiv,com
Munich ordered to cut car pollution – POLITICO,https://www.politico.eu/article/munich-ordered-to-cut-car-pollution/,"Jul 28, 2008 ... The case was brought by Dieter Janecek, a member of the Green Party, when it emerged that in both 2005 and 2006 pollution caused by exhausts ...",negativ,eu
