Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Potentiale und Chancen des Digitalen Zwillings im Aftersales ...,https://www.maritimes-cluster.de/fileadmin/user_upload/Downloads/Studie-Digitaler-Zwilling-Schiffbau-Schiffsbetrieb-2023.pdf,"Dieser umfassende Digitale Zwilling kann beispielsweise eine Vielzahl von unterschiedlichen Daten zu einem Schiff beinhalten. Es lässt sich beobachten, dass ...",neutral,de
"Digital Twins in the Shipping Industry - Benefits, Use Cases and ...",https://www.hapag-lloyd.com/de/online-business/digital-insights-dock/insights/2024/03/digital-twins-in-the-shipping-industry.html,"Mar 28, 2024 ... ... digitale Zwillinge alles können und wie sie insbesondere in der Schifffahrt eingesetzt werden. Inhalt. Digitale Zwillinge – eine Definition.",positiv,com
Forschung für die Dekarbonisierung der Schifffahrt - DLR,https://www.dlr.de/de/aktuelles/nachrichten/2021/02/20210528_dlr-eroeffnet-institut-fuer-maritime-energiesysteme,"May 28, 2021 ... „Digitaler Zwilling“ ergänzt die Versuche in Grenzbereichen. Schwerpunkte: Energie, Verkehr, Digitalisierung. Schiffe transportieren mehr als 80 ...",negativ,de
Mit dem digitalen Zwilling in die Logistik von morgen | EY ...,https://www.ey.com/de_de/insights/consulting/mit-dem-digitalen-zwilling-in-die-logistik-von-morgen,"Aug 29, 2022 ... Digitale Zwillinge ermöglichen erstmals eine kontinuierliche datengetriebene Optimierung sowohl einzelner Bestandteile von Lieferketten – zum ...",negativ,com
Maritime Digital Twin architecture,https://elib.dlr.de/142819/1/10.1515_auto-2021-0082.pdf,"Nov 29, 2021 ... Ein Konzept für die Anwendung holistischer Digitaler Zwillinge in Schiffbau und Schifffahrt https://doi.org/10.1515/auto-2021-0082. Received ...",negativ,de
Digitale Zwillinge und intelligente Stromnetze,https://www.dke.de/de/arbeitsfelder/energy/news/digitale-zwillinge-und-intelligente-stromnetze,"Jul 11, 2022 ... Unter einem Digitalen Zwilling versteht man die virtuelle Abbildung von physischen Objekten oder Systemen. Hat der Digital Twin seinen ...",negativ,de
Digitale Zwillinge für die Stadt von morgen,https://datareport.online/digitale-zwillinge/,"Jun 4, 2021 ... Hilfe mit digitalem Zwilling · Von Schifffahrt bis Industrie · Städte mit 3-D-Modellen abbilden · Stadtentwicklung · Anschaulich planen · Mit ...",negativ,online
Digitale Zwillinge: Vom Computer zur See - Siemens DE,https://www.siemens.com/de/de/unternehmen/stories/forschung-technologien/digitaler-zwilling/zukunft-der-mobilitaet-effizienz-fuer-schifffahrt.html,Schiffe müssen nach internationalem Reglement künftig deutlich nachhaltiger werden. Mithilfe moderner Software zur Strömungssimulation hilft Siemens ...,neutral,com
Digitale Zwillinge,https://bmdv.bund.de/SharedDocs/DE/Anlage/DG/umfassende-arbeitsergebnisse-digitale-zwillinge-fuer-bau-infrastrukturmanagement-und-betrieb-chancen-anwendungsbereiche-umsetzungsoptionen.pdf?__blob=publicationFile,"Dabei soll ein KI-Modell trainiert und mit dessen Hilfe die Kommunikation zwischen Schiff, Infrastruktur und Verkehrszentrale optimiert werden. Tabelle 6. F.",negativ,de
Digitale Transformation in der Schifffahrt: Chancen und ...,https://stein-maritime.com/digitale-transformation-in-der-schifffahrt-chancen-und-herausforderungen,"Wir bieten innovative Lösungen wie digitale Zwillinge und Data Science, um die Effizienz und Wettbewerbsfähigkeit zu steigern. Lesen Sie unsere neuesten ...",negativ,com
Was ist ein digitaler Zwilling? | IBM,https://www.ibm.com/de-de/topics/what-is-a-digital-twin,Anwendungsfälle; Die Zukunft digitaler Zwillinge; Weiterführende Lösungen; Ressourcen für digitale Zwillinge; Nächste Schritte ... Schifffahrt. Der Hafen von ...,negativ,com
Digitalisierung in der Schifffahrt,https://www.dnv.de/maritime/insights/topics/digitalisierung-in-der-schifffahrt/,"Neue Cloud-basierte Technologien wie Big Data und Digitale Zwillinge sind dabei, das Informationsmanagement der Industrie grundlegend zu verändern. Zudem ...",neutral,de
Der digitale Zwilling von Schiffen bringt auf See viele Vorteile,https://www.vdi-nachrichten.com/technik/produktion/der-digitale-zwilling-von-schiffen-bringt-auf-see-viele-vorteile/,"Jul 21, 2023 ... Schifffahrt. Ein Beitrag von: Wolfgang Heumer. News-Alert: VDI nachrichten digital. Alles, was Sie wissen müssen – der Blick auf die ...",negativ,com
Taufe Coriolis,https://hereon.de/cms60/institutes/hydrogen_technology/news/115531/index.php.de,"Nov 18, 2024 ... Digitale Zwillinge von Nordsee, Ostsee und dem Schiff. Die CORIOLIS trägt mit ihren Messdaten unter anderem zur Entwicklung eines Digitalen ...",negativ,de
Digitaler Zwilling bildet Zukunft der Steillagen virtuell ab ...,https://www.landkreis-ludwigsburg.de/de/landratsamt-landkreis/aktuelles/nachrichten/detail/digitaler-zwilling-bildet-zukunft-der-steillagen-virtuell-ab/,"Apr 9, 2024 ... Der „Digitale Zwilling“ wurde Landrat Dietmar Allgaier sowie ... Schifffahrt ermöglicht besondere Perspektiven. Vorgestellt wurde der ...",neutral,de
Maritime Automation with Bachmann electronic GmbH - Bachmann ...,https://www.bachmann.info/de/branchen/maritime-automatisierung,"Digitale Zwillinge. Automatisierungssysteme für die Motorsteuerung. Wesentliche maritime Systeme. Mehr erfahren · Maritim, Autonome Schifffahrt. Autonome ...",negativ,info
Klimaneutrale Schifffahrt - Achema,https://www.achema.de/de/magazin/artikel/carbon-zero-shipping,"Wie die traditionelle Schifffahrtindustrie modernste Technologien wie den digitalen Zwilling dazu einsetzt, die Umweltverschmutzung in Häfen von Portsmouth ...",negativ,de
Digital Twin Software und Lösungen | AVEVA,https://www.aveva.com/de-de/solutions/digital-transformation/digital-twin/,Schifffahrt · Schiffsbetrieb ... Vorteile digitaler Zwillinge; Erfolgsberichte der Kunden; Ausgewählte Digital-Twin-Produkte; Ressourcen für digitale Zwillinge ...,neutral,com
Dynamische Software zur Erstellung eines digitalen Zwillings ...,https://www.rockwellautomation.com/de-de/products/software/factorytalk/designsuite/emulate3d-digital-twin.html,Schifffahrt und Werften ... Digitale Zwillinge transformieren den gesamten industriellen Bereich und verbessern die Interaktion mit unseren Umgebungen.,negativ,com
Forschung – Lehrstuhl für Regelungstechnik und Systemtheorie ...,https://lrs.ruhr-uni-bochum.de/forschung/,Smarte Pumpen für die Digitale Schifffahrt. Mehr Informationen. SFB TR 287 ... Digitale Zwillinge. Echtzeitfähige digitale Zwillinge von Kreiselpumpen. für ...,negativ,de
Digitaler Zwilling Deutschland & Monitoring des Meeresspiegels im ...,https://www.bkg.bund.de/SharedDocs/Downloads/BKG/DE/Downloads-Aktuelles/presseunterlagen-pk-2023.pdf?__blob=publicationFile&v=2,"Nov 15, 2023 ... Digitale Zwillinge gibt es viele. Uns geht es um einen Zwilling ... Schifffahrt oder den. Ausbau der Offshore-Windenergie. Manch einer ...",neutral,de
"Größe des Marktes für digitale Zwillinge in Europa, Wachstum ...",https://www.fortunebusinessinsights.com/de/markt-f-r-digitale-zwillinge-in-europa-107452,"Europa ist die drittgrößte Region auf dem globalen Markt für digitale Zwillinge ... digitalen Zwillings in den Bereichen Schifffahrt, Stromnetze und Logistik zu ...",negativ,com
Taufe der CORIOLIS: Schwimmendes Labor für die Küsten- und ...,https://www.fona.de/de/taufe-der-coriolis-schwimmendes-labor-fuer-die-kuesten-und-wasserstoffforschung,"Nov 18, 2024 ... ... Schifffahrt, die den Umweltschutz und die Klimafreundlichkeit stärkt ... Digitale Zwillinge sind interaktive virtuelle Abbilder von ...",negativ,de
Update – Museen im digitalen Zeitalter. Online-Erweiterung ...,https://www.museumsbund.de/publikationen/update-museen-im-digitalen-zeitalter-online-erweiterung/,Das Mixed Reality Open Lab im Museum für Antike Schifffahrt des RGZM. Ina ... Frank Dürr: Digitale Zwillinge von Ausstellungen und Museen. Virtuelle ...,neutral,de
Digitale Wasserstraßen | Daten+,https://daten.plus/digitale-wasserstrassen-sicherheit-in-der-seeschifffahrt,"Dec 12, 2024 ... Für mehr Sicherheit in der Seeschifffahrt. Die verstärkte Nutzung durch die Schifffahrt und die wachsende Anzahl von Offshore-Windparks ...",negativ,plus
Neues Forschungsschiff Coriolis getauft • pro-physik.de - Das ...,https://pro-physik.de/nachrichten/neues-forschungsschiff-coriolis-getauft,"Nov 19, 2024 ... So ist es Wegbereiter für eine innovative Schifffahrt, die den Umweltschutz und die Klimafreundlichkeit stärkt. ... Digitale Zwillinge sind ...",negativ,de
Expertise aus der Raumfahrt für Schifffahrt und Logistik,https://www.ohb.de/news/expertise-aus-der-raumfahrt-fuer-schifffahrt-und-logistik,"Sep 5, 2022 ... Digitale Zwillinge für eine smarte Logistik. OHB Digital ist neben „Space Systems“ und „Aerospace“ der dritte Geschäftsbereich des ...",neutral,de
Digitale Transformation - MATLAB & Simulink,https://de.mathworks.com/solutions/aerospace-defense/digital-transformation.html,"Digitale Zwillinge, digitale Threads und DevSecOps zur Unterstützung der digitalen Entwicklung ... Bahn, Schifffahrt und sonstiges Transportwesen, Bedarfs ...",neutral,com
Schifffahrt: Staaten streiten bei IMO-Verhandlungen über CO2-Abgabe,https://background.tagesspiegel.de/newsletter/4ojmyhukujh3f3txvmnikz,"Apr 8, 2025 ... Zurück aufs Land: Digitale Zwillinge sollen den Stadtverkehr smarter, nachhaltiger und effizienter machen. In der Praxis aber scheitert die ...",negativ,de
Ökonomisches Assistenzsystem für die Bodenseeschifffahrt | Smart ...,https://smart-green-city-konstanz.de/Assistenzsystem_Bodenseeschifffahrt,"Jan 9, 2023 ... ... Schiff MS Mainau optimieren. Um energieeffizient zu manövrieren, sollen die SchiffsführerInnen durch einen digitalen Zwilling unterstützt werden ...",negativ,de
Schiffbau | Schiffbau | Siemens Software,https://www.sw.siemens.com/de-DE/digital-thread/smart-manufacturing/ship-construction/,"Digitaler Thread für die Schifffahrt. Schiffbau. Wandeln Sie auf die digitale ... Erstellen Sie einen digitalen Zwilling des Schiffes und der Werft, um ...",negativ,com
Impact of Digital Twins in Engineering - Frankfurt - MATLAB & Simulink,https://www.mathworks.com/company/events/seminars/impact-of-digital-twins-in-engineering-4795500.html,"Modellbasierte Entwicklung und digitale Zwillinge für Industrieanlagen ... Bahn, Schifffahrt und sonstiges Transportwesen, Bedarfs- und Konsumgüter ...",neutral,com
Maritime Digital Twin architecture,https://www.degruyter.com/document/doi/10.1515/auto-2021-0082/html?lang=en,"Nov 27, 2021 ... Bei heutigen Digitalisierungstrends spielen Digitale Zwillinge ... Schifffahrt; Schiffbau; Digitalisierung; Digitaler Zwilling; Product Lifecycle ...",neutral,com
Lösungen für die Schiffs- und Offshore-Vermessung | Hexagon,https://hexagon.com/de/industries/surveying/marine-offshore,Mit den Vermessungslösungen von Hexagon für die Schifffahrt und Offshore-Industrie lassen sich digitale Zwillinge von Häfen und Küstenzonen einfach ...,negativ,com
FlettnerFLEET,https://www.iwes.fraunhofer.de/de/forschungsprojekte/aktuelle-projekte/flettnerfleet.html,"Das Fraunhofer IWES entwickelt in einem Teilprojekt einen Digitalen Zwilling des Gesamtsystems Rotorschiff, um so Einflüsse von Steuerung und Schwingungen zu ...",neutral,de
Beiträge der S-100-Welt für Schifffahrtszeichen und ...,https://dhyg.de/images/fachbeitraege/DOI_10.23784_HN115_09.pdf,"Die S-. 100-Welt soll dereinst die »digitale Schiffbarkeit« ermöglichen, das setzt freilich »digitale. Zwillinge« von Schiff und Umwelt voraus. Der Beitrag ...",negativ,de
CAPTN Kontrollzentrum eröffnet - CAPTN,https://captn.sh/captn-kontrollzentrum-eroeffnet/,"Aug 3, 2023 ... Digitaler Zwilling von Schiff und Testfeld erlaubt Erprobung von Manövern und Anwendungen zur autonomen Schifffahrt. Vom CAPTN ...",neutral,sh
Digitale Zwillinge und virtuelle Realität machen Bausch+Ströbel in ...,https://www.aktiv-online.de/news/digitale-zwillinge-und-virtuelle-realitaet-machen-bausch-stroebel-in-ilshofen-produktiver-3903,"Dec 28, 2019 ... Der digitale Zwilling macht das Konstruieren neuer Anlagen leichter. Insgesamt ist es ein achtköpfiges Team, das hier die Digitalisierung für ...",negativ,de
"Eplan ist MTP-ready: So profitieren Schifffahrt, Schiffbau und ...",https://www.eplan.com/de-de/blog/trends/eplan-ist-mtp-ready-so-profitieren-schifffahrt-schiffbau-und-prozessindustrie,"Mar 28, 2024 ... ... digitalen Zwilling abzubilden – von der einzelnen Komponente bis hin zum ganzen Schiff. Darüber hinaus kann Eplan Software nahtlos in ...",neutral,com
Bericht,https://publica.fraunhofer.de/bitstreams/c8259c8d-6858-45df-a237-52c1e66e510b/download,"digitale Zwilling der Bundeswasserstraßen nicht nur eine Datenhaltung dar, sondern beinhaltet auch ... Nicht nur die Wirtschaft und Schifffahrt werden von ...",negativ,de
Der digitale Zwilling machts möglich: Maschinen im Feld einfach ...,https://www.eplan.com/de-de/blog/trends/maschinenverkabelung-mit-digitalem-zwilling,"Apr 6, 2023 ... In Eplan Harness proD lassen sich Kabellängen vom Schrank ins Feld schnell und einfach ermitteln. Maschinenverkabelung: Der digitale Zwilling ...",neutral,com
Der Digitale Zwilling – die Schlüsselkomponente für Industrie 4.0,https://www.konstruktionspraxis.vogel.de/der-digitale-zwilling-die-schluesselkomponente-fuer-industrie-40-a-792521/,"Jan 24, 2019 ... Der Datenaustausch zwischen digitalen Zwillingen vervollständigt das Bild für beide beteiligten Parteien. Digitale Zwillinge im Lebenszyklus von ...",negativ,de
Hitachi Energy führt den digitalen Zwilling IdentiQ für nachhaltige ...,https://www.hitachienergy.com/ch/de/news-and-events/press-releases/2021/11/hitachi-energy-launches-identiqtm-digital-twin-for-sustainable-flexible-and-secure-power-grids,"Nov 16, 2021 ... Überblick Luft Land Schifffahrt Schienenverkehr · Rechenzentrum ... „IdentiQ ist eine bahnbrechende Lösung für digitale Zwillinge, die ...",negativ,com
Ökosystem Maritim - Mobilität | ITK Engineering,https://www.itk-engineering.de/stories/oekosystem-maritim/,"... werden. Dafür braucht es den Einsatz modernster Technologien, wie Simulation, Digitale Zwillinge oder Optimierungsalgorithmen, um die richtigen ...",negativ,de
Virtuelle Entdeckungsreise durch den digitalen Zwilling des ...,https://www.sales-perfection.com/virtuelle-entdeckungsreise-durch-den-digitalen-zwilling-des-deutschen-museum/,"Weitere Stationen zum Fraunhofer-Teleskop, dem Museumsgründer Oskar von Miller oder der Schifffahrt beherbergen weitere interessante Tools zur unterhaltsamen ...",neutral,com
Captn „Wavelab“ hat in Kiel einen digitalen Zwilling bekommen,https://www.kn-online.de/lokales/kiel/captn-wavelab-hat-in-kiel-einen-digitalen-zwilling-bekommen-GUYT5V5E4VH2PBROVUUJBBZBKE.html,"Aug 7, 2023 ... Bergfest für die autonome Schifffahrt auf der Kieler Förde: Das neue autonome Versuchsschiff „Wavelab“ des Projekts Captn Förde 5G hat seit ...",negativ,de
Wir bauen auf die digitale Zukunft | WTM Engineers,https://www.wtm-engineers.de/zukunft-gestalten/digitale-transformation/,Digitale Transformation. Modellbasierte ArbeitsweiseDigitaler ZwillingDigitale Pioniere. Wir bauen auf die digitale Zukunft. Neueste Technologien und ...,negativ,de
Größe und Anteil der Marktanalyse für digitale Zwillinge ...,https://www.researchnester.com/de/reports/digital-twin-market/4226,"Oct 10, 2024 ... ... Schifffahrt von großem Nutzen. Verschiedene Vorteile des digitalen Zwillings darunter ein hohes Maß an Zuverlässigkeit und Genauigkeit ...",neutral,com
"Neues EU-Projekt zum Thema ""grüne"" Schifffahrt gestartet ...",https://www.tu-chemnitz.de/tu/pressestelle/aktuell/12287,"Feb 1, 2024 ... ... Schifffahrt gestartet | TUCaktuell. ... Zudem sollen wegweisende digitale Technologien entwickelt werden, darunter der digitale Zwilling ...",neutral,de
Digital Engineering im Maschinenbau studieren - Bachelor of ...,https://www.oth-regensburg.de/studiengang/digital-engineering-im-maschinenbau-studieren,"Durch den Einsatz von Software, Simulationen, KI oder digitalen Zwillingen entwickeln Digital Engineers anspruchsvolle technische Lösungen - von der ...",neutral,de
MCN Cup 2025 - Erneuerbare Energien Hamburg | EEHH,https://www.erneuerbare-energien-hamburg.de/de/news/details/mcn-cup-2025.html,"1 day ago ... Ob digitale Zwillinge für nachhaltige Hafeninfrastruktur ... Schifffahrt – der MCN Cup prämiert zukunftsweisende Ideen, Produkte und ...",neutral,de
Brückenplanung - Arup,https://www.arup.com/de/services/bridge-design-and-engineering/,Entdecken Sie mehr von unserem Know-how: Alle Services. Dienstleistungen. Tiefbau · Digitales Asset Management · Digitale Zwillinge · Grundbau und Hydrogeologie.,positiv,com
Blog - Jöckel Innovation Consulting,https://joein.de/blog/,Digitale Zwillinge schaffen ein digitales Abbild physischer Objekte ... Neben einer enormen Menge an transportierten Gütern zeichnet die Schifffahrt so auch für 2 ...,negativ,de
MCN veröffentlicht Studie zum Digitalen Zwilling im Aftersales ...,https://www.windkraft-journal.de/2023/03/16/mcn-veroeffentlicht-studie-zum-digitalen-zwilling-im-aftersales-service-fuer-den-schiffbau-und-schiffsbetrieb/185757,"Mar 16, 2023 ... ... Schifffahrt“ beitragen kann. Bei der Vorstellung der Studie in ... Kristine Bauer vom Fraunhofer IGD in Rostock, dass die technischen Grundlagen ...",negativ,de
