Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Maritime Transformation - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/maritime-transformation-wegbereiterin-fuer-die-zukunft-bericht/,"Jun 23, 2023 ... ... deutsche maritime Industrie. Denn ... maritime Branche vor eine kürzlich noch ungeahnte Herausforderung stellt: den Fachkräftemangel.",neutral,de
Maritime Wertschöpfung und Beschäftigung in Deutschland,https://www.bmwk.de/Redaktion/DE/Publikationen/Maritime%20Wirtschaft/Maritime-Wertsch%C3%B6pfung-Studie-Kurzfassung.pdf?__blob=publicationFile&v=3,Die maritime Wirtschaft Deutschlands ist dabei nicht auf deutsche ... wicklung der maritimen Wirtschaft stellt der Fachkräftemangel in verschiedensten Be-.,negativ,de
Warum sich junge Talente für die maritime Branche entscheiden,https://dmz-maritim.de/studie-nachwuchssicherung_2023/,"Aug 1, 2023 ... ... maritimen Branche durchgeführt, um ... Deutsche Industrie- und Handelskammer (DIHK): Fachkräftemangel – mit gravierenden Folgen.",negativ,de
Maritime Wirtschaft - Herausforderungen und Chancen durch die ...,https://www.ihk-nord.de/produktmarken/schwerpunkte/maritime-wirtschaft-infrastruktur-seeverkehr/nmk-2023-5912922,Die maritime Wirtschaft sichert in Deutschland damit bundesweit mehr als ... maritimen Branche – der allgegenwärtige Arbeits- und Fachkräftemangel. Im ...,negativ,de
Maritime Wertschöpfung und Beschäftigung in Deutschland,https://www.bmwk.de/Redaktion/DE/Publikationen/Maritime%20Wirtschaft/Maritime-Wertsch%C3%B6pfung-Studie-Endbericht.pdf?__blob=publicationFile&v=8,"Apr 13, 2021 ... wicklung der maritimen Wirtschaft stellt der Fachkräftemangel in verschiedensten Be- rufsgruppen dar. Page 160. Maritime Wertschöpfung und ...",neutral,de
Maritime Zuversicht im Norden - IHK Nord,https://www.ihk-nord.de/servicemarken/presse/mitteilungen/pm-maritime-konjunktur-2024-6183334,"Jun 25, 2024 ... Die Konjunkturaussichten der maritimen Wirtschaft in Deutschland legen im Frühjahr 2024 insgesamt zu. Sorgen bereiten den Unternehmen die ...",negativ,de
Die Welt als Arbeitsplatz: Schifffahrt sucht Besatzung der Zukunft ...,https://www.reederverband.de/de/die-welt-als-arbeitsplatz-schifffahrt-sucht-besatzung-der-zukunft,"Sep 13, 2023 ... ... maritimen Nachwuchses und die Begeisterung junger Talente für die maritime Wirtschaft. ... deutschen Schifffahrt ist ein umfassendes maritimes ...",negativ,de
Ploß: Maritime Wirtschaft braucht dringend Rückenwind ...,https://cduhamburg.de/ploss-maritime-wirtschaft-braucht-dringend-rueckenwind/,Die CDU/CSU-Fraktion wird dazu am morgigen Donnerstag einen Antrag in den Deutschen Bundestag einbringen. Zentrale Antragspunkte sind: 1. Stärkung des Maritimen ...,negativ,de
Einbruch bei Werften und Häfen: Maritime Wirtschaft unter Druck ...,https://www.ihk-nord.de/servicemarken/presse/mitteilungen/pm-maritime-konjunktur-2024-2-6335360,"Nov 28, 2024 ... Die Konjunkturaussichten der maritimen Wirtschaft in Deutschland ... Fachkräftemangel. Am deutlichsten rückläufig ist das ...",negativ,de
Zukunftskonzept für die Maritime Wirtschaft in Mecklenburg ...,https://www.regierung-mv.de/static/Regierungsportal/Ministerpr%C3%A4sidentin%20und%20Staatskanzlei/Dateien/pdf-Dokumente/Publikation_-_Zukunftskonzept_f%C3%BCr_die_maritime_Wirtschaft_in_MV_Druckfassung.pdf,"Jul 17, 2024 ... Hinzu kommt der demografisch begründbare Fachkräftemangel ... nahezu allen deutschen Werften sowie anderen Unternehmen der maritimen Branche.",negativ,de
