Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Maritime Agenda 2025 - BMWK,https://www.bmwk.de/Redaktion/EN/Publikationen/maritime-agenda-2025.html,01/01/2017 - Publication - Maritime Industry Maritime Agenda 2025 The future of Germany as a maritime industry hub,neutral,de
Maritime Agenda 2025 - Climate Change Laws of the World,https://climate-laws.org/document/maritime-agenda-2025-f5d2,"Germany | Policy | The Maritime Agenda 2025 sets out goals, fields of action, and measures to contribute to the sustainable use and protection of the sea ...",neutral,org
The Maritime Industry - BMWK,https://www.bmwk.de/Redaktion/EN/Dossier/maritime-industry.html,The Economic Affairs Ministry's 2025 maritime research strategy is strengthening the maritime sector by providing funding for research and development. The ...,positiv,de
Agenda - CMA Shipping Conference 40th Anniversary Edition - Day 1,https://informaconnect.com/cma-shipping/agenda/,"Agenda for day 1 of CMA Shipping. ... CMA Shipping Conference 40th Anniversary Edition - Day 1 Tuesday, 1 April 2025.",neutral,com
Meeting Summaries and Schedule,https://www.imo.org/en/mediacentre/MeetingSummaries/Pages/Default.aspx,... Meetings Maritime Facts and Figures Resources for Seafarers Contacts. Contact us ... Download the full Programme of meetings for 2025 here. Download the ...,neutral,org
Sea Air Space - The Navy League's Global Maritime Exposition,https://seaairspace.org/,"Three Days of educational sessions, policy discussions and a dynamic exhibit hall floor for the U.S. defense industry and key military decision-makers.",positiv,org
Common Maritime Agenda for the Black Sea,http://black-sea-maritime-agenda.ec.europa.eu/,The Common Maritime Agenda (CMA) for the Black Sea is a sea basin initiative to enhance regional cooperation for achieving a sustainable Blue Economy in the ...,neutral,eu
Maritime IT Summit | Hampton Roads,https://hamptonroads.afceachapters.org/Maritime_IT_Summit,"Maritime IT Summit 2025 ... Standby for Registration for the 2025 Maritime IT Summit / DoN CIO East Conference, held at Hilton Norfolk The Main on May 12 - 15, ...",neutral,org
Making Waves: Maritime Tensions in the Indo-Pacific - Munich ...,https://securityconference.org/en/msc-2025/agenda/event/making-waves-maritime-tensions-in-the-indo-pacific/,"Feb 15, 2025 ... Events · MSC 2025 · Agenda; Making Waves: Maritime Tensions in the Indo-Pacific. Video Player is loading. Play Video. Play. Mute. Volume Level.",negativ,org
Maritime Agenda 2025. The future of Germany as a maritime ...,https://www.bmwi.de/Redaktion/EN/Publikationen/maritime-agenda-2025.pdf?__blob=publicationFile&v=5%7D%7BMaritime%20Agenda%202025,The protection of marine environments has a value in itself which must be preserved. The German Federal Government recognises the manifold importance of the ...,positiv,de
