Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Berufe in einem Maritimen Umfeld – DST2025,https://deutscher-schifffahrtstag.de/index.php/berufe-in-einem-maritimen-umfeld/,Berufe im Maritimen Umfeld · Hafenfeuerwehr · Industriekaufmann/-frau · Schiffsmechaniker*in · Schiffbetriebstechnik · Fischwirt*in · Kreuzfahrt · Offshore ...,neutral,de
Feel Maritime – Talente für den nachhaltigen Wandel - DMZ ...,https://dmz-maritim.de/feel-maritime/,"Dec 5, 2023 ... Für eine umfassende Übersicht über maritime Berufe, haben wir eine Übersicht der Bachelor-Studiengänge der zahlreichen maritimen Branche ...",neutral,de
Ausbildungsberufe – Maritime Wirtschaft und Logistik,https://marwilo.de/berufe/ausbildungsberufe/,"Schifffahrtskaufmann/-frau ... Tätigkeiten: Fachrichtung Linienfahrt: Organisation, Planung und Steuerung von Schiffsverkehr (regelmäßige Routen), Berechnung und ...",neutral,de
Maritime Berufe - schleswig-holstein.de,https://www.schleswig-holstein.de/DE/landesportal/karriere/berufswelten/maritime-berufe,Fischereiobersekretär/in · Regierungsfischereiobersekretär/in · Tierpfleger/in · Tierpfleger/in · Wasserbauer/in · Wasserbauer/in. Wasserbauerinnen und -bauer ...,neutral,de
Berufe rund um das Schiff und die Schifffahrt - planet-beruf.de,https://planet-beruf.de/schuelerinnen/berufe-finden/berufsfelder/berufsfeld-verkehr-logistik/berufe-rund-um-das-schiff-und-die-schifffahrt,Binnenschiffer/in · Binnenschifffahrtskapitän/in · Bootsbauer/in · Fachkraft - Hafenlogistik · Fischwirt/in · Hafenschiffer/in · Schifffahrtskaufmann/-frau ...,negativ,de
Karriere bei der Wasserstraßen- und Schifffahrtsverwaltung des ...,https://www.karriere.wsv.de/Webs/Karriere/DE/Schiff-und-Wasserstrasse/schiff-und-wasserstrasse_node.html,Schiff und Wasserstraße. Maritime Berufe stehen bei uns im Mittelpunkt. Vom Ausbildungsberuf bis zum Studium. Unsere Mehrzweckschiffe - Wo Sicherheit ...,neutral,de
Maritime Zukunft,https://www.maritimezukunft.de/,"Startseite - Maritime Zukunft: Studiengänge, Ausbildungsberufe, Unternehmen, Veranstaltungen, Schiffbau-Studium. Maritime Technologien. Meerestechnik.",neutral,de
Ausbildung - WSA Ems-Nordsee,https://www.wsa-ems-nordsee.wsv.de/Webs/WSA/Ems-Nordsee/DE/03_Ems-Nordsee/35_Karriere/ausbildung/ausbildung-node.html,"Ausbildungsberufe in der WSV. Wir bieten dir handwerkliche, technische und maritime Ausbildungsberufe, sowie Büroberufe an! Unsere Auszubildenden können auf ...",neutral,de
Diversity and Inclusion | Oceaneering,https://www.oceaneering.com/de/careers/diversity-and-inclusion/,Maritime Ausbildungsberufe. Maritime Ausbildungsberufe. Erwerben Sie in nur vier Jahren ein anerkanntes Zertifikat in maritimen Technologien. Für Berufstätige ...,neutral,com
Maritimer Unterricht und maritime Ausbildung,http://mobilit.belgium.be/de/schifffahrt/anerkannte-unternehmen-und-einrichtungen/maritimer-unterricht-und-maritime-ausbildung,"Jan 7, 2025 ... In Belgien können Sie maritime Ausbildungen im Sekundar- und Hochschulunterricht sowie im Bereich der Erwachsenenbildung absolvieren.",neutral,be
Ausbildung Seeleute — Startseite,https://www.deutsche-flagge.de/de/befaehigung/ausbildung,Maritime Medizin · Seediensttauglichkeit · Seelotseignung · Funkärztliche Beratung · Medizinische Ausstattung • Räumlichkeiten · Medizinisches Handbuch See.,neutral,de
Die Nautische Ausbildung in Deutschland - Berufe und Wege,https://www.lotsen.de/die-wege/nautische-ausbildung-und-karriere/,"Jan 28, 2025 ... ... maritimen Sektor zu verfolgen. Voraussetzungen für nautische Ausbildungsberufe. Beruf Seelotse - arbeiten auf dem Wasser. Die nautische ...",negativ,de
Maritime Berufe im Wandel: Nachwuchssorgen an Bord,https://www.mehrcontainerfuerdeutschland.de/beruf-und-berufung/maritime-berufe-im-wandel-nachwuchssorgen-an-bord-deutscher-schiffe/,"May 26, 2016 ... Die dreijährige duale Berufsausbildung gibt es seit 1984 in Deutschland. Sorgen macht dem Berufszweig jedoch die angekündigte Änderung der ...",negativ,de
Nachwuchstag macht maritime Berufe für Jugendliche erlebbar,https://www.maritimes-cluster.de/services/aktuelles/nachwuchstag-macht-maritime-berufe-fuer-jugendliche-erlebbar/,"Apr 8, 2025 ... Im Mai findet der Deutsche Schifffahrtstag in Hamburg statt. Ein Highlight ist die Veranstaltung „Nachwuchsgewinnung für die maritime ...",negativ,de
BIBB / ISAmare,https://www.bibb.de/de/203141.php,"In diesem Trainingszentrum sollen Auszubildende und Ausbilder/-innen verschiedener Berufe in der maritimen Wirtschaft zusammenkommen, um gemeinsam zu lernen und ...",positiv,de
Ausbildung | Maritim Karriere,https://karriere.maritim.de/de/schueler-studenten/ausbildung-bei-maritim,"Bei Maritim kannst du die unterschiedlichsten Ausbildungen absolvieren, beispielsweise im Hotelfach, in der Küche oder in der Veranstaltungstechnik. Aktuell ...",negativ,de
Ausbildung/Praktikum - WSA Elbe,https://www.wsa-elbe.wsv.de/Webs/WSA/Elbe/DE/WSA-Elbe/04_Karriere_Stellenausschreibungen/01_Ausbildung/Ausbildung.html,"Wir bieten dir handwerkliche, technische und maritime Ausbildungsberufe, aber auch Verwaltungs- und Büroberufe! Neben den fachlichen Kenntnissen und ...",neutral,de
Ausbildung und maritime Kurse,https://www.schweizerischesseeschifffahrtsamt.eda.admin.ch/de/ausbildung-und-maritime-kurse,"Jan 12, 2025 ... Da es in der Schweiz keine Institutionen gibt, die maritime Kurse und Ausbildungen anbieten, welche die Anforderungen des STCW-Übereinkommens ...",negativ,ch
Ausbildungsberufe - BMWK,https://www.bmwk.de/Navigation/DE/Themen/themen.html?cl2Categories_LeadKeyword=ausbildungsberufe,Nationale Maritime Konferenz 2023 – Einspieler Bild vergrößern. 20.09.2023 - Video - Ausbildungsberufe. Video: Nationale Maritime Konferenz 2023. Öffnet ...,neutral,de
Für mehr Frauen in maritimen Berufen - BMDV,https://bmdv.bund.de/SharedDocs/DE/Artikel/WS/mehr-frauen-in-maritimen-berufen.html,"May 18, 2022 ... Hierbei ist es notwendig, auf die verschiedenen Ausbildungsberufe im maritimen Bereich aufmerksam zu machen und für sie zu werben. Obwohl ...",negativ,de
Ausbildung in der Seeschifffahrt — Mach Meer,https://www.machmeer.de/,Auch in diesem Jahr feiern wir den durch die IMO ausgerufenen International Day for Women in Maritime. ... Bord-Ausbildungen. Berufsbildungsstelle ...,negativ,de
Die maritimen Berufe: Ein Blick auf die wichtigen Bereiche ...,https://roter-sand.de/die-maritimen-berufe-ein-blick-auf-die-wichtigen-bereiche/,"Dec 8, 2022 ... Berufe als Deck- und technischer Offizier Wenn Sie gerne mit dem Meer arbeiten, sind die Berufe an Deck und in der Technik vielleicht das ...",negativ,de
Maritime Career Market - SMM,https://www.smm-hamburg.de/messe/special-areas/maritime-career-market,"... maritime Berufe beantworteten. Previous. Eine Frau sitzt auf einem Stuhl, gestikuliert und spricht auf der Bühne. Zwei Frauen stehen auf der Bühne des Career ...",neutral,de
Nachwuchstag gibt Einblicke in maritime Berufe - THB,https://www.thb.info/rubriken/beruf-karriere/detail/news/nachwuchstag-gibt-einblicke-in-maritime-berufe.html,"Der Tag beginnt um neun Uhr im Internationalen Maritimen Museum mit einem Poetry Slam unter dem Titel „Berufe im Fokus“, bei dem Auszubildende ihre Tätigkeiten ...",negativ,info
Anzeigen- und Werbeformate,https://www.schiffundhafen.de/anzeigen.html,"... maritimen Ausbildungsberufe und wichtige Bildungsträger. Download: Mediadaten ""Talents for Maritime"" 2025. German Offshore Equipment Directory. Das German ...",positiv,de
Port of Hamburg | Mit der Barkasse zum Ausbildungsplatz shiften ...,https://www.hafen-hamburg.de/de/presse/news/mit-der-barkasse-zum-ausbildungsplatz-shiften-schifffahrtsunternehmen-laden-zur-exklusiven-hafenrundfahrt-ein-36438/,"Sep 10, 2019 ... Ab 15:00 Uhr informieren erfahrene Praktiker bei einer Hafenrundfahrt nur für potenzielle Azubis über maritime Berufe und Karrieremöglichkeiten ...",neutral,de
Das Forum für Interessenvertreter der maritimen Berufe ...,https://www.leaderreunion.fr/de/le-forum-des-acteurs-des-metiers-de-la-mer/,"Oct 27, 2024 ... Maritime Berufe entdecken, und genauer gesagt aus den Geschäften des Hafens von Saint-Gilles-les-Bains war es die Einladung des Rathauses ...",negativ,fr
- Home - Home - Deutsch[:] - OK Maritime,https://www.okmaritime.nl/de/home-deutsch/,SCHULUNGEN & AUSBILDUNGEN ... Zusätzlich zu den von ES-QIN geforderten Schulungen bietet Op Koers! Maritimes Training nach Maß. Mit einem umfangreichen Arsenal an ...,positiv,nl
IHK zu Rostock bei der Jobfactory in HanseMesse Rostock ...,https://www.ihk.de/rostock/servicemarken/presse/medieninformationen/jobfactory-in-hansemesse-6255358,"Sep 10, 2024 ... ... Maritime Wirtschaft: „Die maritime Wirtschaft ist ... Ausbildungsberufe und Studiengänge der maritimen Wirtschaft näher kennen zu lernen.",positiv,de
Nachwuchs sichert die Zukunft: Azubi-Regatta geht in zweite Runde,https://www.dsm.museum/pressebereich/nachwuchs-sichert-die-zukunft-azubi-regatta-geht-in-zweite-runde,Schule fertig – und jetzt? Das DSM bietet jungen Menschen auf der Suche nach einem passenden Ausbildungsberuf einen spielerischen Einblick in die maritime ...,negativ,museum
