Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/,"Explore the available EU funding opportunities by searching for calls for proposals within your topics of interest, find partners and submit a proposal.",positiv,eu
Funding programmes and open calls - European Commission,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls_en,They are jointly managed by the European Commission and the EU countries. ... European maritime and fisheries fund (EMFF). Research Fund for Coal and Steel ...,neutral,eu
EU funding programmes - European Commission,https://commission.europa.eu/funding-tenders/find-funding/eu-funding-programmes_en,Agriculture & Maritime Policy ... The EAGF funds income support for EU farmers and measures to stabilise agricultural markets. ... The EAFRD provides funding to ...,positiv,eu
Black Sea Synergy | EEAS,https://www.eeas.europa.eu/eeas/black-sea-synergy_en,"Jul 4, 2024 ... The EU supports regional development in South-East Europe with its Black Sea Synergy initiative. By encouraging cooperation between the ...",positiv,eu
Förderprogramme der EU- DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/foerderprogramme-der-eu/,"May 31, 2023 ... Es hat, mit einer Laufzeit von 2021 bis 2027 und einem Gesamtbudget von 95,5 Mrd. Euro, die Nachfolge von Horizont 2020 (H2020) angetreten. Das ...",negativ,de
Europa maritim - Europäische Förderprogramme in der maritimen ...,https://www.deutsche-flagge.de/de/aktuelles/maritimer_kalender/europa-maritim,Weitere Infos. Veranstaltung: Europa maritim- DMZ | Deutsches Maritimes Zentrum (dmz-maritim.de). Die maritime Branche befindet sich in einer ...,negativ,de
EU-Förderung für maritime Forschung und Entwicklung in ...,https://dmz-maritim.de/eu-foerderung-fuer-maritime-forschung-und-entwicklung-in-deutschland/,"Aug 16, 2021 ... EU-Förderung für maritime Forschung und Entwicklung in Deutschland. Im Rahmen des europäischen Forschungsrahmenprogramms Horizont 2020 haben die ...",negativ,de
Reducing carbon emissions: EU targets and policies | Topics ...,https://www.europarl.europa.eu/topics/en/article/20180305STO99003/reducing-carbon-emissions-eu-targets-and-policies,"Mar 8, 2018 ... Maritime transport will also be included in the Emissions Trading System. MEPs want the maritime sector to cut greenhouse gas emissions from ...",negativ,eu
Maritimer Förderkompass - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/maritimer-foerderkompass-europa/,In dem Tool finden sich stets aktualisiert die relevanten Ausschreibungen der EU-Förderprogramme ... Aktuelle EU-Fördermöglichkeiten für die maritime Branche.,negativ,de
Funding guide - European Commission,https://single-market-economy.ec.europa.eu/industry/strategy/hydrogen/funding-guide_en,The hydrogen public funding compass is a guide for stakeholders to identify public funding sources for hydrogen projects. It is designed as a single entry ...,neutral,eu
Förderprogramme Maritimes Cluster Norddeutschland e.V.,https://www.maritimes-cluster.de/services/foerderprogramme/,"Eine Übersicht vom Maritimen Cluster Norddeutschland mit regionalen, bundesweiten und EU-Förderprogrammen für die maritime Branche.",negativ,de
Horizon Europe - European Commission,https://single-market-economy.ec.europa.eu/industry/strategy/hydrogen/funding-guide/eu-programmes-funds/horizon-europe_en,Zero-emission waterborne transport: the co-programmed partnership aims for the EU to lead and accelerate the transformation of maritime and inland ...,neutral,eu
"European Maritime, Fisheries and Aquaculture Fund ... - Bundesportal",https://verwaltung.bund.de/leistungsverzeichnis/EN/leistung/99400260017000/herausgeber/BY-60543/region/090000000000,"Mar 7, 2025 ... The Free State of Bavaria supports investments in commercial pond farming and fishing from its own funds and the European Maritime, ...",positiv,de
