Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Interdisziplinärer Forschungsschwerpunkt Maritime Sicherheit,https://www.hsu-hh.de/ifms/,"Der Schutz maritimer Kritischer Infrastrukturen und das Konzept der Abschreckung. Deutschland und der Westen stehen vor der Herausforderung, auch ihre maritimen ...",neutral,de
Maritime Sicherheit bewaffnet · Schiffssicherheit · Armed Guards ...,https://www.ibs-ops.com/leistungen/maritime-sicherheit-bewaffnet-schiffssicherheit-armed-guards/,"Mit dieser spezialisierten Einheit ist i.b.s.® das einzige deutsche Sicherheitsunternehmen, das über eine eigene Bootsgruppe zur wasserseitigen Absicherung von ...",neutral,com
Deutschlands maritime Sicherheit braucht mehr Vernetzung,https://www.bundeswehr.de/de/organisation/marine/aktuelles/deutschlands-maritime-sicherheit-vernetzung-5691186,"Oct 17, 2023 ... Deutschlands maritime Sicherheit braucht mehr Vernetzung · Ein Podium vereinte Verteidigungs-, Wirtschafts- und Innenministerium mit der NATO ...",neutral,de
Maritimes Sicherheitszentrum - Startseite,https://www.msz-cuxhaven.de/,Das Maritime Sicherheitszentrum (MSZ) ist das maritime Kompetenzzentrum der operativen Kräfte des Bundes und der Küstenländer und hat seinen Sitz in Cuxhaven ( ...,neutral,de
Netzwerktreffen Maritime Sicherheit,https://www.bmvg.de/de/aktuelles/-netzwerktreffen-maritime-sicherheit-107034,"Sep 18, 2019 ... 2. Netzwerktreffen „Maritime Sicherheit“: Rund 70 Experten diskutieren das Thema „Deutschlands Maritime Interessen in Zeiten des Umbruchs“.",neutral,de
Maritime Sicherheit – GIDS,https://gids-hamburg.de/category/topthemen/maritime-sicherheit/,"... Sicherheitspolitik an der Universität Kiel (ISPK) und das Deutsche Maritime Institut. Die Konferenz findet statt am Montag und Dienstag, 2. und 3. September ...",negativ,de
Internationale Maritime Sicherheit - CONDOR,https://www.condor-sicherheit.de/sicherheit/wasser/internationale-maritime-sicherheit,Seit November 2013 ist CONDOR als eines der ersten Unternehmen in Deutschland durch das BAFA zur bewaffneten Sicherung von internationalen Seeschiffen ...,neutral,de
Maritime Sicherheit - BMDV,https://bmdv.bund.de/DE/Themen/Mobilitaet/Wasser/Maritime-Sicherheit/maritime-sicherheit.html,Sicherheit auf See · Eine wichtige Säule der Schiffssicherheit ist die Hafenstaatkontrolle. · Um die Wirksamkeit der Kontrollen weiter zu verbessern und zu ...,negativ,de
Maritime Sicherheit weltweit - Bundespolizei,https://www.bundespolizei.de/Web/DE/01Sicher-auf-Reisen/03Mit-Schiff-Boot/01Maritime-Sicherheit-weltweit/Maritime-Sicherheit/maritime-sicherheit_node.html,"Gemäß § 4 StGB gilt das deutsche Strafrecht – unabhängig vom Recht des Tatortes – für Taten, die auf einem deutschen Schiff begangen werden. Damit ist ...",negativ,de
Sicherheit: EU aktualisiert Strategie zum Schutz des maritimen ...,https://germany.representation.ec.europa.eu/news/sicherheit-eu-aktualisiert-strategie-zum-schutz-des-maritimen-raums-2023-03-10-0_de,"Mar 10, 2023 ... Vertretung in Deutschland; Lesedauer: 6 Min. Sicherheit: EU aktualisiert Strategie zum Schutz des maritimen Raums. Die Europäische Kommission ...",negativ,eu
