Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Tanker Security Program | MARAD,https://www.maritime.dot.gov/national-security/strategic-sealift/tanker-security-program,"Mar 15, 2024 ... Congress appropriated funding for the TSP in the Fiscal Year 2022 Consolidated Appropriations Act. The Maritime Administration (MARAD) has ...",positiv,gov
Maritime cyber risk,https://www.imo.org/en/OurWork/Security/Pages/Cyber-security.aspx,The recommendations can be incorporated into existing risk management processes and are complementary to the safety and security management practices already ...,positiv,org
Center for International Maritime Security | Fostering the Discussion ...,https://cimsec.org/,"Feb 18, 2025 ... Its mission is to enhance communication across the Naval enterprise by enabling JOs to rapidly synthesize and deliver critical feedback and ...",neutral,org
MSC IO | Home,https://www.mscio.eu/,The newly rebranded Maritime Security Center Indian Ocean (MSCIO) is commited to supporting the shipping industry in one of the world's most vital regions.,positiv,eu
MARSEC COE – NATO Maritime Security Centre of Excellence,https://www.marseccoe.org/,"Maritime Security Centre of Excellence is both a center for academic research as well as a hub for practical training in the field of maritime security, along ...",positiv,org
Joint communication on the update of the EU Maritime Security ...,https://oceans-and-fisheries.ec.europa.eu/publications/joint-communication-update-eu-maritime-security-strategy-and-its-action-plan-enhanced-eu-maritime_en,"Mar 10, 2023 ... JOIN/2023/8 Joint communication and annex.",positiv,eu
Maritime Global Security,https://www.maritimeglobalsecurity.org/,"Welcome to the shipping industry's Maritime Global Security Website. The site contains guidance and external links, and the site is navigated using the drop- ...",positiv,org
Delegations will find attached the European Union Maritime Security ...,https://register.consilium.europa.eu/doc/srv?l=EN&f=ST%2011205%202014%20INIT,"Jun 24, 2014 ... The EU and its Member States have, thus, strategic interests, across the global maritime domain, in identifying and addressing security ...",positiv,eu
Home - EMSA - European Maritime Safety Agency,https://www.emsa.europa.eu/,The enhanced maritime picture through digital services. EMSAFE REPORT EMSAFE The comprehensive overview of EU maritime safety.,positiv,eu
EU Maritime Security Strategy | EEAS,https://www.eeas.europa.eu/eeas/eu-maritime-security-strategy_en,Ensuring safe and secure oceans is vital for the European and world economies.,positiv,eu
Maritime Security | Security | CSIS,https://www.csis.org/programs/china-power-project/security/maritime-security,Enhancing understanding of competing territorial claims in maritime Asia.,positiv,org
Maritime Security | EEAS,https://www.eeas.europa.eu/eeas/maritime-security_en,"Feb 21, 2024 ... The EU is one of the leading contributors to maritime security through operational engagements and naval presence, investment in capacity-building and support.",positiv,eu
NATO officially launches new Maritime Centre for Security of Critical ...,https://mc.nato.int/media-centre/news/2024/nato-officially-launches-new-nmcscui,"May 28, 2024 ... The NATO Maritime Centre for Security of Critical Undersea Infrastructure (CUI) is a networking and knowledge center concentrating on CUI, which ...",neutral,int
"G7 Foreign Ministers' Declaration on Maritime Security in Lübeck, 15 ...",https://www.auswaertiges-amt.de/de/newsroom/270810-270810,"Apr 15, 2015 ... G7 Foreign Ministers' Declaration on Maritime Security in Lübeck, 15 April 2015 · Fostering regional cooperation, ownership and responsibility.",positiv,de
The Philippines' Conceptualization of Maritime Security | Asia ...,https://amti.csis.org/philippine-conceptualization-of-maritime-security/,"Nov 4, 2021 ... “Maritime security” is the accepted and well-used term, but usually in the context of governance and law enforcement, which indicates an ...",positiv,org
European maritime security strategy - Publications Office of the EU,https://op.europa.eu/en/publication-detail/-/publication/02ab6cfa-b735-4b56-a6e1-587e4b3e4882,"Aug 17, 2016 ... The EU has developed a forward-looking maritime security strategy to protect these sea-related interests. It is based on improving cooperation ...",positiv,eu
UKMTO,https://www.ukmto.org/,"Best Management Practices. Best Management Practices to Deter Piracy and Enhance Maritime Security in the Red Sea, Gulf of Aden, Indian Ocean and Arabian Sea ( ...",positiv,org
Interdisziplinärer Forschungsschwerpunkt Maritime Sicherheit,https://www.hsu-hh.de/ifms/en/,"Topics of the IFMS. Within the topic of Maritime Security, iFMS has outstanding expertise in the North Sea and Baltic Sea region and Indonesia (Indo-Pacific), ...",positiv,de
Maritime Security – ISN,https://www.isn.eu.com/en/maritime-security/,"The primary goal of our ISN operatives is to protect and defend the vessel, its crew and any passengers or cargo. We recruit our employees based on strict ...",positiv,com
Maritime security - Wikipedia,https://en.wikipedia.org/wiki/Maritime_security,"Maritime security ... Maritime security is an umbrella term informed to classify issues in the maritime domain that are often related to national security, marine ...",positiv,org
Maritime Security Jobs | Private Security Jobs - Silent Professionals,https://silentprofessionals.org/job_category/maritime-security-jobs/,Protection Agents & Liaisons – East Asia · Security Boat Captain (Maritime) – Florida Keys · Maritime Security (MARSEC) Officer – Various US Ports Featured.,positiv,org
Maritime Security,https://www.thyssenkrupp-marinesystems.com/en/products-services/nxtgen-engineering/maritime-security,thyssenkrupp Marine Systems is developing this modular kit for extra-large uncrewed underwater vehicles (XLUUV) together with partners from industry and ...,positiv,com
Understanding Maritime Security: 9780197767146 ... - Amazon.com,https://www.amazon.com/Understanding-Maritime-Security-Christian-Bueger/dp/0197767141,"In Understanding Maritime Security, Christian Bueger and Timothy Edmunds provide a concise introduction to the history of security at sea and explain the core ...",positiv,com
Committee on Homeland Security – Congressional Website,https://homeland.house.gov/,... Accountability · Transportation and Maritime Security. Hearings & Events. There are no upcoming events. View All Hearings. 42 events found. March 2025 ...,positiv,gov
CTF 154: Maritime Security Training – Combined Maritime Forces,https://combinedmaritimeforces.com/ctf-154-maritime-security-training/,"Established May 22, 2023, Combined Task Force (CTF) 154 is one of five task forces operated by Combined Maritime Forces (CMF). CTF 154 will train partner navies ...",positiv,com
EUR-Lex - 52023JC0008 - EN - EUR-Lex,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52023JC0008,Joint communication to the European Parliament and the Council on the update of the EU Maritime Security Strategy and its Action Plan.,positiv,eu
"Maritime Security Market Overview, Size, Share, Growth, Trend",https://www.marketresearchfuture.com/reports/maritime-security-market-1344,The Maritime Security Market is expected to grow from 25.38 (USD Billion) in 2023 to 35.0 (USD Billion) by 2032.,positiv,com
Q&A on the EU Maritime Security Strategy,https://ec.europa.eu/commission/presscorner/detail/en/qanda_23_1482,"Mar 9, 2023 ... The EU Maritime Security Strategy (EUMSS) and its Action Plan were adopted in 2014. Since then, they have provided a framework for addressing security ...",positiv,eu
Piracy and Maritime Security - Regional characteristics and political ...,https://www.swp-berlin.org/publications/products/research_papers/2011_RP03_mrs_ks.pdf,"Mar 3, 2011 ... Maritime security has deteriorated perceptibly over the past fifteen years, with the number of attacks on ships and maritime facilities increas-.",positiv,org
Maritime Domain Awareness Brief,https://www.dryadglobal.com/maritime-domain-awareness-brief,This easy infographic provides you with a great place to capture the global maritime security situation and a launch point to learn more.,positiv,com
Institute for the Protection of Maritime Infrastructures,https://www.dlr.de/en/mi,Public attention is currently focused on the security of maritime infrastructure. The German Aerospace Center (Deutsches Zentrum für Luft- und Raumfahrt; DLR) ...,positiv,de
Maritime Security - BAFA,https://www.bafa.de/EN/Foreign_Trade/Maritime_Security/maritime_security_node.html,Private security companies who wish to perform security functions to counter piracy on board ocean-going vessels sailing under German flag,positiv,de
Maritime Security in the Indo-Pacific: Mixed Opportunities and ...,https://www.kas.de/documents/288143/10822438/Panorama_2019_02_4c_v5d_ToAnhTuan.pdf/bb017d3b-c195-681c-c5a3-19054947fec5?t=1606102327617,"Maritime security receives global attention due to the vulnerability of infrastructure at shore or sea against security threats. However, maritime security ...",positiv,de
Maritime security,https://ghana.um.dk/en/danida-en/maritime-security,"As a strong seafaring nation and a responsible actor in the maritime domain, Denmark is committed to promoting the freedom of navigation and maritime safety ...",positiv,dk
Technology and maritime security in Africa: Opportunities and ...,https://www.sciencedirect.com/science/article/pii/S0308597X23005092,Technology has significantly improved maritime domain awareness and the effective implementation of maritime safety and security in the Gulf of Guinea.,positiv,com
Maritime Safety Information,https://msi.nga.mil/,"Our Mission. Provide global maritime geospatial intelligence in support of national security objectives, including safety of navigation, international ...",positiv,mil
Center for Maritime Strategy and Security — Institute for Security ...,https://www.ispk.uni-kiel.de/en/staff/staff/dr-sebastian-bruns/center-for-maritime-strategy-and-security,"Oct 16, 2024 ... This book brings together experts from the United States, Europe, and Asia to reflect on how maritime and naval strategy is conceptualised and how it has been ...",positiv,de
India offers $300 million loan to build up Vietnam's maritime security ...,https://apnews.com/article/india-vietnam-credit-maritime-security-modi-chinh-734a703315dd1ae7512c486aaeee71b9,"Aug 1, 2024 ... India on Thursday offered a $300 million loan to build up Vietnam's maritime security, as the two sides said they want to double their trade and investment ...",positiv,com
Illegal fishing and maritime security: towards a land- and sea-based ...,https://www.ssoar.info/ssoar/handle/document/41749,"Illegal fishing and maritime security: towards a land- and sea-based response to threats in West Africa. [comment]. Lewerenz, Catharina · Vorrath, Judith.",negativ,info
Ambrey - Global Maritime Risk Management,https://ambrey.com/,The project to save the SOUNION was a complex salvage operation inside a sensitive military and security operation. Full press release download link below:.,positiv,com
