Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Patrick Schnieder - Wikipedia,https://en.wikipedia.org/wiki/Patrick_Schnieder,Patrick Schnieder ... Not to be confused with Patrick Schneider. Patrick Schnieder (born 1 May 1968) is a German lawyer and politician of the Christian Democratic ...,negativ,org
Patrick Schnieder (@pschnieder) • Instagram photos and videos,https://www.instagram.com/pschnieder/,Als Argentinier war Franziskus der erste gebürtige Nicht-Europäer im Amt des Papstes seit dem 8. Jahrhundert und der bisher einzige Jesuit im Papstamt. Sein ...,negativ,com
Patrick Schneider | Belmont University,https://www.belmont.edu/profiles/patrick-schneider/,Dr. Schneider earned a Doctor of Philosophy in Exercise Science from the University of Tennessee-Knoxville; a Master of Science in Clinical Exercise Physiology ...,neutral,edu
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",https://wexnermedical.osu.edu/find-a-doctor/patrick-schneider-md-88013,I practice in obstetrics and gynecology with an emphasis on high-risk pregnancies. I help my patients manage their specific risks to keep them and their babies ...,neutral,edu
Patrick Schneider Photography,https://www.patrickschneiderphoto.com/,"Award-winning photographer Patrick Schneider specializes in revealing the human expertise driving global manufacturing operations, creating compelling visual ...",positiv,com
Patrick Schneider-Sikorsky | Nato Innovation Fund,https://www.nif.fund/member/patrick-schneider-sikorsky/,Patrick Schneider-Sikorsky. Partner. Patrick leads capacity and ecosystem building at the NIF and is responsible for our Central and Eastern Europe coverage.,positiv,fund
Patrick Schnieder MdB,https://www.patrick-schnieder.de/,"Persönliches · Kind der Eifel 1968 in Kyllburg geboren, aufgewachsen in Birresborn. · Beruflicher Werdegang Nach dem Jurastudium in Bonn habe ich zunächst als ...",positiv,de
Patrick Schneider,https://www.lse.ac.uk/economics/phd-job-market/job-market-candidates-2024-25/patrick-schneider/patrick-schneider,"About me. Patrick is a PhD candidate in the Department of Economics, specialising in macroeconomics. He is on the job market in 2024/25. He uses quantitative ...",neutral,ac.uk
German Federal Parliament member visits Spangdahlem > U.S. Air ...,https://www.usafe.af.mil/News/Article-Display/Article/1742427/german-federal-parliament-member-visits-spangdahlem/,"Jan 25, 2019 ... ... Patrick Schnieder, member of the German Federal Parliament in Berlin, center, to Spangdahlem Air Base, Germany,,",neutral,mil
Patrick Schnieder – Jurist – Selbständig | LinkedIn,https://de.linkedin.com/in/patrick-schnieder-6b5479160,"MdB, Parlamentarischer Geschäftsführer, CDU · Berufserfahrung: Selbständig · Ausbildung: Rheinische Friedrich-Wilhelms-Universität Bonn · Standort: ...",neutral,com
