Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Port of Hamburg | Schiffbauzulieferer „Made in Germany“ stehen ...,https://www.hafen-hamburg.de/de/presse/news/schiffbauzulieferer-made-in-germany-stehen-hoch-im-kurs-34754/,"Jul 14, 2016 ... VDMA Marine Equipment and Systems ist Teil des VDMA, des größten Industrieverbandes Europas. Mit über 240 Mitgliedsfirmen stellt sie die ...",negativ,de
Schiffbauzulieferer blicken optimistisch in die Zukunft | NDR.de ...,"https://www.ndr.de/nachrichten/hamburg/Schiffbauzulieferer-blicken-optimistisch-in-die-Zukunft,schiffbau272.html","Jul 16, 2024 ... Einen Schub für die Bestellbücher bringen auch die Klimavorgaben der Weltschifffahrtsorganisation IMO. Bis 2050 soll die Schifffahrt insgesamt ...",negativ,de
Umsatzentwicklung deutscher Offshore- und Schiffbauzulieferer ...,https://de.statista.com/statistik/daten/studie/952460/umfrage/umsatzentwicklung-deutscher-offshore-und-schiffbauzulieferer/,"Im Jahr 2023 lag der Umsatz deutscher Offshore- und Schiffbauzulieferer bei rund 11,3 Milliarden Euro. Das ist der höchste Wert seit dem Jahr 2015 ...",negativ,com
Schiffbauzulieferer: alle Aktien und Unternehmen,https://www.t-online.de/finanzen/boerse/anlagetrends/schiffbauzulieferer/alle-aktien/,"DAX Top & Flop Aktien · Siemens Energy. 63,50 EUR+10,24% · Porsche Automobil Holding SE. 33,72 EUR+1,32% · Vonovia. 28,45 EUR+0,74%.",positiv,de
Einige Ansprechpartner deutscher Werften und Schiffbauzulieferer ...,https://vsm.de/sites/default/files/dokumente/60ee728a1f3af48489c134033af4b5cf/ansprechpartner_ausbildungsfragen.pdf,Einige Ansprechpartner deutscher Werften und Schiffbauzulieferer in Ausbildungsfragen. Firmenname. Ort. Telefon. E-Mail. Ansprechpartner. Abeking & Rasmussen.,neutral,de
Schiffbauzulieferer Aktien & Trends,https://www.t-online.de/finanzen/boerse/anlagetrends/schiffbauzulieferer/,Top Aktien. AlibabaAllianzAmazonAppleBASFBayerBioNTech (ADRs)CureVacDaimlerDeutsche Bank AGMicrosoftModerna IncNVIDIA Corp.Lufthansa AGSAPTelekom AktieTeslaTUI ...,positiv,de
IbA-Referenzliste: Maschinen- und Anlagenbau Stand: 2023 ...,https://www.ladiba.de/pdfs/IbA_Referenz_Maschinen_Anlagen.pdf,"Schiffbauzulieferer. - Neubau Fähranleger am Pier I, Rostock. - Frequenzumrichter-Fahrantriebe Jastram Yacht. - Frequenzumrichter-Fahrantriebe für Bagger- und ...",neutral,de
„Retrofit“ füllt die Auftragsbücher - THB,https://www.thb.info/rubriken/maritime-wirtschaft/detail/news/retrofit-fuellt-die-auftragsbuecher.html,"Jul 16, 2024 ... Die deutschen Schiffbauzulieferer werden von der Notwendigkeit der internationalen Reedereiverkehrswirtschaft, ihre Flotten noch „sauberer“ ...",negativ,info
#shipping #maritime | Hauke Schlegel,https://www.linkedin.com/posts/hauke-schlegel-87915591_shipping-maritime-activity-7311427627418812418-ELXn,"Mar 28, 2025 ... VDMA: Erste Delegation deutscher Schiffbauzulieferer in Finnland. Hauke Schlegel 5y. Explore topics. Sales · Marketing · IT Services · Business ...",neutral,com
Ihr Schiffbau Zulieferer für Schmiedeteile,https://dirostahl.com/referenzen/schiffbau/,Zuverlässiger Partner und Zulieferer für Ruderschäfte ✓ Propellerwellen ✓ Rohlinge für Ankerwinden ✓ Schiffsgetriebe ✓ Generatoren ✓ Pumpen ...,neutral,com
Schiffbau-Zulieferer lassen Corona 2021 und 2022 hinter sich,https://www.produktion.de/wirtschaft/schiffbau-zulieferer-lassen-corona-2021-und-2022-hinter-sich-125.html,"Jun 7, 2021 ... Schiffbau-Zulieferer lassen Corona 2021 und 2022 hinter sich. Die Zulieferer für die Schiffbau- und Offshore-Industrie haben nach der ...",negativ,de
Hamburger Firma verliert Namen nach 135 Jahren,https://www.abendblatt.de/hamburg/article214690359/Hamburger-Firma-verliert-Namen-nach-135-Jahren.html,"Jun 26, 2018 ... Schiffbauzulieferer Noske-Kaeser wurde 2017 von einem französischen Konzern gekauft. Letzter Schritt: der Namenswechsel.",neutral,de
Maritimes Cluster Norddeutschland e. V. | LinkedIn,https://www.linkedin.com/company/maritimes-cluster-norddeutschland-e.-v./,"Government Agency. Founded: 2011. Specialties: Werften, Schiffbauzulieferer, Meerestechnik, Maritime Dienstleistungen, Wissenschaft, Forschung und Bildung ...",neutral,com
Mitgliedschaft – Nautischer Verein zu Bremerhaven,https://www.nautischer-verein-bremerhaven.de/mitgliedschaft,Schiffbauzulieferer. Ingenieurbüros 2 Speditionen. Vereine/Organisationen. Sachverständigenbüro. Handelskammer. Marineoperations-Schule. Schiffsausrüster. Werft.,neutral,de
Schiffbau-Zulieferer wachsen stark und beklagen Engpässe - WELT,https://www.welt.de/welt_print/article2193235/Schiffbau-Zulieferer-wachsen-stark-und-beklagen-Engpaesse.html,"Jul 9, 2008 ... Schiffbau-Zulieferer wachsen stark und beklagen Engpässe ... Nach jahrelangem starkem Wachstum ist für die deutsche Schiffbauzulieferindustrie der ...",negativ,de
