Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
VSM legt Empfehlung zu verbessertem Rechtsrahmen für ... - bvse,https://www.bvse.de/recycling/recycling-nachrichten/11294-vsm-legt-empfehlung-zu-verbessertem-rechtsrahmen-fuer-nachhaltiges-schiffsrecycling-in-deutschland-vor.html,"Nov 11, 2024 ... „Die Anforderungen für Schiffsrecycling in Deutschland sind ein Beispiel für überbordende Bürokratie, die sinnvolles wirtschaftliches ...",negativ,de
Schiffsrecycling,https://www.deutsche-flagge.de/de/umweltschutz/wrack,Schiffsrecycling https://www.deutsche-flagge.de/de/umweltschutz/wrack https ... Die Kontaktstelle in Deutschland ist das Bundesamt für Seeschifffahrt und ...,negativ,de
Schiffsrecycling made in Deutschland?,https://www.ingenieur.de/technik/fachbereiche/verkehr/schiffsrecycling-made-in-deutschland/,"Sep 18, 2023 ... Auch die EU-Verordnung umfasst bereits eine Reihe von Regelungen. Zunächst dürfen Schiffe ausschließlich in Recyclingwerften abgewrackt werden, ...",negativ,de
Nachhaltiges Schiffsrecycling in Deutschland - DMZ | Deutsches ...,https://dmz-maritim.de/nachhaltiges-schiffsrecycling-in-deutschland/,"Nov 29, 2023 ... Die Studie kommt zu dem Ergebnis, dass für das nachhaltige Schiffsrecycling in Deutschland einige Markteintrittsbarrieren bestehen. Der ...",negativ,de
Umweltgerechtes Schiffsrecycling in Deutschland – Was braucht es ...,https://www.maritimes-cluster.de/maritimer-kalender/umweltgerechtes-schiffsrecycling-in-deutschland-was-braucht-es-fuer-einen-erfolgreichen-markthochlauf/,Auch die EU-Schiffsrecycling-Verordnung wurde in diesem Jahr einer öffentlichen Konsultation zum Rechtsrahmen und zu den bisher erreichten Zielen unterzogen.,negativ,de
ZMT-Studie vorgestellt: Potenzial für Schiffsrecycling im Land ...,https://www.leibniz-zmt.de/de/neuigkeiten/nachrichten-aktuelles/archiv-news/zmt-studie-vorgestellt-potenzial-fuer-schiffsrecycling-im-land-bremen-und-deutschland-nutzen.html,"Nov 10, 2023 ... „Deutschland könnte auf dem Markt eine führende Rolle übernehmen“, betonte Raimund Bleischwitz auf dem Symposium in Bremen. Allerdings stehen ...",neutral,de
Schiffs-Recycling in Deutschland: Vom Wrack zum Rohstoff | taz.de,https://taz.de/Schiffs-Recycling-in-Deutschland/!6025041/,"Aug 4, 2024 ... Schiffe dürfen nur auf Werften verschrottet werden, die nachweislich alle Umwelt- und Sicherheitsauflagen des Hongkong-Übereinkommens erfüllen.",negativ,de
Norddeutsche Unternehmen wollen ins Schiffsrecycling einsteigen ...,"https://www.ndr.de/nachrichten/info/Norddeutsche-Unternehmen-wollen-ins-Schiffsrecycling-einsteigen,schiffsrecycling102.html","Aug 8, 2024 ... Derzeit warten beide Firmen noch auf die nötigen Genehmigungen, um mit dem Schiffsrecycling zu beginnen. In Deutschland hätten Leviathan und EWD ...",negativ,de
Schiffsrecycling der Zukunft ohne Zukunft? | KATAPULT MV,https://katapult-mv.de/artikel/schiffsrecycling-der-zukunft-ohne-zukunft/,"Mar 17, 2025 ... Mittlerweile hat das Unternehmen an einem anderen Standort die erste deutsche Schiffsrecyclinganlage eröffnet. Weil es in Stralsund so lange ...",negativ,de
Schiffsrecycling in Norddeutschland,https://www.dsm.museum/forschung/forschungsprojekte/schiffsrecycling-in-norddeutschland,"In Deutschland gibt es ein großes Interesse daran, eine Schiffsrecyclingindustrie aufzubauen, um eine umweltfreundliche Alternative zum Abwracken zu bieten ...",neutral,museum
