Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Volker Wissing - Wikipedia,https://en.wikipedia.org/wiki/Volker_Wissing,Volker Wissing ... Volker Wissing (born 22 April 1970) is a German lawyer and former judge who has been serving as the Minister for Transport in the federal ...,neutral,org
Volker Wissing,https://www.bundesregierung.de/breg-en/federal-cabinet/1988552-1988552,Dr Volker Wissing is Federal Minister of Justice and Federal Minister for Digital and Transport (Photo: Federal Government/Denzel),positiv,de
Statement Volker Wissing on November 7th - BMDV,https://bmdv.bund.de/SharedDocs/EN/Articles/K/wissing-statement-07-11-2024.html,"Nov 7, 2024 ... Statement Volker Wissing on November 7th ... Volker Wissing: Last week, I made my position on responsibility in a government coalition public in ...",neutral,de
Volker Wissing – Bundesministerium der Justiz | LinkedIn,https://de.linkedin.com/in/volkerwissing,Bundesminister für Digitales und Verkehr Bundesminister der Justiz · Berufserfahrung: Bundesministerium der Justiz · Ausbildung: Westfälische ...,neutral,com
Germany faces sudden turmoil after ruling coalition collapses,https://www.nbcnews.com/news/world/germany-faces-sudden-turmoil-ruling-coalition-collapses-rcna179078,"Nov 7, 2024 ... But early Thursday, Transport Minister Volker Wissing from the Free Democrats unexpectedly took back last night's resignation and told ...",neutral,com
"International Speaker Series: Dr. Volker Wissing, Chairman of the ...",https://global.charlotte.edu/events/2019-11-04/international-speaker-series-dr-volker-wissing-chairman-fdp-and-vice-minister/,"Nov 4, 2019 ... Dr. Volker Wissing, Minister of Economic Affairs of the Federal State of Rhineland-Palatinate, will be talking about the fall of the Berlin Wall.",neutral,edu
Readout of Secretary Raimondo's Meeting with German Minister for ...,https://www.commerce.gov/news/press-releases/2023/10/readout-secretary-raimondos-meeting-german-minister-digital-policy-and,"Oct 27, 2023 ... Secretary of Commerce Gina Raimondo met with Germany's Minister for Digital Policy and Transportation Volker Wissing to discuss potential opportunities.",positiv,gov
POLITICO Tech 28 class of 2022: Volker Wissing – POLITICO,https://www.politico.eu/list/tech-28-2022-ranking/volker-wissing/,"Volker Wissing, the country's newly appointed minister for digital and transport, does double duty, as Berlin also holds the yearlong G7 presidency.",neutral,eu
EU rejects German Transport Minister Volker Wissing's concerns ...,https://www.rematec.com/news/industry-players-and-markets/eu-rejects-concerns-diesel-decommissioning,"Aug 5, 2024 ... EU rejects German Transport Minister Volker Wissing's concerns about diesel decommissioning ... The European Commission does not want to change ...",negativ,com
German transport minister rejects punitive tariffs in EU's China EV ...,https://www.reuters.com/world/german-transport-minister-rejects-punitive-tariffs-eus-china-ev-probe-2023-09-25/,"Sep 25, 2023 ... German Transport Minister Volker Wissing has rejected possible punitive tariffs as a result of the European Commission's investigation into ...",negativ,com
"Volker Wissing: ""This could be a good alternative to owning a car ...",https://vay.io/this-could-be-a-good-alternative-to-owning-a-car/,"Apr 4, 2022 ... We agree: With our door-to-door mobility-solution, we can offer a convenient service that is priced at car sharing – and should not be more expensive than a ...",positiv,io
Volker Wissing - ITF 2023 Summit,https://summit.itf-oecd.org/2023/speakers/volker-wissing/,"Volker Wissing. Volker Wissing. Volker Wissing. Born in Landau in der Pfalz on 22 April 1970 1989 School leaving certificate, Staatliches Gymnasium Bad ...",negativ,org
"Dr Volker Wissing, Germany's Federal Minister for Digital and ...",https://www.railbaltica.org/dr-volker-wissing-germanys-federal-minister-for-digital-and-transport-meets-with-rail-baltica-partners/,"Feb 17, 2023 ... Dr Volker Wissing, Germany's Federal Minister for Digital and Transport, meets with Rail Baltica partners ... “Since February 24 last year, Rail ...",neutral,org
Volker Wissing (@Wissing) / X,https://x.com/wissing?lang=en,"Volker Wissing's posts ... Wollen wir künftig in Frieden und Wohlstand leben, muss Politik Ergebnisse liefern. Man muss Politik erklären, aber es kann nicht nur ...",neutral,com
Volker Wissing,https://www.facebook.com/volker.wissing/,Volker Wissing is on Facebook. Join Facebook to connect with Volker Wissing and others you may know. Facebook gives people the power to share and makes...,positiv,com
