Titel,Token,Sentiment-Score
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,saubere,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,kraft,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,voraus,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,:,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,alternative,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,treibstoffe,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,in,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,der,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,schifffahrt,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,ksb,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,aug,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,2,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,",",0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,2023,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,.,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,mithilfe,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,elektrischer,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,energie,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,aus,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,regenerativen,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,quellen,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,(,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,wie,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,z,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,b,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,windkraft,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,),0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,kann,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,methanol,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,sogar,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,klimaneutral,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,gewonnen,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,und,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,genutzt,0.0
Saubere Kraft voraus: Alternative Treibstoffe in der Schifffahrt | KSB,werden,0.0
02 | Working Paper,02,0.0
02 | Working Paper,working,0.0
02 | Working Paper,paper,0.0
02 | Working Paper,jul,0.0
02 | Working Paper,1,0.0
02 | Working Paper,",",0.0
02 | Working Paper,2023,0.0
02 | Working Paper,.,0.0
02 | Working Paper,jedoch,0.0
02 | Working Paper,haben,0.0
02 | Working Paper,bei,0.0
02 | Working Paper,den,0.0
02 | Working Paper,schiffsneubestellungen,0.0
02 | Working Paper,antriebe,0.0
02 | Working Paper,die,0.0
02 | Working Paper,für,0.0
02 | Working Paper,alternative,0.0
