Titel,Token,Sentiment-Score
Angela Titzrath - HHLA,angela,0.0
Angela Titzrath - HHLA,titzrath,0.0
Angela Titzrath - HHLA,-,0.0
Angela Titzrath - HHLA,hhla,0.0
Angela Titzrath - HHLA,responsibilities,0.0
Angela Titzrath - HHLA,:,0.0
Angela Titzrath - HHLA,.,0.0
Angela Titzrath - HHLA,was,0.0
Angela Titzrath - HHLA,born,0.0
Angela Titzrath - HHLA,on,0.0
Angela Titzrath - HHLA,30,0.0
Angela Titzrath - HHLA,april,0.0
Angela Titzrath - HHLA,1966,0.0
Angela Titzrath - HHLA,in,0.0
Angela Titzrath - HHLA,essen,0.0
Angela Titzrath - HHLA,after,0.0
Angela Titzrath - HHLA,studying,0.0
Angela Titzrath - HHLA,economics,0.0
Angela Titzrath - HHLA,and,0.0
Angela Titzrath - HHLA,romance,2.6
Angela Titzrath - HHLA,language,0.0
Angela Titzrath - HHLA,literature,0.0
Angela Titzrath - HHLA,at,0.0
Angela Titzrath - HHLA,ruhr,0.0
Angela Titzrath - HHLA,university,0.0
Angela Titzrath - HHLA,bochum,0.0
Angela Titzrath - HHLA,",",0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,angela,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,titzrath,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,women,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,entrepreneurs,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,finance,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,initiative,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,in,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,2012,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,",",0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,she,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,was,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,appointed,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,to,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,the,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,executive,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,board,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,of,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,deutsche,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,post,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,ag,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,where,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,responsible,1.3
Angela Titzrath | Women Entrepreneurs Finance Initiative,for,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,group,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,human,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,resources,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,globally,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,until,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,2014,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,.,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,last,0.0
Angela Titzrath | Women Entrepreneurs Finance Initiative,few,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,port,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,of,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,hamburg,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,angela,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,titzrath,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,is,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,the,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,new,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,ceo,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,hhla,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,.,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,took,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,over,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,as,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,chairwoman,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,executive,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,board,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,hamburger,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,hafen,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,und,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,logistik,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,ag,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,(,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,),0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,on,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,1,0.0
Port of Hamburg | Angela Titzrath is the new CEO of HHLA,january,0.0
Angela Titzrath,angela,0.0
Angela Titzrath,titzrath,0.0
Angela Titzrath,(,0.0
Angela Titzrath,*,0.0
Angela Titzrath,1966,0.0
Angela Titzrath,),0.0
Angela Titzrath,",",0.0
Angela Titzrath,as,0.0
Angela Titzrath,a,0.0
Angela Titzrath,"""",0.0
Angela Titzrath,change,0.0
Angela Titzrath,maker,0.0
Angela Titzrath,quickly,0.0
Angela Titzrath,led,0.0
Angela Titzrath,the,0.0
Angela Titzrath,terminal,0.0
Angela Titzrath,operator,0.0
Angela Titzrath,hhla,0.0
Angela Titzrath,to,0.0
Angela Titzrath,economic,0.0
Angela Titzrath,and,0.0
Angela Titzrath,sustainable,0.0
Angela Titzrath,success,2.7
Angela Titzrath,with,0.0
Angela Titzrath,innovative,1.9
Angela Titzrath,ideas,0.0
Angela Titzrath,courage,2.2
Angela Titzrath,.,0.0
Angela Titzrath,angela,0.0
Angela Titzrath,titzrath,0.0
Angela Titzrath,is,0.0
Angela Titzrath,vice,0.0
Angela Titzrath,chair,0.0
Angela Titzrath,of,0.0
Angela Titzrath,the,0.0
Angela Titzrath,board,0.0
Angela Titzrath,trustees,0.3
Angela Titzrath,h2global,0.0
Angela Titzrath,stiftung,0.0
Angela Titzrath,.,0.0
Angela Titzrath,she,0.0
Angela Titzrath,serves,0.0
Angela Titzrath,as,0.0
Angela Titzrath,member,0.0
Angela Titzrath,and,0.0
Angela Titzrath,chairman,0.0
Angela Titzrath,at,0.0
Angela Titzrath,hamburger,0.0
Angela Titzrath,hafen,0.0
Angela Titzrath,und,0.0
Splendid honour for Erich Staake and Angela Titzrath,splendid,2.8
Splendid honour for Erich Staake and Angela Titzrath,honour,2.7
Splendid honour for Erich Staake and Angela Titzrath,for,0.0
Splendid honour for Erich Staake and Angela Titzrath,erich,0.0
Splendid honour for Erich Staake and Angela Titzrath,staake,0.0
Splendid honour for Erich Staake and Angela Titzrath,and,0.0
Splendid honour for Erich Staake and Angela Titzrath,angela,0.0
Splendid honour for Erich Staake and Angela Titzrath,titzrath,0.0
Splendid honour for Erich Staake and Angela Titzrath,honoured,2.2
