Titel,Token,Sentiment-Score
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,deutsche,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,offshore,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,schifffahrt,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,very,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,versatile,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,vessels,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,for,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,the,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,.,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,(,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,german,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,shipping,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,),0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,will,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,be,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,entering,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,energy,1.1
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,market,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,with,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,four,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,construction,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,commissioning,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,service,0.0
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,operation,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,deutsche,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,schiff,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,-,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,und,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,maschinenbau,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,wikipedia,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,language,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,watch,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,edit,0.0
Deutsche Schiff- und Maschinenbau - Wikipedia,.,0.0
