Titel,Token,Sentiment-Score
Donald Trump - Wikipedia,donald,0.0
Donald Trump - Wikipedia,trump,0.0
Donald Trump - Wikipedia,-,0.0
Donald Trump - Wikipedia,wikipedia,0.0
Donald Trump - Wikipedia,born,0.0
Donald Trump - Wikipedia,into,0.0
Donald Trump - Wikipedia,a,0.0
Donald Trump - Wikipedia,wealthy,1.5
Donald Trump - Wikipedia,family,0.0
Donald Trump - Wikipedia,in,0.0
Donald Trump - Wikipedia,the,0.0
Donald Trump - Wikipedia,new,0.0
Donald Trump - Wikipedia,york,0.0
Donald Trump - Wikipedia,city,0.0
Donald Trump - Wikipedia,borough,0.0
Donald Trump - Wikipedia,of,0.0
Donald Trump - Wikipedia,queens,0.0
Donald Trump - Wikipedia,",",0.0
Donald Trump - Wikipedia,graduated,0.0
Donald Trump - Wikipedia,from,0.0
Donald Trump - Wikipedia,university,0.0
Donald Trump - Wikipedia,pennsylvania,0.0
Donald Trump - Wikipedia,1968,0.0
Donald Trump - Wikipedia,with,0.0
Donald Trump - Wikipedia,bachelor's,0.0
Donald Trump - Wikipedia,degree,0.0
Donald Trump - Wikipedia,.,0.0
Donald J. Trump (@realDonaldTrump) / X,donald,0.0
Donald J. Trump (@realDonaldTrump) / X,j,0.0
Donald J. Trump (@realDonaldTrump) / X,.,0.0
Donald J. Trump (@realDonaldTrump) / X,trump,0.0
Donald J. Trump (@realDonaldTrump) / X,(,0.0
Donald J. Trump (@realDonaldTrump) / X,realdonaldtrump,0.0
Donald J. Trump (@realDonaldTrump) / X,),0.0
Donald J. Trump (@realDonaldTrump) / X,/,0.0
Donald J. Trump (@realDonaldTrump) / X,x,0.0
Donald J. Trump (@realDonaldTrump) / X,trump's,0.0
Donald J. Trump (@realDonaldTrump) / X,posts,0.0
Donald J. Trump (@realDonaldTrump) / X,the,0.0
Donald J. Trump (@realDonaldTrump) / X,united,1.8
Donald J. Trump (@realDonaldTrump) / X,states,0.0
Donald J. Trump (@realDonaldTrump) / X,has,0.0
Donald J. Trump (@realDonaldTrump) / X,a,0.0
Donald J. Trump (@realDonaldTrump) / X,chance,1.0
Donald J. Trump (@realDonaldTrump) / X,to,0.0
Donald J. Trump (@realDonaldTrump) / X,do,0.0
Donald J. Trump (@realDonaldTrump) / X,something,0.0
Donald J. Trump (@realDonaldTrump) / X,that,0.0
Donald J. Trump (@realDonaldTrump) / X,should,0.0
Donald J. Trump (@realDonaldTrump) / X,have,0.0
Donald J. Trump (@realDonaldTrump) / X,been,0.0
Donald J. Trump (@realDonaldTrump) / X,done,0.0
Donald J. Trump (@realDonaldTrump) / X,decades,0.0
Donald J. Trump (@realDonaldTrump) / X,ago,0.0
Donald J. Trump (@realDonaldTrump) / X,don't,0.0
Donald J. Trump (@realDonaldTrump) / X,be,0.0
Donald J. Trump (@realDonaldTrump) / X,weak,-1.9
Donald J. Trump (@realDonaldTrump) / X,!,0.0
Donald J. Trump (@realDonaldTrump) / X,stupid,-2.4
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,president,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,donald,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,j,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,.,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,trump,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,(,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,realdonaldtrump,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,),0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,instagram,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,photos,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,45,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,th,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,47,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,of,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,the,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,united,1.8
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,states,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,photo,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,by,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,in,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,white,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,house,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,may,0.0
President Donald J. Trump (@realdonaldtrump) • Instagram photos ...,be,0.0
