Titel,Token,Sentiment-Score
Full article: Electrifying inland waterway transport – a case study for ...,full,0.0
Full article: Electrifying inland waterway transport – a case study for ...,article,0.0
Full article: Electrifying inland waterway transport – a case study for ...,:,0.0
Full article: Electrifying inland waterway transport – a case study for ...,electrifying,0.0
Full article: Electrifying inland waterway transport – a case study for ...,inland,0.0
Full article: Electrifying inland waterway transport – a case study for ...,waterway,0.0
Full article: Electrifying inland waterway transport – a case study for ...,transport,0.0
Full article: Electrifying inland waterway transport – a case study for ...,a,0.0
Full article: Electrifying inland waterway transport – a case study for ...,case,0.0
Full article: Electrifying inland waterway transport – a case study for ...,study,0.0
Full article: Electrifying inland waterway transport – a case study for ...,for,0.0
Full article: Electrifying inland waterway transport – a case study for ...,.,0.0
Full article: Electrifying inland waterway transport – a case study for ...,vessels,0.0
Full article: Electrifying inland waterway transport – a case study for ...,with,0.0
Full article: Electrifying inland waterway transport – a case study for ...,fewer,0.0
Full article: Electrifying inland waterway transport – a case study for ...,than,0.0
Full article: Electrifying inland waterway transport – a case study for ...,1000,0.0
Full article: Electrifying inland waterway transport – a case study for ...,ais,0.0
Full article: Electrifying inland waterway transport – a case study for ...,signals,0.0
Full article: Electrifying inland waterway transport – a case study for ...,on,0.0
Full article: Electrifying inland waterway transport – a case study for ...,the,0.0
Full article: Electrifying inland waterway transport – a case study for ...,german,0.0
Full article: Electrifying inland waterway transport – a case study for ...,iww,0.0
Full article: Electrifying inland waterway transport – a case study for ...,system,0.0
Full article: Electrifying inland waterway transport – a case study for ...,have,0.0
Full article: Electrifying inland waterway transport – a case study for ...,been,0.0
Full article: Electrifying inland waterway transport – a case study for ...,disregarded,-1.6
Full article: Electrifying inland waterway transport – a case study for ...,as,0.0
Full article: Electrifying inland waterway transport – a case study for ...,either,0.0
Full article: Electrifying inland waterway transport – a case study for ...,quality,0.0
Full article: Electrifying inland waterway transport – a case study for ...,of,0.0
Full article: Electrifying inland waterway transport – a case study for ...,data,0.0
Full article: Electrifying inland waterway transport – a case study for ...,is,0.0
Full article: Electrifying inland waterway transport – a case study for ...,insufficient,0.0
Full article: Electrifying inland waterway transport – a case study for ...,or,0.0
Full article: Electrifying inland waterway transport – a case study for ...,their,0.0
Full article: Electrifying inland waterway transport – a case study for ...,total,0.0
Full article: Electrifying inland waterway transport – a case study for ...,sailing,0.0
Inland Waterway Transport in Europe: No significant improvements ...,inland,0.0
Inland Waterway Transport in Europe: No significant improvements ...,waterway,0.0
Inland Waterway Transport in Europe: No significant improvements ...,transport,0.0
Inland Waterway Transport in Europe: No significant improvements ...,in,0.0
Inland Waterway Transport in Europe: No significant improvements ...,europe,0.0
Inland Waterway Transport in Europe: No significant improvements ...,:,0.0
Inland Waterway Transport in Europe: No significant improvements ...,no,-1.2
Inland Waterway Transport in Europe: No significant improvements ...,significant,0.8
Inland Waterway Transport in Europe: No significant improvements ...,improvements,1.3
Inland Waterway Transport in Europe: No significant improvements ...,.,0.0
Inland Waterway Transport in Europe: No significant improvements ...,addition,0.0
Inland Waterway Transport in Europe: No significant improvements ...,",",0.0
Inland Waterway Transport in Europe: No significant improvements ...,on,0.0
Inland Waterway Transport in Europe: No significant improvements ...,-,0.0
Inland Waterway Transport in Europe: No significant improvements ...,the,0.0
Inland Waterway Transport in Europe: No significant improvements ...,spot,0.0
Inland Waterway Transport in Europe: No significant improvements ...,audit,0.0
Inland Waterway Transport in Europe: No significant improvements ...,visits,0.0
Inland Waterway Transport in Europe: No significant improvements ...,were,0.0
Inland Waterway Transport in Europe: No significant improvements ...,carried,0.0
Inland Waterway Transport in Europe: No significant improvements ...,out,0.0
Inland Waterway Transport in Europe: No significant improvements ...,to,0.0
