Titel,Token,Sentiment-Score
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,carte,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,von,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,dem,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,hafen,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,und,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,der,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,stadt,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,boston,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,-,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,norman,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,b,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,.,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,leventhal,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,this,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,map,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,is,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,also,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,available,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,in,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,american,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,revolutionary,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,geographies,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,online,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,(,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,argo,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,),0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,",",0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,a,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,collections,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,portal,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,especially,0.0
Carte von dem Hafen und der Stadt Boston - Norman B. Leventhal ...,built,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,malawis,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,staatspräsident,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,chakwera,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,informiert,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,sich,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,bei,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,ob,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,schwenke,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,.,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,aug,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,22,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,",",0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,2024,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,am,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,21,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,august,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,war,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,der,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,von,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,malawi,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,zu,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,besuch,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,in,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,offenbach,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,er,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,informierte,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,über,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,die,0.0
Malawis Staatspräsident Chakwera informiert sich bei OB Schwenke ...,hafenentwicklung,0.0
Hafen- und Seemannsamt - Rostock,hafen,0.0
Hafen- und Seemannsamt - Rostock,-,0.0
Hafen- und Seemannsamt - Rostock,und,0.0
Hafen- und Seemannsamt - Rostock,seemannsamt,0.0
Hafen- und Seemannsamt - Rostock,rostock,0.0
Hafen- und Seemannsamt - Rostock,.,0.0
Hafen- und Seemannsamt - Rostock,seit,0.0
Hafen- und Seemannsamt - Rostock,1991,0.0
Hafen- und Seemannsamt - Rostock,nimmt,0.0
Hafen- und Seemannsamt - Rostock,das,0.0
Hafen- und Seemannsamt - Rostock,die,0.0
Hafen- und Seemannsamt - Rostock,öffentlich,0.0
Hafen- und Seemannsamt - Rostock,rechtlichen,0.0
Hafen- und Seemannsamt - Rostock,hoheitlichen,0.0
Hafen- und Seemannsamt - Rostock,befugnisse,0.0
