Titel,Token,Sentiment-Score
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...","""",0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",china,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",maritime,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",report,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",no,-1.2
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",.,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",6,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",:,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",djibouti,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",china's,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",first,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",overseas,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",apr,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",3,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",",",0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",2020,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",strategic,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",strongpoint,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",(,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",),0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",cmsi,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",reports,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",https,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",/,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",digital,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",-,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",commons,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",usnwc,0.0
"""China Maritime Report No. 6: Djibouti: China's First Overseas ...",edu,0.0
NSIN Propel Maritime Digital Defense 2024 | National Security ...,nsin,0.0
NSIN Propel Maritime Digital Defense 2024 | National Security ...,propel,0.0
NSIN Propel Maritime Digital Defense 2024 | National Security ...,maritime,0.0
NSIN Propel Maritime Digital Defense 2024 | National Security ...,digital,0.0
