Titel,Token,Sentiment-Score
Maritime security - Wikipedia,maritime,0.0
Maritime security - Wikipedia,security,1.4
Maritime security - Wikipedia,-,0.0
Maritime security - Wikipedia,wikipedia,0.0
Maritime security - Wikipedia,.,0.0
Maritime security - Wikipedia,is,0.0
Maritime security - Wikipedia,an,0.0
Maritime security - Wikipedia,umbrella,0.0
Maritime security - Wikipedia,term,0.0
Maritime security - Wikipedia,informed,0.0
Maritime security - Wikipedia,to,0.0
Maritime security - Wikipedia,classify,0.0
Maritime security - Wikipedia,issues,0.0
Maritime security - Wikipedia,in,0.0
Maritime security - Wikipedia,the,0.0
Maritime security - Wikipedia,domain,0.0
Maritime security - Wikipedia,that,0.0
Maritime security - Wikipedia,are,0.0
Maritime security - Wikipedia,often,0.0
Maritime security - Wikipedia,related,0.0
Maritime security - Wikipedia,national,0.0
Maritime security - Wikipedia,",",0.0
Maritime security - Wikipedia,marine,0.0
Center for International Maritime Security | Fostering the Discussion ...,center,0.0
Center for International Maritime Security | Fostering the Discussion ...,for,0.0
Center for International Maritime Security | Fostering the Discussion ...,international,0.0
Center for International Maritime Security | Fostering the Discussion ...,maritime,0.0
Center for International Maritime Security | Fostering the Discussion ...,security,1.4
Center for International Maritime Security | Fostering the Discussion ...,fostering,0.0
Center for International Maritime Security | Fostering the Discussion ...,the,0.0
Center for International Maritime Security | Fostering the Discussion ...,discussion,0.0
Center for International Maritime Security | Fostering the Discussion ...,.,0.0
Center for International Maritime Security | Fostering the Discussion ...,apr,0.0
Center for International Maritime Security | Fostering the Discussion ...,15,0.0
Center for International Maritime Security | Fostering the Discussion ...,",",0.0
Center for International Maritime Security | Fostering the Discussion ...,2025,0.0
Center for International Maritime Security | Fostering the Discussion ...,sea,0.0
Center for International Maritime Security | Fostering the Discussion ...,control,0.0
Center for International Maritime Security | Fostering the Discussion ...,571,0.0
Center for International Maritime Security | Fostering the Discussion ...,:,0.0
Center for International Maritime Security | Fostering the Discussion ...,revolutionary,0.0
Center for International Maritime Security | Fostering the Discussion ...,taiwan,0.0
Center for International Maritime Security | Fostering the Discussion ...,with,0.0
Center for International Maritime Security | Fostering the Discussion ...,catherine,0.0
Center for International Maritime Security | Fostering the Discussion ...,lila,0.0
Center for International Maritime Security | Fostering the Discussion ...,chou,0.0
Center for International Maritime Security | Fostering the Discussion ...,and,0.0
Center for International Maritime Security | Fostering the Discussion ...,mark,0.0
Center for International Maritime Security | Fostering the Discussion ...,harrison,0.0
Center for International Maritime Security | Fostering the Discussion ...,french,0.0
Tanker Security Program | MARAD,tanker,0.0
Tanker Security Program | MARAD,security,1.4
Tanker Security Program | MARAD,program,0.0
Tanker Security Program | MARAD,marad,0.0
Tanker Security Program | MARAD,office,0.0
Tanker Security Program | MARAD,of,0.0
Tanker Security Program | MARAD,sealift,0.0
Tanker Security Program | MARAD,support,1.7
Tanker Security Program | MARAD,.,0.0
Tanker Security Program | MARAD,rhonda,0.0
Tanker Security Program | MARAD,davis,0.0
Tanker Security Program | MARAD,senior,0.0
Tanker Security Program | MARAD,analyst,0.0
Tanker Security Program | MARAD,maritime,0.0
Tanker Security Program | MARAD,1200,0.0
Tanker Security Program | MARAD,new,0.0
Tanker Security Program | MARAD,jersey,0.0
Tanker Security Program | MARAD,avenue,0.0
Tanker Security Program | MARAD,",",0.0
Tanker Security Program | MARAD,se,0.0
Tanker Security Program | MARAD,washington,0.0
Joint communication on the update of the EU Maritime Security ...,joint,0.0
Joint communication on the update of the EU Maritime Security ...,communication,0.0
Joint communication on the update of the EU Maritime Security ...,on,0.0
Joint communication on the update of the EU Maritime Security ...,the,0.0
Joint communication on the update of the EU Maritime Security ...,update,0.0
Joint communication on the update of the EU Maritime Security ...,of,0.0
Joint communication on the update of the EU Maritime Security ...,eu,0.0
Joint communication on the update of the EU Maritime Security ...,maritime,0.0
Joint communication on the update of the EU Maritime Security ...,security,1.4
Joint communication on the update of the EU Maritime Security ...,.,0.0
Joint communication on the update of the EU Maritime Security ...,mar,0.0
Joint communication on the update of the EU Maritime Security ...,10,0.0
Joint communication on the update of the EU Maritime Security ...,",",0.0
Joint communication on the update of the EU Maritime Security ...,2023,0.0
Joint communication on the update of the EU Maritime Security ...,join,1.2
Joint communication on the update of the EU Maritime Security ...,/,0.0
Joint communication on the update of the EU Maritime Security ...,8,0.0
Joint communication on the update of the EU Maritime Security ...,and,0.0
Joint communication on the update of the EU Maritime Security ...,annex,0.0
Maritime cyber risk,maritime,0.0
Maritime cyber risk,cyber,0.0
Maritime cyber risk,risk,-1.1
Maritime cyber risk,the,0.0
Maritime cyber risk,recommendations,0.0
Maritime cyber risk,can,0.0
Maritime cyber risk,be,0.0
Maritime cyber risk,incorporated,0.0
