Titel,Token,Sentiment-Score
Nationale Hafenstrategie - BMDV,nationale,0.0
Nationale Hafenstrategie - BMDV,hafenstrategie,0.0
Nationale Hafenstrategie - BMDV,-,0.0
Nationale Hafenstrategie - BMDV,bmdv,0.0
Nationale Hafenstrategie - BMDV,mar,0.0
Nationale Hafenstrategie - BMDV,20,0.0
Nationale Hafenstrategie - BMDV,",",0.0
Nationale Hafenstrategie - BMDV,2024,0.0
Nationale Hafenstrategie - BMDV,.,0.0
Nationale Hafenstrategie - BMDV,deutschland,0.0
Nationale Hafenstrategie - BMDV,und,0.0
Nationale Hafenstrategie - BMDV,für,0.0
Nationale Hafenstrategie - BMDV,eine,0.0
Nationale Hafenstrategie - BMDV,starke,0.0
Nationale Hafenstrategie - BMDV,volkswirtschaft,0.0
Nationale Hafenstrategie - BMDV,der,0.0
Nationale Hafenstrategie - BMDV,koalitionsvertrag,0.0
Nationale Hafenstrategie - BMDV,die,0.0
Nationale Hafenstrategie - BMDV,legislaturperiode,0.0
Nationale Hafenstrategie - BMDV,enthält,0.0
Nationale Hafenstrategie - BMDV,daher,0.0
Nationale Hafenstrategie - BMDV,den,0.0
Nationale Hafenstrategie - BMDV,auftrag,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,kabinett,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,beschließt,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,nationale,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,hafenstrategie,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,bundesregierung,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,mar,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,20,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,",",0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,2024,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,.,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,binnen,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,-,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,und,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,seehäfen,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,sind,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,entscheidende,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,knotenpunkte,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,für,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,die,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,deutsche,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,wirtschaft,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,foto,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,:,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,imago,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,/,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,arnulf,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,hettrich,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,leistungsfähige,0.0
Kabinett beschließt Nationale Hafenstrategie | Bundesregierung,see,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,nationale,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,hafenstrategie,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,für,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,die,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,see,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,-,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,und,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,.,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,deutscher,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,bundestag,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,apr,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,5,0.0
Nationale Hafenstrategie für die See- und ... - Deutscher Bundestag,",",0.0
