Titel,Token,Sentiment-Score
Offshore wind power - Wikipedia,offshore,0.0
Offshore wind power - Wikipedia,wind,0.0
Offshore wind power - Wikipedia,power,0.0
Offshore wind power - Wikipedia,-,0.0
Offshore wind power - Wikipedia,wikipedia,0.0
Offshore wind power - Wikipedia,unlike,0.0
Offshore wind power - Wikipedia,the,0.0
Offshore wind power - Wikipedia,typical,0.0
Offshore wind power - Wikipedia,use,0.0
Offshore wind power - Wikipedia,of,0.0
Offshore wind power - Wikipedia,term,0.0
Offshore wind power - Wikipedia,"""",0.0
Offshore wind power - Wikipedia,in,0.0
Offshore wind power - Wikipedia,marine,0.0
Offshore wind power - Wikipedia,industry,0.0
Offshore wind power - Wikipedia,",",0.0
Offshore wind power - Wikipedia,includes,0.0
Offshore wind power - Wikipedia,inshore,0.0
Offshore wind power - Wikipedia,water,0.0
Offshore wind power - Wikipedia,areas,0.0
Offshore wind power - Wikipedia,such,0.0
Offshore wind power - Wikipedia,as,0.0
Offshore wind power - Wikipedia,lakes,0.0
Offshore wind power - Wikipedia,fjords,0.0
Offshore wind power - Wikipedia,and,0.0
Offshore wind power - Wikipedia,sheltered,0.0
Offshore wind power - Wikipedia,.,0.0
About Offshore Wind - NYSERDA,about,0.0
About Offshore Wind - NYSERDA,offshore,0.0
About Offshore Wind - NYSERDA,wind,0.0
About Offshore Wind - NYSERDA,-,0.0
About Offshore Wind - NYSERDA,nyserda,0.0
About Offshore Wind - NYSERDA,the,0.0
About Offshore Wind - NYSERDA,law,0.0
About Offshore Wind - NYSERDA,mandates,0.0
About Offshore Wind - NYSERDA,that,0.0
About Offshore Wind - NYSERDA,at,0.0
About Offshore Wind - NYSERDA,least,0.0
About Offshore Wind - NYSERDA,70,0.0
About Offshore Wind - NYSERDA,of,0.0
About Offshore Wind - NYSERDA,new,0.0
About Offshore Wind - NYSERDA,york's,0.0
About Offshore Wind - NYSERDA,electricity,0.0
About Offshore Wind - NYSERDA,come,0.0
About Offshore Wind - NYSERDA,from,0.0
About Offshore Wind - NYSERDA,renewable,0.0
