Titel,Token,Sentiment-Score
Patrick Schnieder - Wikipedia,patrick,0.0
Patrick Schnieder - Wikipedia,schnieder,0.0
Patrick Schnieder - Wikipedia,-,0.0
Patrick Schnieder - Wikipedia,wikipedia,0.0
Patrick Schnieder - Wikipedia,.,0.0
Patrick Schnieder - Wikipedia,not,0.0
Patrick Schnieder - Wikipedia,to,0.0
Patrick Schnieder - Wikipedia,be,0.0
Patrick Schnieder - Wikipedia,confused,-1.3
Patrick Schnieder - Wikipedia,with,0.0
Patrick Schnieder - Wikipedia,schneider,0.0
Patrick Schnieder - Wikipedia,(,0.0
Patrick Schnieder - Wikipedia,born,0.0
Patrick Schnieder - Wikipedia,1,0.0
Patrick Schnieder - Wikipedia,may,0.0
Patrick Schnieder - Wikipedia,1968,0.0
Patrick Schnieder - Wikipedia,),0.0
Patrick Schnieder - Wikipedia,is,0.0
Patrick Schnieder - Wikipedia,a,0.0
Patrick Schnieder - Wikipedia,german,0.0
Patrick Schnieder - Wikipedia,lawyer,0.0
Patrick Schnieder - Wikipedia,and,0.0
Patrick Schnieder - Wikipedia,politician,0.0
Patrick Schnieder - Wikipedia,of,0.0
Patrick Schnieder - Wikipedia,the,0.0
Patrick Schnieder - Wikipedia,christian,0.0
Patrick Schnieder - Wikipedia,democratic,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,patrick,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,schnieder,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,(,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,pschnieder,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,),0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,instagram,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,photos,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,and,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,videos,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,als,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,argentinier,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,war,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,franziskus,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,der,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,erste,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,gebürtige,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,nicht,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,-,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,europäer,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,im,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,amt,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,des,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,papstes,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,seit,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,dem,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,8,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,.,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,jahrhundert,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,und,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,bisher,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,einzige,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,jesuit,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,papstamt,0.0
Patrick Schnieder (@pschnieder) • Instagram photos and videos,sein,0.0
Patrick Schneider | Belmont University,patrick,0.0
Patrick Schneider | Belmont University,schneider,0.0
Patrick Schneider | Belmont University,belmont,0.0
Patrick Schneider | Belmont University,university,0.0
Patrick Schneider | Belmont University,dr,0.0
Patrick Schneider | Belmont University,.,0.0
Patrick Schneider | Belmont University,earned,0.0
Patrick Schneider | Belmont University,a,0.0
Patrick Schneider | Belmont University,doctor,0.0
Patrick Schneider | Belmont University,of,0.0
Patrick Schneider | Belmont University,philosophy,0.0
Patrick Schneider | Belmont University,in,0.0
Patrick Schneider | Belmont University,exercise,0.0
Patrick Schneider | Belmont University,science,0.0
Patrick Schneider | Belmont University,from,0.0
Patrick Schneider | Belmont University,the,0.0
Patrick Schneider | Belmont University,tennessee,0.0
Patrick Schneider | Belmont University,-,0.0
Patrick Schneider | Belmont University,knoxville,0.0
Patrick Schneider | Belmont University,;,0.0
Patrick Schneider | Belmont University,master,0.0
Patrick Schneider | Belmont University,clinical,0.0
Patrick Schneider | Belmont University,physiology,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",patrick,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",schneider,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",",",0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",md,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",ohio,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",state,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",university,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",wexner,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",medical,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",center,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",i,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",practice,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",in,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",obstetrics,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",and,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",gynecology,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",with,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",an,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",emphasis,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",on,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",high,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",-,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",risk,-1.1
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",pregnancies,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",.,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",help,1.7
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",my,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",patients,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",manage,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",their,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",specific,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",risks,-1.1
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",to,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",keep,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",them,0.0
"Patrick Schneider, MD | Ohio State University Wexner Medical Center",babies,0.0
Patrick Schneider Photography,patrick,0.0
Patrick Schneider Photography,schneider,0.0
Patrick Schneider Photography,photography,0.0
Patrick Schneider Photography,award,2.5
Patrick Schneider Photography,-,0.0
Patrick Schneider Photography,winning,2.4
