0,"prozent, dpa, aktuell, blauäugig, chinas, fehler, betreiber, vereinbarten, rolle, neuen"
1,"25, aktionismus, xi, zentralamerika, aktive, apr, außenwirtschaftsrecht, bundeswirtschaftsministerium, berlin, bedeutung"
2,"ursprünglich, vogel, regierung, sep, dwn, städte, containerterminal, tran, schmerzlich, economy"
3,"beteiligung, cosco, deutschland, kritik, politik, 12, handelsblatt, com, www, beziehungen"
4,"investitonen, lieferkette, scheitern, 28, angela, ziel, aktiv, unternehmer, updates, 31"
5,"10, bloomberg, epa, panagiotou, oecd, eigene, wertschöpfung, weg, angst, wirtschaftsbeziehungen"
6,"24, zeit, absicherung, arbeitsplätze, ansicht, vergleich, unternehmen, unzähligen, unverhältnismäßig, br24"
7,"table, china, ag, dhl, briefings, internationalen, laufende, channel, außenpolitik, außenwirtschaftsrechts"
8,"news, orf, stärkeren, shipping, usa, bedrohung, pläne, schwächen, investor, hamburgs"
9,"kapitalmarktkompass, mutterkonzernes, 2mecs, wichtigster, 26, 27, voller, vollstreckungsabkommen, bank, transportbranche"
