0,"deutschland, dr, pdf, __blob, publicationfile, operations, korean, host, procedures, imo"
1,"ukraine, die, frank, ist, haun, leopard, 2007, 46, ec, com"
2,"aa22, advisories, vorteile, wettbewerb, partner, maritimes, min, polizei, land, maintenance"
3,"missions, nederlands, party, training, explore, flag, global, gruppe, program, raw"
4,"government, thema, se, consist, threat, wirtschaftsprüfungsgesellschaft, commentary, bsi, military, nordkoreas"
5,"prof, non, maritime, wirtschaftliche, professional, professor, puerto, baltikum, armed, indo"
6,"wirtschaft, https, www, ch, unternehmen, blick, vo, opfer, nzz, spiegel"
7,"nov, leer, emden, maschmeyer, stakeholders, depth, impacts, möglichkeit, way, news"
8,"port, committee, morgen, ministry, member, articles, ansprechstelle, martin, operation, moller"
9,"wise, advanced, new, autonomous, linkedin, page, match, markus, pillars, inquiries"
