0,"maritime, christoph, bsb, witte, weise, weiteres, bekannten, gipfel, transportsektors, flüssigerdgas"
1,"wahre, chart, unabhängig, verantwortung, direktor, fahrt, fortschritte, gewisser, nützlichen, inländischen"
2,"cummins, 21, motor, dekarbonisierungsstrategien, bahn, bundesministerium, elektifizierung, innovative, sedimenten, marineché"
3,"11, 2023, 12, 10, ausgestaltung, aug, cml, klimaeffekt, klimapolitik, background"
4,"elektrolysestacks, pem, zeroghg, albanien, wirtschaft, 55, 18, bioenergy, anwendung, arianegroup"
5,"des, iksr, globale, leiter, 13, arup, authority, 31, wahrscheinlich, charterer"
6,"wasserstoff, anwendungen, energieerzeugung, förderung, mcn, millionen, synergieeffekte, hamburger, tagung, vorreiter"
7,"20, breite, deutschen, dec, containerschifffahrt, gieentwicklungen, gahr, entscheidungsträger, küstengebieten, steuereinheit"
8,"lnkd, ruxaya, https, 39, beitrag, alternative, wissenstransfer, bmwk, usa, elektrischen"
9,"29268, xhtml, deu, com, 282023, immc, 20final, vdi, angestoßene, wunsch"
