0,"zwilling, ströbel, bausch, abbildung, verwendung, yunus, anknüpfungs, anspruchsvolle, heutigen, verhandlungen"
1,"11, achema, alert, anwendung, antike, anwendungen, arbeitsweisedigitaler, bundeswasserstraßen, aveva, bahn"
2,"3d, wachstum, frankfurt, wegstrecke, mtp, fahrplan, gdws, umgebung, kiel, klimafreundlichkeit"
3,"know, 2023, maschinensicherheit, einzelner, 17, prozessindustrie, zuverlässigkeit, zwillingdigitale, ressourcen, integrierten"
4,"s2, novia, dienstleister, zwillings, hexagon, kabellängen, job, jahr, hafenwirtschaft, intelligente"
5,"virtuelle, hereon, grundlegend, innovative, ausgewählte, innovation, 21, ms, chancen, quo"
6,"projekte, physik, europa, trenntechnik, größe, erfolgsberichte, 13, wasserstraßen, technologien, lernmanagement"
7,"bau, innen, kolleg, wesentliche, firma, ersten, holstein, weiterführende, erneuerbare, finanzierung"
8,"offshore, erkenntnisse, mcn, bedarfs, berechnungsingenieur, abgabe, testschiffes, taunus, bauteile, building"
9,"100, datenaustausch, aftersales, airbus, deutlich, fabrik, graz, transportierten, neueste, analytik"
