0,"election, visas, vladimir, apr, veteran, update, assault, effort, suspension, taj"
1,"accountability, agency, voice, affairs, minerals, university, texas, trade, handful, start"
2,"donaldjtrump, com, president, nbc, virgin, roundtable, abc, announcement, immigration, interview"
3,"golf, media, mandate, management, beauty, jazeera, hope, jd, tenements, tweets"
4,"multi, millionaire, impeachable, virus, judges, instagram, content, important, israel, origin"
5,"gov, congress, nycourts, audio, wealthy, assassination, revenue, brackets, history, 80th"
6,"jan, el, historical, goal, generation, venezuelan, victory, followers, forms, videos"
7,"org, span, largest, statement, dec, robert, tariff, research, independent, islands"
8,"agencies, video, terrorism, college, podcasts, congresswoman, kristen, palau, don, session"
9,"indictment, pdf, supporters, ban, china, weak, consent, dept, counseling, committee"
