0,"eu, 15, intra, com, emissionshaendler, kritische, apr, kostenlose, aktionärinnen, wohlhabende"
1,"2023, 959, aug, jetzigen, wirtschaftsvertreter, luftfahrt, gesetzesvorschlägen, regelungen, archive, energie"
2,"ausrichtung, antworten, leitinstrument, schwerpunkt, recht, preiskorrektur, preise, offshore, obergrenze, schiffsverkehr"
3,"verifizierungsstellen, flugverkehr, nachhaltigkeit, china, elektroautos, rahmen, agenda, untitled, schiffahrt, shop"
4,"ets, europa, market, luftqualitätsrichtlinie, messung, oeko, rolle, internationale, späten, betrachtung"
5,"55, übergansphase, veröffentlichungen, vorgesehen, vorläufige, bayern, standort, weitere, emissionshandelsverpflichtung, empfehlungen"
6,"verbleibenden, grundpfeiler, vorschläge, häfen, industriebetriebe, geltungsbereich, frage, globale, klima, volle"
7,"24, emissionshandel, 497, 14, weichenstellungen, carbon, bereiche, weg, cen, european"
8,"10, klimapläne, ansatz, weite, vorteile, ausweitung, verfügbaren, verband, anstieg, mar"
9,"co2, sub, handel, 19, 29, covid, kontakt, ziele, vordergrund, klimaauflagen"
