0,"verlässliche, werftengruppen, windguard, verschiedenen, zahl, thb, dieter, energiepreise, branchen, chance"
1,"spezifischen, einsatz, aufgabe, wirtschaftsdialog, arbeitswelt, anhaltenden, zentrum, allgegenwärtige, wertschöpfung, verband"
2,"bereichen, club, zukunftsberufe, zukunftskonferenz, wichtige, auftakt, business, technologien, standort, economy"
3,"16, offshore, 25, aufbereiteten, wandel, weltweit, ausgabe, weg, wr, bremerhaven"
4,"7571, ver, 20, di, arbeitsplätze, begeisterung, aufschwung, auswirkung, plattform, schiffsmechaniker"
5,"10, österreichs, 31, aktuelles, andré, anforderungen, antwort, ausbau, ausnahme, babyboomer"
6,"2022, abzeichnender, anteil, welt, bereiche, windenergy, beispiele, apr, anzeige, angespannt"
7,"covid, 19, arbeitskosten, wirtschaft, arbeitsplatz, werften, demografische, dienstag, bund, bewerbern"
8,"14, august, https, lnkd, potenzielle, adler, wassersportwirtschaft, unsicherheiten, beratung, wicklung"
9,"82, 11, aufgestellt, ausbildungskapazitäten, verteilung, ausbildungsprogramm, arbeitgeber, arbeit, ansprechpartner, zeichen"
