0,"hfm, mangelmeldung, frankfurt, bau, 42845, 2202, scale, schifffahrtswelt, wirtschaft, wirtschaftlichen"
1,"lloyd, alten, buch, wasserbau, erwachsene, seemannsamt, fischen, dach, tage, willkommen"
2,"dienst, infrastruktur, zulässig, weltgeschichte, hachures, hapag, hit, anlagen, große, margareta"
3,"cta, zweitgrößten, kreuzfahrt, malawis, kölner, bahnbetrieb, maritimen, musik, konzipiert, mängeln"
4,"spd, rechtlichen, accessoires, juli, angelsport, augenblicke, anzeigen, wind, werbetext, zitationsvorschlag"
5,"unveröffentlichten, arbeitsprogramm, main, leipzig, infrastrukturen, 51, 109, für, rathaus, ersten"
6,"available, umgebung, tietgens, bereich, verantwortlich, wanderung, este, downloads, klimatour, von"
7,"leiter, maritime, stand, facebook, anlagenvorstellungen, kanalrundfahrten, wert, inhalte, kohle, werften"
8,"innen, autor, textdateien, produkte, profil, installations, infos, instandhaltung, ansprechpartner, außenhafen"
9,"recht, nrw, änderung, industrietechnik, husum, windbreaker, identifier, hilfe, verkehrsverein, germany"
