0,"comic, collection, navcen, mitags, enterprises, european, united, parts, pla, century"
1,"library, sunymaritime, lake, complexity, dominion, authorities, units, ncms, 493, assessments"
2,"overseas, mar, archive, aversano, measurement, implementation, sick, safety, receiver, affordable"
3,"mos, sumitomo, selective, informatics, guide, shipping, asset, awareness, air, annual"
4,"mxcp, urgent, organizations, participants, development, evolution, sands, cybersecurity, databases, radiotelephone"
5,"commons, cmsi, digital, edu, usnwc, https, reports, maritime, chains, impact"
6,"fal, leg, advancements, ability, new, merchant, unparalleled, use, arxiv, luce"
7,"aids, voice, american, versions, view, artist, commission, complex, competitive, ceremony"
8,"oct, myths, maintainer, lr, aug, attacks, main, unep, area, look"
9,"multi, news, national, nav, association, apr, australia, attitudes, automated, availability"
