0,"synthetic, modern, homepage, aquaculture, gtz, independent, getting, arm, magazin, ministerial"
1,"en, 16, http, ec, ews, act, findings, experimentell, arbeitenden, environment"
2,"man, es, water, geopolitics, hydrokinetic, hamburger, industrial, insurance, infrastructure, corporate"
3,"lgip, sea, https, usnwc, edu, digital, nwc, commons, reconversion, insight"
4,"fuels, schifffahrt, irreconcilable, irish, harnessing, ey, design, failure, european, vlgc"
5,"hamburg, grant, hvdc, new, b9, baker, generation, november, online, sonal"
6,"dekarbonisierung, factor, vertreter, exploitation, field, gb, wave, turbines, goal, example"
7,"zero, emission, plan, 27, fakultät, gw, emissions, undersea, gäste, rope"
8,"vessel, ship, www, news101, maritimejournal, build, com, große, practice, change"
9,"traditional, non, 2024, distribution, bereichen, small, ocean, mr, powertech, australia"
