0,"wahrscheinlich, mangroven, allianz, beeindruckend, weiter, volks, verluste, bnetza, beschaffung, nks"
1,"biodiversität, finanziellen, dr, förderprogramme, zusammenhang, systemansätze, wärmeaustausch, bereiche, beratung, wertschöpfungsketten"
2,"tomorrow, engineering, page, blue, bereichen, agreements, maritimes, maritimen, ökologische, wichtige"
3,"18, marine, innen, ozean, giz, akteur, windstrom, blaue, bioökonomie, wind"
4,"bund, klima, service, übernachtungen, soziales, generationen, klimaneutrale, innovationsplattform, hydrographie, cop26"
5,"sikafloor, wirtschaftspolitiker, links, land, kornwestheimer, kpmg, negativ, petrochemischen, klimacampus, klimas"
6,"publikationen, bmwk, 20, maritime, wirtschaft, redaktion, 14980, erfolgreich, hafenstrategie, mcn"
7,"wirtschaft, maritime, verdi, es, nachhaltigkeitstag, erde, weg, credit, brandt, atrium"
8,"agenda, 107, 103, wegbereiter, behörde, projekt, iw, biotech, jährige, partnership"
9,"alignment, analyse, wirtschaften, antragsfrist, blick, windenergie, bild, bevölkerungsreichstes, bewältigung, awi"
