0,"weg, tagesschau, wichtigste, stiftung, hafen, größte, digitale, download, barrierefrei, aktuell"
1,"ähnliches, wirtschaftsminister, wwf, nationalen, hafenstandort, erreichung, drucksache, dauerhaft, 25, 30"
2,"fm, detektor, zubau, transformation, maßnahmen, experten, dw, deutschen, volkswirtschaft, im"
3,"20, 10900, hib, hau, wiese, ploß, seefracht, knotenpunkte, rechtsrahmen, reinhardtstr"
4,"wettbewerbsfähigkeit, ausbau, land, kabinett, hafenflächen, gültige, größter, europas, ausbauziele, beschäftigten"
5,"ziel, bmwk, michael, matthey, geld, spd, höchste, ndr, starke, verfügbaren"
6,"olaf, seehäfen, landes, nachhaltig, gw, dpa, cybersicherheit, legislaturperiode, bundeskabinett, motivation"
7,"schrittweisen, niedersachsens, rahmenbedingungen, strategischen, hafenkonzept, exports, deutscher, deutsche, bundestag, apr"
8,"bitter, ampelkoalition, nachhaltiger, spende, bedeutung, leistung, extrem, standort, zahlreiche, bundesregierung"
9,"arnulf, imago, zielen, berlin, prozent, langfristig, foto, finanziell, entscheidende, hamburg"
