0,"dr, materials, location, chairs, transportation, lever, bündnis, video, bundesvorsitzender, mensch"
1,"die, leadership, nora, 90, free, social, meeting, latest, patron, case"
2,"bil, nemo, base, wikipedia, early, dw, eine, sustainable, szykują, stream"
3,"nov, booth, chancellor, use, old, munich, omid, capital, friends, fragen"
4,"amazon, com, beginning, unusual, vizekanzler, discussion, channel, city, cars, videos"
5,"01, 06, 24, grüne, bedingungen, kit, oct, package, saretec, simple"
6,"robert, habeck, federal, dialog, claims, events, state, jahr, cabs, connections"
7,"dec, vice, veranstaltungen, talk, fair, divisions, ceo, spotify, speaker, summit"
8,"years, stromkunden, construction, civilian, climate, groomer, facility, lng, author, rüger"
9,"leader, articles, candidates, verse, ccus, transport, update, brexit, dependent, crossroads"
