0,"umweltschutz, info, karten, führende, markthochlauf, ihk, voll, nachhaltigen, multiple, eisenhut"
1,"schiffsfriedhof, auftrag, antrag, zerlegen, verbessertem, kiel, 31, 12, übereinkommens, werftgelände"
2,"deutsche, flagge, https, wrack, umweltschutz, www, kazakhstan, offshore, jun, altschiffen"
3,"gleichen, euro, frachtschiffen, spadoni, 17, keller, zukunftsmarkt, gms, aug, northvolt"
4,"ökologischer, 28, weiterlesen, katapult, wasserbauschiff, auffassung, vergeblich, vergangenen, bad, technologies"
5,"leer, emden, anfrage, weitere, group, odyssee, verstärkte, meilenstein, standards, veru14"
6,"eu, amtsblatt, alte, asbest, empfehlung, deutschen, werft, klimaschutz, leviathan, modernes"
7,"hamburg, vo, schiffsrecycling, aktivität, 29, welthandelstonnage, zentrum, kritik, kurs, hansa"
8,"abwrack, anfang, alter, alten, italy, wirtschaft, genehmigungsrechtlichen, symposium, gestaltung, umweltgerechtes"
9,"zuständig, globe, verordnung, anteil, vsm, wahlperiode, geschäftsführende, vereinbarung, msc, nachwuchs"
