0,"ship, non, biological, 01, vy, simple, bent, emissionsloses, charter, freight"
1,"berth, alliance, finnlines, conjunction, york, km, arbeit, co₂, wasserstoff, diana"
2,"zero, hurtigruten, getting, goals, ammonia, hydrogen, ihc, hopper, höegh, anthropogenic"
3,"group, com, vesseltracker, value, decarbonisation, marshall, candela, road, boats, beschränkung"
4,"ultra, emissionsarmen, volkswagen, hull, wolken, homeport, aus, trains, umwelttechnologie, eedi"
5,"ships, agenda, agreement, zec, zeroemission, antrieb, worlds, credit, transportschiffen, way"
6,"gdws, wsv, bund, viking, wiebers, gt, 20, hamburger, imaging, iconic"
7,"emission, kritische, vard, america, vollelektrische, transport, generator, art, ultimate, wikipedia"
8,"mediathek, zemships, ae, features, unmatched, union, tshds, mobility, commitment, maritime"
9,"net, co2, null, cruise, www, dat, electrive, genannte, gewinner, hafenumfeld"
