Keyword,Trend-Wachstum
president,48.0
news,14.0
j.,13.0
states,11.0
new,8.0
united,8.0
presidential,8.0
administration,7.0
federal,7.0
45th,6.0
us,6.0
york,5.0
white,5.0
house,5.0
america,5.0
analysis,5.0
47th,4.0
latest,4.0
tariffs,4.0
executive,3.0
orders,3.0
first,3.0
former,3.0
history,3.0
today,3.0
foreign,3.0
order,3.0
@realdonaldtrump,2.0
american,2.0
people,2.0
organization,2.0
more,2.0
videos,2.0
harvard,2.0
secretary,2.0
indictment,2.0
u.s.,2.0
policy,2.0
